    l1  l2                    f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1     f2        N  
------  ----------------  -----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  -----  -------  
NEGMIR  dunk                 34     5.90               206                  1            1          719                   1                1955             119.08               2.517         0.826       0.00012                1.000              0.00012   291735     34  1680633  
NEGMIR  have                 11     1.91               500                  2            2         1527                   1                3769              38.52               2.039         0.826       0.00004                1.000              0.00004   291735     11  1680633  
NEGMIR  demotivating          8     1.39               654                  3            3         1817                   1                4415              28.02               1.908         0.826       0.00003                1.000              0.00003   291735      8  1680633  
NEGMIR  deaths                6     1.04               802                  6            4         2164                   1                5100              21.01               1.792         0.826       0.00002                1.000              0.00002   291735      6  1680633  
NEGMIR  whining               6     1.04               802                  6            4         2164                   1                5100              21.01               1.792         0.826       0.00002                1.000              0.00002   291735      6  1680633  
NEGMIR  dreaded               5     0.87               912                 11            6         2417                   1                5543              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  goodbye               5     0.87               912                 11            6         2417                   1                5543              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  itching               5     0.87               912                 11            6         2417                   1                5543              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  extinguished          5     0.87               912                 11            6         2417                   1                5543              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  drama                 5     0.87               912                 11            6         2417                   1                5543              17.51               1.719         0.826       0.00002                1.000              0.00002   291735      5  1680633  
NEGMIR  coalesces            14     2.60               470                 18           11         1319                2274                3333              42.06               1.663         0.760       0.00005                0.933              0.00005   291735     15  1680633  
NEGMIR  early              5175   972.60                 2                  9           12            5                2488                   8           15336.64               1.767         0.753       0.01743                0.924              0.01774   291735   5603  1680633  
NEGMIR  bloodshed            12     2.26               547                 23           13         1462                2492                3622              35.36               1.599         0.749       0.00004                0.923              0.00004   291735     13  1680633  
NEGMIR  flash                11     2.08               602                 27           14         1539                2653                3769              32.02               1.562         0.743       0.00004                0.917              0.00004   291735     12  1680633  
NEGMIR  all-american          9     1.74               707                 35           15         1720                3013                4204              25.40               1.479         0.726       0.00003                0.900              0.00003   291735     10  1680633  
NEGMIR  accompli              8     1.56               774                 46           16         1849                3243                4415              22.12               1.431         0.715       0.00003                0.889              0.00003   291735      9  1680633  
NEGMIR  outre                 8     1.56               774                 46           16         1849                3243                4415              22.12               1.431         0.715       0.00003                0.889              0.00003   291735      9  1680633  
NEGMIR  separable             8     1.56               774                 46           16         1849                3243                4415              22.12               1.431         0.715       0.00003                0.889              0.00003   291735      9  1680633  
