prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,104,0.22,0.61,0,0,0,0,4,23,2.743365102537144,4,0,0,0,1.1418810792098806,1.097239317742219
never,104,0.2,0.86,0,0,0,0,8,21,4.275253066827398,8,0,0,0,1.1076472923238194,1.069103369503141
been,104,0.19,0.48,0,0,0,0,3,20,2.5181284466417524,3,0,0,0,1.131864739099117,1.0937773882559159
nothing,104,0.16,0.44,0,0,0,0,3,17,2.710620835516885,3,0,0,0,1.1125314760964868,1.0805194805194804
be,104,0.12,0.41,0,0,0,0,2,13,3.2857444369357713,2,0,0,0,1.0814955764991596,1.0558375634517767
is,104,0.1,0.3,0,0,0,0,1,10,3.080789206668046,1,0,0,0,1.0689199726512586,1.0505050505050506
none,104,0.07,0.25,0,0,0,0,1,7,3.7405451774691794,1,0,0,0,1.0477595652992007,1.0348258706467661
was,104,0.07,0.35,0,0,0,0,3,7,5.181699519161194,3,0,0,0,1.0407995963786307,1.0271604938271606
scarcely,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0,0,1.0134189906987003,1.0097087378640777
hardly,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0,0,1.0134189906987003,1.0097087378640777
are,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0,0,1.0134189906987003,1.0097087378640777
or,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0,0,1.0134189906987003,1.0097087378640777
were,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
seemed,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
schedule,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
`,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
quite,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
not,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
",",104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
got,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
barely,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
's,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0,0,1.0066871364523837,1.0048309178743962
