prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no,10,2.3,7.27,0,0,0.0,0.0,23,23,3.16227766016838,23,0.0,0.0,0.0,1.3741088103166372,1.1059907834101383
never,10,2.1,6.64,0,0,0.0,0.0,21,21,3.162277660168379,21,0.0,0.0,0.0,1.362204366553743,1.1055276381909547
been,10,2.0,3.83,0,0,0.5,1.0,12,20,1.9148542155126762,12,1.0,2.5,-1.5,1.903349134562267,1.4828897338403042
nothing,10,1.7,5.38,0,0,0.0,0.0,17,17,3.1622776601683795,17,0.0,0.0,0.0,1.335141362540313,1.1042944785276074
be,10,1.3,2.79,0,0,0.0,1.0,9,13,2.1468139168137927,9,1.0,2.5,-1.5,1.6140542384620638,1.345291479820628
is,10,1.0,1.76,0,0,0.0,1.5,5,10,1.7638342073763937,5,1.5,3.75,-2.25,1.5336746868385573,1.2903225806451613
none,10,0.7,2.21,0,0,0.0,0.0,7,7,3.1622776601683795,7,0.0,0.0,0.0,1.2311444133449163,1.095890410958904
was,10,0.7,1.25,0,0,0.0,1.0,4,7,1.7880936529065323,4,1.0,2.5,-1.5,1.4461255495919247,1.2987012987012987
scarcely,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
hardly,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
are,10,0.2,0.63,0,0,0.0,0.0,2,2,3.162277660168379,2,0.0,0.0,0.0,1.1161231740339044,1.0714285714285714
or,10,0.2,0.42,0,0,0.0,0.0,1,2,2.1081851067789197,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
were,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
seemed,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
schedule,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
`,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
quite,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
not,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
",",10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
got,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
barely,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
's,10,0.1,0.32,0,0,0.0,0.0,1,1,3.162277660168379,1,0.0,0.0,0.0,1.0717734625362931,1.0526315789473684
