neg_head,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
ADJ,104,1.05,1.04,0,1,1,1,8,109,0.9894160441202792,8,0,1,1,1.8750866568834939,1.7330124051101647
NEG,104,0.26,0.5,0,0,0,0,3,27,1.9348946152388729,3,0,0,0,1.189207115002721,1.1397260273972603
