adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
late,27,0.3,1.54,0,0,0,0,8,8,5.196152422706632,8,0,0,0,1.0847816126282284,1.0340425531914894
toxic,27,0.15,0.77,0,0,0,0,4,4,5.196152422706632,4,0,0,0,1.061421249610508,1.0305343511450382
important,27,0.15,0.6,0,0,0,0,3,4,4.0602434561337475,3,0,0,0,1.080059738892306,1.0485436893203883
good,27,0.15,0.77,0,0,0,0,4,4,5.196152422706632,4,0,0,0,1.061421249610508,1.0305343511450382
bad,27,0.15,0.77,0,0,0,0,4,4,5.196152422706632,4,0,0,0,1.061421249610508,1.0305343511450382
popular,27,0.11,0.58,0,0,0,0,3,3,5.196152422706631,3,0,0,0,1.0526852026389557,1.0285714285714285
exciting,27,0.11,0.58,0,0,0,0,3,3,5.196152422706631,3,0,0,0,1.0526852026389557,1.0285714285714285
effective,27,0.11,0.58,0,0,0,0,3,3,5.196152422706631,3,0,0,0,1.0526852026389557,1.0285714285714285
different,27,0.11,0.42,0,0,0,0,2,3,3.8129334558134556,2,0,0,0,1.0686129101356392,1.0451612903225806
close,27,0.11,0.32,0,0,0,0,1,3,2.8823067684915684,1,0,0,0,1.080059738892306,1.0588235294117647
serious,27,0.11,0.32,0,0,0,0,1,3,2.8823067684915684,1,0,0,0,1.080059738892306,1.0588235294117647
available,27,0.11,0.58,0,0,0,0,3,3,5.196152422706631,3,0,0,0,1.0526852026389557,1.0285714285714285
big,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
sick,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
vulnerable,27,0.07,0.38,0,0,0,0,2,2,5.196152422706632,2,0,0,0,1.041528498231435,1.0253164556962024
impressive,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
aware,27,0.07,0.38,0,0,0,0,2,2,5.196152422706632,2,0,0,0,1.041528498231435,1.0253164556962024
willing,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
severe,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
happy,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
dramatic,27,0.07,0.38,0,0,0,0,2,2,5.196152422706632,2,0,0,0,1.041528498231435,1.0253164556962024
sinister,27,0.07,0.38,0,0,0,0,2,2,5.196152422706632,2,0,0,0,1.041528498231435,1.0253164556962024
careful,27,0.07,0.38,0,0,0,0,2,2,5.196152422706632,2,0,0,0,1.041528498231435,1.0253164556962024
sure,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0,0,1.0526852026389557,1.0384615384615385
persistent,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0,0,1.0260044847070386,1.0188679245283019
wrong,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0,0,1.0260044847070386,1.0188679245283019
painful,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0,0,1.0260044847070386,1.0188679245283019
optimistic,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0,0,1.0260044847070386,1.0188679245283019
