neg_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
never,22,2.09,5.23,0,0,0,1.0,21,46,2.500013502529024,21,1.0,2.5,-1.5,1.6286969138319576,1.2774078284879
nothing,22,1.18,3.7,0,0,0,0.75,17,26,3.1295859559767196,17,0.75,1.875,-1.125,1.40333410202775,1.2073170731707317
no,22,1.09,4.9,0,0,0,0.0,23,24,4.489921105586549,23,0.0,0.0,0.0,1.1923947528460632,1.0709939148073022
none,22,0.91,1.85,0,0,0,1.0,7,20,2.0342308713848674,7,1.0,2.5,-1.5,1.467314786676038,1.2661870503597121
nobody,22,0.36,0.95,0,0,0,0.0,4,8,2.6220221204253784,4,0.0,0.0,0.0,1.2045506237142833,1.1262798634812288
hardly,22,0.18,0.5,0,0,0,0.0,2,4,2.7559459528877004,2,0.0,0.0,0.0,1.1195762911579943,1.0819672131147542
scarcely,22,0.18,0.59,0,0,0,0.0,2,4,3.236694374850748,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
neither,22,0.09,0.29,0,0,0,0.0,1,2,3.236694374850748,1,0.0,0.0,0.0,1.0650410894399627,1.0476190476190477
barely,22,0.05,0.21,0,0,0,0.0,1,1,4.69041575982343,1,0.0,0.0,0.0,1.0320082797342096,1.0232558139534884
rarely,22,0.05,0.21,0,0,0,0.0,1,1,4.690415759823431,1,0.0,0.0,0.0,1.0320082797342096,1.0232558139534884
