neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
never,104,0.44,0.99,0,0,0,1,8,46,2.246046808279079,8,1,2.5,-1.5,1.2840228830573033,1.1961661341853036
nothing,104,0.25,0.5,0,0,0,0,3,26,1.990267582146604,3,0,0.0,0.0,1.1813075502221544,1.1335149863760219
no,104,0.23,0.61,0,0,0,0,4,24,2.6479928691684966,4,0,0.0,0.0,1.1495169937989522,1.1030581580342937
none,104,0.19,0.42,0,0,0,0,2,20,2.1830770125486745,2,0,0.0,0.0,1.1394336730551144,1.1024734982332156
nobody,104,0.08,0.33,0,0,0,0,2,8,4.321991630080446,2,0,0.0,0.0,1.0489468557836208,1.033112582781457
hardly,104,0.04,0.19,0,0,0,0,1,4,5.024213216674022,1,0,0.0,0.0,1.0270180507087725,1.0196078431372548
scarcely,104,0.04,0.19,0,0,0,0,1,4,5.024213216674022,1,0,0.0,0.0,1.0270180507087725,1.0196078431372548
neither,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
barely,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
rarely,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
