adv,key_SET,f_SET,dP1_SET,dP1_simple_SET,LRC_SET,G2_SET,odds_r_disc_SET,t_SET,N_SET,f1_SET,f2_SET,exp_f_SET,unexp_f_SET,l1_SET,key_MIR,f_MIR,dP1_MIR,dP1_simple_MIR,LRC_MIR,G2_MIR,odds_r_disc_MIR,t_MIR,N_MIR,f1_MIR,f2_MIR,exp_f_MIR,unexp_f_MIR,l1_MIR,mean_f,mean_dP1,mean_dP1Simple,mean_LRC,mean_G2,mean_oddsRDisc,mean_t,mean_N,mean_f1,mean_f2,mean_expF,mean_unexpF,ratio_f_MIR,ratio_N_MIR,ratio_f1_MIR,ratio_f2_MIR
necessarily,NEGany~necessarily,42595,0.8272,0.8702,7.0962,230257.3434,2.1737,196.0522,72839589,3173660,48947,2132.6471,40462.3529,NEGATED,NEGmir~necessarily,963,0.6990,0.8699,4.3905,2597.6796,1.5097,24.9175,1701929,291732,1107,189.7537,773.2463,NEGMIR,593167.3333,0.8166,0.8701,5.7434,116427.5115,1.8417,110.4849,37270759.0000,1732696.0000,25027.0000,1161.2004,20617.7996,0.0226,0.0234,0.0919,0.0226
that,NEGany~that,164768,0.7497,0.7912,6.3353,831137.2520,1.9428,383.5617,72839589,3173660,208262,9074.0872,155693.9128,NEGATED,NEGmir~that,4308,0.6147,0.7841,3.8978,9957.3674,1.2504,51.2873,1701929,291732,5494,941.7406,3366.2594,NEGMIR,641370.6667,0.7349,0.7876,5.1165,420547.3097,1.5966,217.4245,37270759.0000,1732696.0000,106878.0000,5007.9139,79530.0861,0.0261,0.0234,0.0919,0.0264
exactly,NEGany~exactly,43813,0.7041,0.7471,5.9443,210126.6005,1.8179,197.1086,72839589,3173660,58643,2555.1070,41257.8930,NEGATED,NEGmir~exactly,813,0.6099,0.7810,3.5745,1860.7232,1.2369,22.2550,1701929,291732,1041,178.4405,634.5595,NEGMIR,594950.3333,0.7105,0.7640,4.7594,105993.6618,1.5274,109.6818,37270759.0000,1732696.0000,29842.0000,1366.7737,20946.2263,0.0186,0.0234,0.0919,0.0178
before,NEGany~before,308,0.4087,0.4523,3.5616,1025.5641,1.2585,15.8592,72839589,3173660,681,29.6715,278.3285,NEGATED,NEG~before,289,0.8253,0.9966,6.2108,1006.6849,2.9703,14.0759,1701929,291732,290,49.7096,239.2904,NEGMIR,577826.6667,0.6707,0.7244,4.8862,1016.1245,2.1144,14.9676,37270759.0000,1732696.0000,485.5000,39.6906,258.8094,0.9383,0.0234,0.0919,0.4258
any,NEGany~any,15384,0.4041,0.4474,4.0660,50880.9612,1.2518,111.9544,72839589,3173660,34382,1498.0422,13885.9578,NEGATED,NEGmir~any,1066,0.7197,0.8906,4.6541,2985.7525,1.5949,26.3653,1701929,291732,1197,205.1808,860.8192,NEGMIR,586236.8333,0.6154,0.6690,4.3600,26933.3568,1.4233,69.1599,37270759.0000,1732696.0000,17789.5000,851.6115,7373.3885,0.0693,0.0234,0.0919,0.0348
remotely,NEGany~remotely,5661,0.3011,0.3446,3.3986,15284.4878,1.0631,65.7275,72839589,3173660,16426,715.6896,4945.3104,NEGATED,NEGmir~remotely,1840,0.6154,0.7860,3.7890,4256.3437,1.2516,33.5404,1701929,291732,2341,401.2768,1438.7232,NEGMIR,581943.3333,0.5118,0.5653,3.5938,9770.4158,1.1573,49.6339,37270759.0000,1732696.0000,9383.5000,558.4832,3192.0168,0.3250,0.0234,0.0919,0.1425
ever,NEGany~ever,5932,0.0084,0.0520,0.1614,183.9223,0.0808,12.4863,72839589,3173660,114075,4970.3090,961.6910,NEGATED,NEGmir~ever,4709,0.7615,0.9306,5.6286,14253.5675,1.8183,55.9827,1701929,291732,5060,867.3475,3841.6525,NEGMIR,599194.6667,0.4381,0.4913,2.8950,7218.7449,0.9496,34.2345,37270759.0000,1732696.0000,59567.5000,2918.8283,2401.6717,0.7938,0.0234,0.0919,0.0444
yet,NEGany~yet,51867,0.4987,0.5416,4.6457,197610.9756,1.4208,209.4225,72839589,3173660,95763,4172.4453,47694.5547,NEGATED,NEGmir~yet,320,0.2213,0.3926,1.1092,223.0846,0.4954,10.0790,1701929,291732,815,139.7012,180.2988,NEGMIR,602359.5000,0.4136,0.4671,2.8775,98917.0301,0.9581,109.7507,37270759.0000,1732696.0000,48289.0000,2156.0733,23937.4267,0.0062,0.0234,0.0919,0.0085
immediately,NEGany~immediately,56099,0.5356,0.5785,4.8617,224059.5481,1.4865,219.0135,72839589,3173660,96973,4225.1657,51873.8343,NEGATED,NEGmir~immediately,403,0.1659,0.3372,0.8415,191.8780,0.3915,9.8712,1701929,291732,1195,204.8380,198.1620,NEGMIR,603343.6667,0.4043,0.4579,2.8516,112125.7131,0.9390,114.4423,37270759.0000,1732696.0000,49084.0000,2215.0018,26035.9981,0.0072,0.0234,0.0919,0.0123
