key,f,dP1,dP1_simple,LRC,G2,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adj,adj_total,adv,adv_total
NEGany~immediately_possible,1000,0.4980861,0.998004,5.402311,1360.3753,2.6024196,15.779876,6347364,3173660,1002,500.9965271,499.0034729,NEGATED,immediately_possible,possible,30446.0,immediately,58040.0
NEGany~immediately_available,21078,0.48305994,0.981422,5.3381853,25870.139723,1.7251683,71.217705,6347364,3173660,21477,10738.4255606,10339.5744394,NEGATED,immediately_available,available,82956.0,immediately,58040.0
NEGmir~exactly_sure,148,0.8286595,1.0,5.314805,522.112103,3.1572719,10.080201,1701929,291732,148,25.3690583,122.63094329833984,NEGMIR,exactly_sure,sure,6761.0,exactly,1041.0
NEGmir~ever_enough,147,0.828659,1.0,5.3044505,518.583901,3.154336,10.046089,1701929,291732,147,25.1976457,121.80235290527344,NEGMIR,ever_enough,enough,2596.0,ever,5060.0
NEGany~exactly_cheap,691,0.5000579,1.0,5.268664,958.014218,3.1409228,13.143531,6347364,3173660,691,345.497605,345.502395,NEGATED,exactly_cheap,cheap,6591.0,exactly,44503.0
NEGmir~ever_certain,143,0.8286571,1.0,5.2622757,504.471149,3.14239,9.908464,1701929,291732,143,24.5119955,118.48800659179688,NEGMIR,ever_certain,certain,1800.0,ever,5060.0
NEGany~that_impressed,681,0.5000571,1.0,5.24736,944.148974,3.1345952,13.048079,6347364,3173660,681,340.4976397,340.5023603,NEGATED,that_impressed,impressed,12138.0,that,166676.0
NEGany~yet_final,640,0.5000539,1.0,5.1565714,887.301802,3.1076427,12.649199,6347364,3173660,640,319.9977818,320.0022182,NEGATED,yet_final,final,1213.0,yet,53881.0
NEGany~necessarily_related,741,0.49871406,0.9986523,5.1371255,1013.509609,2.694127,13.592384,6347364,3173660,742,370.9974282,370.0025718,NEGATED,necessarily_related,related,14260.0,necessarily,42886.0
NEGmir~necessarily_wrong,211,0.8055415,0.9768519,5.0416393,698.73763,2.2695556,11.976925,1701929,291732,216,37.0251121,173.97488403320312,NEGMIR,necessarily_wrong,wrong,20880.0,necessarily,1107.0
NEGany~necessarily_new,482,0.5000414,1.0,4.740959,668.237169,2.9845994,10.977325,6347364,3173660,482,240.9983294,241.0016706,NEGATED,necessarily_new,new,21538.0,necessarily,42886.0
NEGany~yet_public,467,0.50004023,1.0,4.694493,647.440303,2.9708815,10.805166,6347364,3173660,467,233.4983814,233.5016186,NEGATED,yet_public,public,2656.0,yet,53881.0
NEGany~any_happier,828,0.492874,0.9928058,4.6646185,1085.116942,2.1054976,14.283338,6347364,3173660,834,416.9971094,411.0028906,NEGATED,any_happier,happier,2004.0,any,16238.0
NEGany~exactly_surprising,440,0.50003815,1.0,4.6068854,610.006122,2.9450421,10.488161,6347364,3173660,440,219.998475,220.001525,NEGATED,exactly_surprising,surprising,18776.0,exactly,44503.0
NEGany~yet_dead,401,0.50003505,1.0,4.470143,555.934934,2.9047763,10.012562,6347364,3173660,401,200.4986101,200.5013899,NEGATED,yet_dead,dead,6348.0,yet,53881.0
NEGany~any_easier,1594,0.4810497,0.98092306,4.424673,1946.255066,1.7045339,19.574377,6347364,3173660,1625,812.4943677,781.5056323,NEGATED,any_easier,easier,12877.0,any,16238.0
NEGmir~any_better,380,0.7356898,0.90692127,4.3756804,1096.010137,1.6686068,15.809205,1701929,291732,419,71.821861,308.1781311035156,NEGMIR,any_better,better,14013.0,any,1197.0
NEGmir~that_simple,474,0.72484297,0.89603025,4.3628592,1340.18787,1.6169276,17.606598,1701929,291732,529,90.6772421,383.32275390625,NEGMIR,that_simple,simple,25408.0,that,5494.0
NEGmir~that_easy,450,0.7146275,0.88582677,4.2281227,1248.835925,1.5714866,17.108328,1701929,291732,508,87.0775784,362.92242431640625,NEGMIR,that_easy,easy,18610.0,that,5494.0
NEGany~necessarily_surprising,340,0.5000303,1.0,4.226318,471.36301,2.8331997,9.219608,6347364,3173660,340,169.9988216,170.0011784,NEGATED,necessarily_surprising,surprising,18776.0,necessarily,42886.0
NEGmir~ever_able,136,0.7797019,0.951049,4.1690893,426.516707,1.9445668,9.560018,1701929,291732,143,24.5119955,111.48800659179688,NEGMIR,ever_able,able,3704.0,ever,5060.0
NEGmir~ever_wrong,102,0.8000654,0.9714286,4.148134,333.702979,2.1511018,8.317406,1701929,291732,105,17.9983184,84.00167846679688,NEGMIR,ever_wrong,wrong,20880.0,ever,5060.0
NEGany~necessarily_enough,279,0.50002545,1.0,3.9327607,386.792259,2.747456,8.351705,6347364,3173660,279,139.499033,139.500967,NEGATED,necessarily_enough,enough,27603.0,necessarily,42886.0
NEGany~immediately_obvious,2238,0.46275362,0.9625806,3.8841076,2481.501596,1.4082495,22.734407,6347364,3173660,2325,1162.4919415,1075.5080585,NEGATED,immediately_obvious,obvious,22651.0,immediately,58040.0
NEGany~exactly_subtle,263,0.5000242,1.0,3.8447444,364.609961,2.7218525,8.108693,6347364,3173660,263,131.4990884,131.5009116,NEGATED,exactly_subtle,subtle,5299.0,exactly,44503.0
NEGany~exactly_fair,260,0.50002396,1.0,3.827627,360.450789,2.7168794,8.062314,6347364,3173660,260,129.9990988,130.0009012,NEGATED,exactly_fair,fair,6964.0,exactly,44503.0
NEGmir~ever_boring,57,0.8286152,1.0,3.801714,201.068979,2.7450778,6.255698,1701929,291732,57,9.7705157,47.22948455810547,NEGMIR,ever_boring,boring,1961.0,ever,5060.0
NEGany~any_younger,255,0.50002354,1.0,3.7986388,353.518842,2.7084618,7.984415,6347364,3173660,255,127.4991162,127.5008838,NEGATED,any_younger,younger,1784.0,any,16238.0
NEGmir~ever_black,56,0.8286147,1.0,3.7721539,197.541294,2.737457,6.2005806,1701929,291732,56,9.5991031,46.40089797973633,NEGMIR,ever_black,black,1412.0,ever,5060.0
NEGany~immediately_able,626,0.47665066,0.97659904,3.6569674,746.386385,1.606679,12.210324,6347364,3173660,641,320.4977783,305.5022217,NEGATED,immediately_able,able,23355.0,immediately,58040.0
NEGany~any_worse,1686,0.4569975,0.9568672,3.6154697,1816.600084,1.3435513,19.60516,6347364,3173660,1762,880.9938929,805.0061071,NEGATED,any_worse,worse,12116.0,any,16238.0
NEGany~exactly_fun,224,0.5000211,1.0,3.604627,310.540948,2.652283,7.4833665,6347364,3173660,224,111.9992236,112.0007764,NEGATED,exactly_fun,fun,19661.0,exactly,44503.0
NEGany~any_better,4719,0.4433986,0.94304556,3.5862854,4753.390513,1.2189032,32.273354,6347364,3173660,5004,2501.9826561,2217.0173439,NEGATED,any_better,better,50827.0,any,16238.0
NEGmir~that_great,286,0.6649784,0.83625734,3.5665345,725.155929,1.38978,13.445078,1701929,291732,342,58.6230941,227.3769073486328,NEGMIR,that_great,great,5568.0,that,5494.0
NEGany~remotely_true,250,0.496039,0.99601597,3.5314837,334.926189,2.2227566,7.8741264,6347364,3173660,251,125.49913,124.50087,NEGATED,remotely_true,true,34967.0,remotely,6161.0
NEGany~ever_easy,429,0.48172998,0.9816934,3.5277035,525.983887,1.7036079,10.163109,6347364,3173660,437,218.4984854,210.5015146,NEGATED,ever_easy,easy,108923.0,ever,10870.0
COM~ever_closer,279,0.49292487,0.99288255,3.5206292,365.816938,2.0485153,8.292123,6347364,3173552,281,140.4942449,138.5057551,COMPLEMENT,ever_closer,closer,3686.0,ever,10870.0
NEGany~necessarily_aware,206,0.50001967,1.0,3.4787245,285.58618,2.6159842,7.1763997,6347364,3173660,206,102.999286,103.000714,NEGATED,necessarily_aware,aware,28973.0,necessarily,42886.0
NEGany~exactly_hard,203,0.50001943,1.0,3.456631,281.427062,2.6096282,7.123953,6347364,3173660,203,101.4992964,101.5007036,NEGATED,exactly_hard,hard,45061.0,exactly,44503.0
NEGmir~exactly_clear,52,0.8097447,0.9811321,3.3806543,173.885019,2.2284403,5.951258,1701929,291732,53,9.0848655,42.91513442993164,NEGMIR,exactly_clear,clear,6722.0,exactly,1041.0
NEGany~immediately_apparent,2015,0.4404228,0.94027066,3.2976034,2001.827926,1.195744,21.018795,6347364,3173660,2143,1071.4925723,943.5074277000001,NEGATED,immediately_apparent,apparent,9798.0,immediately,58040.0
NEGmir~remotely_close,218,0.64516807,0.8164794,3.27924,532.962795,1.329451,11.66508,1701929,291732,267,45.7671524,172.23284912109375,NEGMIR,remotely_close,close,13874.0,remotely,2341.0
NEGany~ever_simple,211,0.49530303,0.995283,3.2761216,281.195816,2.1492538,7.2285485,6347364,3173660,212,105.9992652,105.0007348,NEGATED,ever_simple,simple,46867.0,ever,10870.0
NEGany~before_available,177,0.5000174,1.0,3.2495193,245.381492,2.5502586,6.6521134,6347364,3173660,177,88.4993865,88.5006135,NEGATED,before_available,available,82956.0,before,323.0
NEGmir~that_big,113,0.6912361,0.86259544,3.1734624,300.536574,1.4722819,8.517753,1701929,291732,131,22.4550448,90.54495239257812,NEGMIR,that_big,big,8177.0,that,5494.0
NEGmir~that_popular,65,0.75719,0.9285714,3.1539142,195.146004,1.7602689,6.57398,1701929,291732,70,11.9988789,53.001121520996094,NEGMIR,that_popular,popular,5668.0,that,5494.0
COM~ever_greater,186,0.49468747,0.9946524,3.085063,246.800734,2.0946484,6.78271,6347364,3173552,187,93.4961701,92.5038299,COMPLEMENT,ever_greater,greater,6949.0,ever,10870.0
NEGmir~that_interested,62,0.75399023,0.92537314,3.072415,185.017689,1.7399032,6.415457,1701929,291732,67,11.4846413,50.515357971191406,NEGMIR,that_interested,interested,8255.0,that,5494.0
NEGany~any_simpler,226,0.4869206,0.98689955,3.059475,285.501151,1.8110367,7.4169226,6347364,3173660,229,114.4992063,111.5007937,NEGATED,any_simpler,simpler,1446.0,any,16238.0
NEGmir~any_easier,61,0.75285906,0.92424244,3.044219,181.646314,1.7328968,6.361739,1701929,291732,66,11.3132287,49.686771392822266,NEGMIR,any_easier,easier,2386.0,any,1197.0
NEGmir~remotely_true,61,0.75285906,0.92424244,3.044219,181.646314,1.7328968,6.361739,1701929,291732,66,11.3132287,49.686771392822266,NEGMIR,remotely_true,true,6191.0,remotely,2341.0
NEGany~any_different,902,0.44259894,0.9425287,3.0321364,905.820043,1.2112762,14.101118,6347364,3173660,957,478.496683,423.503317,NEGATED,any_different,different,80643.0,any,16238.0
NEGmir~that_good,447,0.5568013,0.72801304,3.0094252,921.361756,1.1116879,16.164347,1701929,291732,614,105.2473094,341.752685546875,NEGMIR,that_good,good,31585.0,that,5494.0
NEGany~remotely_close,694,0.44684908,0.946794,2.98445,711.523738,1.2451708,12.431827,6347364,3173660,733,366.4974594,327.5025406,NEGATED,remotely_close,close,46485.0,remotely,6161.0
NEGmir~necessarily_bad,50,0.7720077,0.9433962,2.9530244,154.446357,1.8435919,5.786274,1701929,291732,53,9.0848655,40.91513442993164,NEGMIR,necessarily_bad,bad,10261.0,necessarily,1107.0
NEGmir~that_close,60,0.73770696,0.90909094,2.908225,173.696079,1.6532246,6.285435,1701929,291732,66,11.3132287,48.686771392822266,NEGMIR,that_close,close,13874.0,that,5494.0
NEGmir~that_difficult,52,0.7571838,0.9285714,2.8843775,156.114944,1.7513181,5.879946,1701929,291732,56,9.5991031,42.40089797973633,NEGMIR,that_difficult,difficult,15956.0,that,5494.0
COM~ever_larger,139,0.5000314,1.0,2.8808634,192.709348,2.445659,5.8951545,6347364,3173552,139,69.4971531,69.5028469,COMPLEMENT,ever_larger,larger,7453.0,ever,10870.0
NEGmir~that_hard,59,0.73630786,0.9076923,2.8787289,170.360536,1.6459848,6.2306046,1701929,291732,65,11.1418161,47.858184814453125,NEGMIR,that_hard,hard,7135.0,that,5494.0
NEGany~immediately_sure,138,0.50001436,1.0,2.869669,191.313535,2.4425046,5.8737106,6347364,3173660,138,68.9995217,69.0004783,NEGATED,immediately_sure,sure,134139.0,immediately,58040.0
NEGany~immediately_successful,290,0.46992525,0.96989965,2.8654268,333.734071,1.485467,8.2505045,6347364,3173660,299,149.4989637,140.5010363,NEGATED,immediately_successful,successful,31460.0,immediately,58040.0
NEGany~any_clearer,355,0.4569035,0.9568733,2.7594132,382.442554,1.3334081,8.996194,6347364,3173660,371,185.4987141,169.5012859,NEGATED,any_clearer,clearer,972.0,any,16238.0
NEGmir~any_worse,87,0.65719944,0.82857144,2.7328658,217.459278,1.3592554,7.3977566,1701929,291732,105,17.9983184,69.00167846679688,NEGMIR,any_worse,worse,8790.0,any,1197.0
NEGmir~necessarily_true,53,0.72691774,0.89830506,2.6883113,150.416937,1.5998126,5.890936,1701929,291732,59,10.1133408,42.88665771484375,NEGMIR,necessarily_true,true,6191.0,necessarily,1107.0
COM~ever_popular,219,0.46906373,0.96902657,2.59387,250.901316,1.4664378,7.163129,6347364,3173552,226,112.9953713,106.0046287,COMPLEMENT,ever_popular,popular,51120.0,ever,10870.0
COM~ever_higher,129,0.49233827,0.99230766,2.5226176,168.503978,1.9362316,5.6351204,6347364,3173552,130,64.9973375,64.0026625,COMPLEMENT,ever_higher,higher,12992.0,ever,10870.0
NEGany~ever_good,331,0.44574234,0.9457143,2.5153005,337.560527,1.2304976,8.574602,6347364,3173660,350,174.9987869,156.0012131,NEGATED,ever_good,good,201244.0,ever,10870.0
NEGany~immediately_reachable,109,0.50001204,1.0,2.5041225,151.109468,2.340465,5.2201896,6347364,3173660,109,54.4996222,54.5003778,NEGATED,immediately_reachable,reachable,350.0,immediately,58040.0
NEGany~ever_certain,147,0.4800148,0.98,2.3994017,178.537684,1.6247497,5.938503,6347364,3173660,150,74.9994801,72.0005199,NEGATED,ever_certain,certain,11334.0,ever,10870.0
NEGany~any_harder,227,0.453802,0.9537815,2.356005,240.828567,1.2963191,7.1682663,6347364,3173660,238,118.9991751,108.0008249,NEGATED,any_harder,harder,4395.0,any,16238.0
NEGmir~any_closer,57,0.65470093,0.82608694,2.3266048,141.819889,1.3471341,5.983248,1701929,291732,69,11.8274664,45.17253494262695,NEGMIR,any_closer,closer,993.0,any,1197.0
NEGany~ever_enough,173,0.46649706,0.96648043,2.3191273,195.609287,1.426415,6.3484344,6347364,3173660,179,89.4993796,83.5006204,NEGATED,ever_enough,enough,27603.0,ever,10870.0
NEGany~any_cheaper,129,0.47728613,0.97727275,2.1951034,154.35867,1.568225,5.546881,6347364,3173660,132,65.9995425,63.000457499999996,NEGATED,any_cheaper,cheaper,3206.0,any,16238.0
NEGany~remotely_funny,137,0.47164515,0.9716312,2.1637237,159.086975,1.4851145,5.68152,6347364,3173660,141,70.4995113,66.5004887,NEGATED,remotely_funny,funny,14992.0,remotely,6161.0
NEGany~remotely_interested,330,0.4066202,0.9065934,1.9933006,278.694708,0.9813989,8.147202,6347364,3173660,364,181.9987384,148.0012616,NEGATED,remotely_interested,interested,34543.0,remotely,6161.0
NEGmir~immediately_available,162,0.41774586,0.5890909,1.8457625,241.52976,0.84035903,9.024375,1701929,291732,275,47.1384529,114.8615493774414,NEGMIR,immediately_available,available,10284.0,immediately,1195.0
NEGmir~remotely_interesting,56,0.5558853,0.72727275,1.802798,115.200644,1.103982,5.7195554,1701929,291732,77,13.1987668,42.801231384277344,NEGMIR,remotely_interesting,interesting,12447.0,remotely,2341.0
NEGmir~remotely_similar,71,0.4921698,0.6635514,1.7013313,127.321224,0.97640294,6.2494564,1701929,291732,107,18.3411435,52.65885543823242,NEGMIR,remotely_similar,similar,7011.0,remotely,2341.0
NEGany~immediately_forthcoming,133,0.43663296,0.9366197,1.6558635,129.785967,1.1477807,5.3761244,6347364,3173660,142,70.9995078,62.0004922,NEGATED,immediately_forthcoming,forthcoming,2249.0,immediately,58040.0
NEGany~remotely_comparable,118,0.44401222,0.944,1.6246978,119.336154,1.1986783,5.109229,6347364,3173660,125,62.4995667,55.5004333,NEGATED,remotely_comparable,comparable,2401.0,remotely,6161.0
NEGany~remotely_related,146,0.39571914,0.8957055,1.3301418,116.950213,0.92282325,5.3381047,6347364,3173660,163,81.499435,64.500565,NEGATED,remotely_related,related,14260.0,remotely,6161.0
NEGany~remotely_possible,164,0.358653,0.85863876,1.1117359,109.150009,0.776858,5.349003,6347364,3173660,191,95.499338,68.500662,NEGATED,remotely_possible,possible,30446.0,remotely,6161.0
