key,f,dP1,dP1_simple,LRC,G2,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adj,adj_total,adv,adv_total
NEGany~yet_clear,10406,0.5005361,0.9997118,8.655899,14392.250442,3.4746685,50.99055,6347364,3173660,10409,5204.4639223,5201.5360777,NEGATED,yet_clear,clear,84227.0,yet,53881.0
NEGany~yet_ready,7501,0.50006175,0.999467,8.063524,10344.814474,3.2229688,43.281364,6347364,3173660,7505,3752.4739876,3748.5260124,NEGATED,yet_ready,ready,29583.0,yet,53881.0
NEGany~that_hard,9948,0.4992816,0.99849445,7.6830707,13602.422355,2.8087933,49.794983,6347364,3173660,9963,4981.4654682,4966.5345318,NEGATED,that_hard,hard,45061.0,that,166676.0
NEGany~immediately_clear,24416,0.49898833,0.99705976,7.552266,33058.440016,2.5306957,77.898254,6347364,3173660,24488,12243.9151245,12172.0848755,NEGATED,immediately_clear,clear,84227.0,immediately,58040.0
NEGany~exactly_sure,8794,0.4988798,0.9981839,7.4561048,11991.606828,2.727936,46.80318,6347364,3173660,8810,4404.9694645,4389.0305355,NEGATED,exactly_sure,sure,134139.0,exactly,44503.0
NEGany~that_different,6534,0.49853203,0.99801433,7.180169,8895.124684,2.685778,40.33645,6347364,3173660,6547,3273.4773081,3260.5226919,NEGATED,that_different,different,80643.0,that,166676.0
NEGany~that_great,11032,0.49788904,0.9970176,7.1750784,14908.898949,2.5191429,52.359936,6347364,3173660,11065,5532.4616486,5499.5383514,NEGATED,that_great,great,45359.0,that,166676.0
NEGany~that_difficult,5560,0.49846646,0.9980255,7.0631213,7568.996374,2.685182,37.2092,6347364,3173660,5571,2785.4806909,2774.5193091,NEGATED,that_difficult,difficult,61490.0,that,166676.0
NEGany~yet_complete,2174,0.49971494,0.9995402,6.702655,2998.595439,3.1615717,23.302525,6347364,3173660,2175,1087.4924614,1086.5075386,NEGATED,yet_complete,complete,8415.0,yet,53881.0
NEGany~yet_available,7430,0.49643207,0.9958451,6.660354,9950.034568,2.373727,42.919205,6347364,3173660,7461,3730.4741401,3699.5258599,NEGATED,yet_available,available,82956.0,yet,53881.0
NEGany~that_big,6244,0.49587053,0.995377,6.468538,8332.687048,2.326533,39.326267,6347364,3173660,6273,3136.4782577,3107.5217423,NEGATED,that_big,big,42912.0,that,166676.0
NEGmir~ever_easy,368,0.82605654,0.99728996,6.436813,1285.011545,3.075189,15.886127,1701929,291732,369,63.2512332,304.748779296875,NEGMIR,ever_easy,easy,18610.0,ever,5060.0
NEGany~exactly_clear,1746,0.49956855,0.9994276,6.3847456,2405.429573,3.0663223,20.880762,6347364,3173660,1747,873.4939449,872.5060551,NEGATED,exactly_clear,clear,84227.0,exactly,44503.0
NEGany~necessarily_bad,2059,0.49871057,0.9985451,6.312096,2814.041121,2.7699811,22.655203,6347364,3173660,2062,1030.9928531,1028.0071469,NEGATED,necessarily_bad,bad,119509.0,necessarily,42886.0
NEGany~necessarily_indicative,1389,0.5001129,1.0,6.285266,1925.886152,3.4440846,18.634775,6347364,3173660,1389,694.4951857,694.5048143,NEGATED,necessarily_indicative,indicative,2313.0,necessarily,42886.0
NEGany~necessarily_true,3232,0.49625102,0.99599385,6.161028,4330.737367,2.3796515,28.311205,6347364,3173660,3245,1622.4887528,1609.5112472,NEGATED,necessarily_true,true,34967.0,necessarily,42886.0
NEGany~yet_sure,1977,0.49813974,0.99798083,6.133302,2689.257547,2.6431801,22.186907,6347364,3173660,1981,990.4931338,986.5068662,NEGATED,yet_sure,sure,134139.0,yet,53881.0
NEGany~necessarily_better,1887,0.49803656,0.9978847,6.0656657,2564.807459,2.6229382,21.673916,6347364,3173660,1891,945.4934458,941.5065542,NEGATED,necessarily_better,better,50827.0,necessarily,42886.0
NEGany~exactly_new,1371,0.49938256,0.99927115,6.0336814,1885.863302,2.961298,18.500134,6347364,3173660,1372,685.9952446,685.0047554,NEGATED,exactly_new,new,21538.0,exactly,44503.0
NEGany~that_surprising,1133,0.50009274,1.0,5.9892855,1570.889498,3.3556125,16.830149,6347364,3173660,1133,566.496073,566.503927,NEGATED,that_surprising,surprising,18776.0,that,166676.0
NEGmir~ever_simple,206,0.8286877,1.0,5.8155127,726.757554,3.300552,11.8924675,1701929,291732,206,35.3109865,170.6890106201172,NEGMIR,ever_simple,simple,25408.0,ever,5060.0
NEGany~that_unusual,977,0.50008047,1.0,5.773764,1354.573543,3.2912865,15.628608,6347364,3173660,977,488.4966137,488.5033863,NEGATED,that_unusual,unusual,7412.0,that,166676.0
NEGmir~ever_good,299,0.8155313,0.9867987,5.6786933,1013.872261,2.5079236,14.287964,1701929,291732,303,51.9380045,247.06199645996094,NEGMIR,ever_good,good,31585.0,ever,5060.0
NEGany~necessarily_easy,909,0.5000751,1.0,5.6687055,1260.284374,3.259963,15.074918,6347364,3173660,909,454.4968494,454.5031506,NEGATED,necessarily_easy,easy,108923.0,necessarily,42886.0
NEGany~exactly_easy,1066,0.49915016,0.9990628,5.667676,1463.425298,2.8520215,16.309628,6347364,3173660,1067,533.4963018,532.5036982,NEGATED,exactly_easy,easy,108923.0,exactly,44503.0
NEGany~yet_certain,866,0.5000717,1.0,5.5980926,1200.661093,3.238923,14.714041,6347364,3173660,866,432.9969984,433.0030016,NEGATED,yet_certain,certain,11334.0,yet,53881.0
NEGmir~before_available,176,0.8286731,1.0,5.578168,620.904071,3.232332,10.992455,1701929,291732,176,30.1686099,145.83139038085938,NEGMIR,before_available,available,10284.0,before,290.0
NEGmir~ever_perfect,206,0.8238567,0.9951691,5.5701528,714.472779,2.8234303,11.880525,1701929,291732,207,35.4823991,170.51759338378906,NEGMIR,ever_perfect,perfect,3134.0,ever,5060.0
NEGany~that_exciting,805,0.5000669,1.0,5.4915934,1116.080229,3.2072117,14.186359,6347364,3173660,805,402.4972099,402.5027901,NEGATED,that_exciting,exciting,20233.0,that,166676.0
NEGany~that_uncommon,802,0.50006664,1.0,5.4861474,1111.920545,3.2055907,14.159901,6347364,3173660,802,400.9972203,401.0027797,NEGATED,that_uncommon,uncommon,3165.0,that,166676.0
NEGany~yet_able,1315,0.4963188,0.9962121,5.435054,1764.456615,2.3789134,18.062649,6347364,3173660,1320,659.9954249,655.0045751,NEGATED,yet_able,able,23355.0,yet,53881.0
