key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~overtly,NEGMIR,overtly,392,129.90557,443.78082,0.6614995,0.29199365,0.0010423817,0.4365256,0.0013335012,293963,898,2032082,392.0,293571.0,506.0,1737613.0,293963.0,1738119.0,898.0,2031184.0,293833.094428276,768.094428276,1737350.905571724,13.237767,0.00265888,0.29199365,0.47965828,0.0010423817,0.29199365,0.29199365,0.00030436888,262.09443,0.66860825,11.397613,16.189331,1.7097144,1.680466,1.72283,1.7546722,1.9231716,1.764273,19.79898987322333,542.1835482564921,29.966648127543394
NEG~intrinsically,NEGMIR,intrinsically,432,143.35904,487.95496,0.66047126,0.29140443,0.0011479607,0.4359233,0.0014695727,293963,991,2032082,432.0,293531.0,559.0,1737560.0,293963.0,1738119.0,991.0,2031091.0,293819.640955926,847.640955926,1737271.359044074,13.887244,0.00292927,0.29140443,0.47905865,0.0011479607,0.29140443,0.29140443,0.00033452082,288.64096,0.66815037,11.973264,16.989437,1.7294873,1.701642,1.7419738,1.7722883,1.9327044,1.7814287,20.784609690826528,542.1835482564921,31.480152477394387
NEG~especially,NEGMIR,especially,1573,636.50837,1232.03297,0.5188736,0.21330085,0.0037245427,0.3575,0.0053510135,293963,4400,2032082,1573.0,292390.0,2827.0,1735292.0,293963.0,1738119.0,4400.0,2027682.0,293326.491630751,3763.491630751,1734355.508369249,23.612368,0.010544203,0.21330085,0.3929246,0.0037245427,0.21330085,0.21330085,0.00079444813,936.49163,0.59535384,25.229118,30.60215,1.4913038,1.4776518,1.4974257,1.5122883,1.5909376,1.5167698,39.66106403010388,542.1835482564921,66.332495807108
NEG~yet,NEGMIR,yet,320,131.49684,242.23256,0.50745624,0.20746702,0.0007497003,0.3520352,0.0010885724,293963,909,2032082,320.0,293643.0,589.0,1737530.0,293963.0,1738119.0,909.0,2031173.0,293831.503157353,777.503157353,1737341.496842647,10.537647,0.002170433,0.20746702,0.38623464,0.0007497003,0.20746702,0.20746702,0.00015553809,188.50316,0.58907235,11.467207,13.729646,1.1821852,1.1519966,1.1957225,1.2285881,1.4025042,1.2384976,17.88854381999832,542.1835482564921,30.14962686336267
NEG~fully,NEGMIR,fully,1668,735.45649,1086.24023,0.46214792,0.18388718,0.0037088406,0.32808813,0.0056741834,293963,5084,2032082,1668.0,292295.0,3416.0,1734703.0,293963.0,1738119.0,5084.0,2026998.0,293227.543511532,4348.543511532,1733770.456488468,22.833426,0.011155437,0.18388718,0.35563907,0.0037088406,0.18388718,0.18388718,0.0006820083,932.54351,0.5590789,27.1193,30.537575,1.3143415,1.3013803,1.3201537,1.3342644,1.4089342,1.338519,40.84115571332428,542.1835482564921,71.30217387990355
NEG~specifically,NEGMIR,specifically,144,63.94016,92.01924,0.45684806,0.18117027,0.0003184079,0.32579187,0.0004898576,293963,442,2032082,144.0,293819.0,298.0,1737821.0,293963.0,1738119.0,442.0,2031640.0,293899.059841089,378.059841089,1737740.940158911,6.6716533,0.000978244,0.18117027,0.35258877,0.0003184079,0.18117027,0.18117027,5.7686044e-05,80.05984000000001,0.5559711,7.996259,8.947617,0.7816068,0.73747915,0.8013947,0.84943545,1.1036543,0.86392057,12.0,542.1835482564921,21.02379604162864
NEG~statistically,NEGMIR,statistically,135,60.32363,85.02503,0.4528361,0.17911677,0.0002969971,0.32374102,0.0004592415,293963,417,2032082,135.0,293828.0,282.0,1737837.0,293963.0,1738119.0,417.0,2031665.0,293902.676365914,356.676365914,1737762.323634086,6.4271183,0.000917182,0.17911677,0.34984627,0.0002969971,0.17911677,0.17911677,5.319716e-05,74.67636999999999,0.5531583,7.766829,8.641549,0.7452164,0.6997102,0.7656225,0.815164,1.0773246,0.83010167,11.61895003862225,542.1835482564921,20.42057785666214
NEG~structurally,NEGMIR,structurally,103,47.59347,59.94317,0.43175408,0.16843618,0.0002203586,0.3130699,0.0003503842,293963,329,2032082,103.0,293860.0,226.0,1737893.0,293963.0,1738119.0,329.0,2031753.0,293915.406533299,281.406533299,1737837.593466701,5.4593678,0.000699985,0.16843618,0.3352899,0.0002203586,0.16843618,0.16843618,3.7116362e-05,55.40653,0.53792745,6.8988023,7.4435563,0.5714995,0.5198059,0.5946802,0.65095776,0.948764,0.6679265,10.14889156509222,542.1835482564921,18.138357147217054
NEG~terribly,NEGMIR,terribly,1579,754.84106,847.65191,0.410693,0.15835199,0.0032777817,0.30260637,0.0053714244,293963,5218,2032082,1579.0,292384.0,3639.0,1734480.0,293963.0,1738119.0,5218.0,2026864.0,293208.158938468,4463.158938468,1733655.841061532,20.740532,0.010555483,0.15835199,0.3205266,0.0032777817,0.15835199,0.15835199,0.00051904324,824.15894,0.52194995,27.474371,28.708168,1.1420869,1.1290103,1.1479506,1.1621866,1.2375199,1.166479,39.736632972611055,542.1835482564921,72.2357252334328
POS~insufficiently,POSMIR,insufficiently,191,163.36843,59.69644,1.8114845,0.14468148,0.0001098898,1.0,0.0001098898,1738105,191,2032082,191.0,1737914.0,0.0,293977.0,1738105.0,293977.0,191.0,2031891.0,1737941.631565557,27.631565557,293949.368434443,1.99935,0.000219755,0.14468148,0.06786522,0.0001098898,0.14468148,0.14468148,1.5899019e-05,27.63157000000001,0.14466791,12.781566,5.256574,0.0,0.0,0.0,0.0,0.27907136,0.0,13.820274961085254,1318.3721022533812,13.820274961085254
POS~sorely,POSMIR,sorely,179,153.10445,55.9457,1.7833772,0.14468063,0.0001029857,1.0,0.0001029857,1738105,179,2032082,179.0,1737926.0,0.0,293977.0,1738105.0,293977.0,179.0,2031903.0,1737951.895550967,25.895550967,293951.104449033,1.9355243,0.00020595,0.14468063,0.06786522,0.0001029857,0.14468063,0.14468063,1.4900035e-05,25.895549999999986,0.14466788,12.373538,5.088767,0.0,0.0,0.0,0.0,0.18495646,0.0,13.379088160259652,1318.3721022533812,13.379088160259652
POS~inexplicably,POSMIR,inexplicably,171,146.26179,53.44522,1.7635748,0.14468005,9.8383e-05,1.0,9.8383e-05,1738105,171,2032082,171.0,1737934.0,0.0,293977.0,1738105.0,293977.0,171.0,2031911.0,1737958.738207907,24.738207907,293952.261792093,1.891778,0.000196747,0.14468005,0.06786522,9.8383e-05,0.14468005,0.14468005,1.4234058e-05,24.73821000000001,0.1446679,12.093874,4.973752,0.0,0.0,0.0,0.0,0.11861952,0.0,13.076696830622021,1318.3721022533812,13.076696830622021
POS~admittedly,POSMIR,admittedly,141,120.60183,44.06851,1.6800597,0.14467792,8.11228e-05,1.0,8.11228e-05,1738105,141,2032082,141.0,1737964.0,0.0,293977.0,1738105.0,293977.0,141.0,2031941.0,1737984.398171432,20.398171432,293956.601828568,1.7178359,0.000162233,0.14467792,0.06786522,8.11228e-05,0.14467792,0.14467792,1.1736678e-05,20.398169999999993,0.14466788,10.981887,4.5164332,0.0,0.0,0.0,0.0,0.0,0.0,11.874342087037917,1318.3721022533812,11.874342087037917
POS~least,POSMIR,least,131,112.04851,40.94297,1.6482265,0.1446772,7.53694e-05,1.0,7.53694e-05,1738105,131,2032082,131.0,1737974.0,0.0,293977.0,1738105.0,293977.0,131.0,2031951.0,1737992.951492607,18.951492607,293958.048507393,1.6557996,0.000150728,0.1446772,0.06786522,7.53694e-05,0.1446772,0.1446772,1.0904235e-05,18.951490000000007,0.14466786,10.585297,4.353331,0.0,0.0,0.0,0.0,0.0,0.0,11.445523142259598,1318.3721022533812,11.445523142259598
POS~sizey,POSMIR,sizey,130,111.19318,40.63042,1.6449109,0.14467713,7.47941e-05,1.0,7.47941e-05,1738105,130,2032082,130.0,1737975.0,0.0,293977.0,1738105.0,293977.0,130.0,2031952.0,1737993.806824725,18.806824725,293958.193175275,1.6494676,0.000149577,0.14467713,0.06786522,7.47941e-05,0.14467713,0.14467713,1.0820996e-05,18.806820000000002,0.14466785,10.544818,4.3366833,0.0,0.0,0.0,0.0,0.0,0.0,11.40175425099138,1318.3721022533812,11.40175425099138
POS~indescribably,POSMIR,indescribably,124,106.06118,38.75511,1.6244683,0.14467672,7.13421e-05,1.0,7.13421e-05,1738105,124,2032082,124.0,1737981.0,0.0,293977.0,1738105.0,293977.0,124.0,2031958.0,1737998.93881743,17.93881743,293959.06118257,1.6109533,0.000142674,0.14467672,0.06786522,7.13421e-05,0.14467672,0.14467672,1.0321541e-05,17.938820000000007,0.14466791,10.298601,4.2354245,0.0,0.0,0.0,0.0,0.0,0.0,11.135528725660043,1318.3721022533812,11.135528725660043
POS~unspeakably,POSMIR,unspeakably,112,95.7972,35.0045,1.5804485,0.14467585,6.4438e-05,1.0,6.4438e-05,1738105,112,2032082,112.0,1737993.0,0.0,293977.0,1738105.0,293977.0,112.0,2031970.0,1738009.20280284,16.20280284,293960.79719716,1.531021,0.000128868,0.14467585,0.06786522,6.4438e-05,0.14467585,0.14467585,9.322623e-06,16.202799999999996,0.14466786,9.787604,4.02527,0.0,0.0,0.0,0.0,0.0,0.0,10.583005244258363,1318.3721022533812,10.583005244258363
POS~cautiously,POSMIR,cautiously,111,94.94187,34.69195,1.5765705,0.14467579,6.38627e-05,1.0,6.38627e-05,1738105,111,2032082,111.0,1737994.0,0.0,293977.0,1738105.0,293977.0,111.0,2031971.0,1738010.058134957,16.058134957,293960.941865043,1.5241708,0.000127717,0.14467579,0.06786522,6.38627e-05,0.14467579,0.14467579,9.239387e-06,16.058130000000006,0.14466783,9.743812,4.00726,0.0,0.0,0.0,0.0,0.0,0.0,10.535653752852738,1318.3721022533812,10.535653752852738
POS~plain,POSMIR,plain,6049,5187.58929,1733.35867,1.7939639,0.14245497,0.003425801,0.9973619,0.003480227,1738105,6065,2032082,6049.0,1732056.0,16.0,293961.0,1738105.0,293977.0,6065.0,2026017.0,1732917.410707344,877.410707344,293099.589292656,11.075631,0.00693625,0.14245497,0.066718,0.003425801,0.14245497,0.14245497,0.00048802237,861.4107100000001,0.14240548,72.02492,29.349798,4.1905336,4.0816727,4.23935,4.3578644,4.9850116,4.3935986,77.77531742140305,1318.3721022533812,77.87810988975015
POS~maybe,POSMIR,maybe,2998,2571.12835,857.78462,1.776461,0.14221692,0.001697654,0.99733865,0.001724867,1738105,3006,2032082,2998.0,1735107.0,8.0,293969.0,1738105.0,293977.0,3006.0,2029076.0,1735533.871654786,434.871654786,293542.128345214,7.7961736,0.003443778,0.14221692,0.06670787,0.001697654,0.14221692,0.14221692,0.00024143512,426.87165000000005,0.14238547,50.706295,20.660872,3.4287832,3.274826,3.4978213,3.6654308,4.5523753,3.715968,54.75399528801528,1318.3721022533812,54.8270006474912
POS~rather,POSMIR,rather,9290,7973.406,2607.00959,1.6866739,0.14188603,0.005236049,0.99656725,0.0053449017,1738105,9322,2032082,9290.0,1728815.0,32.0,293945.0,1738105.0,293977.0,9322.0,2022760.0,1730131.594000636,1348.594000636,292628.405999364,13.65979,0.010632776,0.14188603,0.066371836,0.005236049,0.14188603,0.14188603,0.0007429223,1316.594,0.14172164,89.29393,36.2849,4.3386583,4.2616534,4.373189,4.457022,4.900645,4.4822993,96.38464608017192,1318.3721022533812,96.55050491841045
POS~pretty,POSMIR,pretty,26788,23024.68527,7278.86848,1.5438126,0.14167824,0.0149665745,0.9951336,0.015412187,1738105,26919,2032082,26788.0,1711317.0,131.0,293846.0,1738105.0,293977.0,26919.0,2005163.0,1715080.314728933,3894.314728933,290082.685271067,22.993252,0.030354261,0.14167824,0.06574659,0.0149665745,0.14167824,0.14167824,0.002120438,3763.3147299999982,0.1404851,151.73888,61.345863,4.479638,4.441559,4.496713,4.538169,4.7575407,4.5506682,163.67040050051813,1318.3721022533812,164.0701069665038
