        l1  l2                         f        E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1      f2        N  
----------  --------------------  ------  ---------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  ------  -------  
   NEGATED  that                  164768   83340.00                 3                 14            1            6                 332                   9          214471.83               1.958        0.5017        0.0513               0.9885               0.0519  3173681  166680  6347362  
   NEGATED  not                     5660    2830.00                43                  1            2           57                   1                 100            7851.48               4.055        0.5004        0.0018               1.0000               0.0018  3173681    5660  6347362  
   NEGATED  n't                     3621    1810.50                53                  2            3           75                   1                 127            5021.84               3.860        0.5003        0.0011               1.0000               0.0011  3173681    3621  6347362  
   NEGATED  no                       350     175.00               208                  3            4          308                   1                 538             485.22               2.846        0.5000        0.0001               1.0000               0.0001  3173681     350  6347362  
   NEGATED  never                    296     148.00               234                  4            5          332                   1                 589             410.36               2.773        0.5000        0.0001               1.0000               0.0001  3173681     296  6347362  
COMPLEMENT  yearly                    90      45.00               415                  7            6          567                   1                1046             124.77               2.258        0.5000        0.0000               1.0000               0.0000  3173681      90  6347362  
   NEGATED  hardly                    84      42.00               431                  8            7          584                   1                1083             116.45               2.228        0.5000        0.0000               1.0000               0.0000  3173681      84  6347362  
   NEGATED  barely                    58      29.00               503                 12            8          701                   1                1295              80.41               2.068        0.5000        0.0000               1.0000               0.0000  3173681      58  6347362  
COMPLEMENT  eagerly                   44      22.00               569                 15            9          792                   1                1475              61.00               1.949        0.5000        0.0000               1.0000               0.0000  3173681      44  6347362  
COMPLEMENT  fourth                    44      22.00               569                 15            9          792                   1                1475              61.00               1.949        0.5000        0.0000               1.0000               0.0000  3173681      44  6347362  
COMPLEMENT  second-most               41      20.50               588                 18           11          817                   1                1519              56.84               1.919        0.5000        0.0000               1.0000               0.0000  3173681      41  6347362  
COMPLEMENT  successively              40      20.00               597                 19           12          826                   1                1546              55.45               1.908        0.5000        0.0000               1.0000               0.0000  3173681      40  6347362  
COMPLEMENT  whereby                   40      20.00               597                 19           12          826                   1                1546              55.45               1.908        0.5000        0.0000               1.0000               0.0000  3173681      40  6347362  
COMPLEMENT  legendarily               39      19.50               609                 21           14          833                   1                1562              54.07               1.898        0.5000        0.0000               1.0000               0.0000  3173681      39  6347362  
   NEGATED  rarely                    39      19.50               609                 21           14          833                   1                1562              54.07               1.898        0.5000        0.0000               1.0000               0.0000  3173681      39  6347362  
COMPLEMENT  variably                  32      16.00               668                 27           16          921                   1                1715              44.36               1.813        0.5000        0.0000               1.0000               0.0000  3173681      32  6347362  
COMPLEMENT  reputedly                 30      15.00               686                 28           17          949                   1                1759              41.59               1.785        0.5000        0.0000               1.0000               0.0000  3173681      30  6347362  
COMPLEMENT  ever-more                 30      15.00               686                 28           17          949                   1                1759              41.59               1.785        0.5000        0.0000               1.0000               0.0000  3173681      30  6347362  
COMPLEMENT  deceivingly               29      14.50               698                 32           19          959                   1                1784              40.20               1.771        0.5000        0.0000               1.0000               0.0000  3173681      29  6347362  
COMPLEMENT  variously                 29      14.50               698                 32           19          959                   1                1784              40.20               1.771        0.5000        0.0000               1.0000               0.0000  3173681      29  6347362  
COMPLEMENT  inarguably                28      14.00               705                 34           21          974                   1                1806              38.82               1.756        0.5000        0.0000               1.0000               0.0000  3173681      28  6347362  
COMPLEMENT  oh-so                     26      13.00               727                 42           22         1007                   1                1868              36.04               1.724        0.5000        0.0000               1.0000               0.0000  3173681      26  6347362  
   NEGATED  doubt                     26      13.00               727                 42           22         1007                   1                1868              36.04               1.724        0.5000        0.0000               1.0000               0.0000  3173681      26  6347362  
   NEGATED  necesarily                25      12.50               742                 46           24         1035                   1                1911              34.66               1.708        0.5000        0.0000               1.0000               0.0000  3173681      25  6347362  
COMPLEMENT  beguilingly               25      12.50               742                 46           24         1035                   1                1911              34.66               1.708        0.5000        0.0000               1.0000               0.0000  3173681      25  6347362  
COMPLEMENT  as-yet                    25      12.50               742                 46           24         1035                   1                1911              34.66               1.708        0.5000        0.0000               1.0000               0.0000  3173681      25  6347362  
COMPLEMENT  expectedly                24      12.00               757                 53           27         1057                   1                1949              33.27               1.690        0.5000        0.0000               1.0000               0.0000  3173681      24  6347362  
   NEGATED  neccesarily               24      12.00               757                 53           27         1057                   1                1949              33.27               1.690        0.5000        0.0000               1.0000               0.0000  3173681      24  6347362  
COMPLEMENT  sixth                     24      12.00               757                 53           27         1057                   1                1949              33.27               1.690        0.5000        0.0000               1.0000               0.0000  3173681      24  6347362  
COMPLEMENT  formidably                24      12.00               757                 53           27         1057                   1                1949              33.27               1.690        0.5000        0.0000               1.0000               0.0000  3173681      24  6347362  
COMPLEMENT  enviromentally            23      11.50               776                 57           31         1083                   1                1982              31.88               1.672        0.5000        0.0000               1.0000               0.0000  3173681      23  6347362  
COMPLEMENT  delectably                23      11.50               776                 57           31         1083                   1                1982              31.88               1.672        0.5000        0.0000               1.0000               0.0000  3173681      23  6347362  
   NEGATED  immediatly                23      11.50               776                 57           31         1083                   1                1982              31.88               1.672        0.5000        0.0000               1.0000               0.0000  3173681      23  6347362  
COMPLEMENT  treacherously             21      10.50               813                 65           34         1117                   1                2058              29.11               1.633        0.5000        0.0000               1.0000               0.0000  3173681      21  6347362  
COMPLEMENT  waaaay                    19       9.50               851                 75           35         1149                   1                2144              26.34               1.591        0.5000        0.0000               1.0000               0.0000  3173681      19  6347362  
COMPLEMENT  enchantingly              18       9.00               863                 78           36         1168                   1                2195              24.95               1.568        0.5000        0.0000               1.0000               0.0000  3173681      18  6347362  
COMPLEMENT  deeper                    17       8.50               885                 84           37         1191                   1                2245              23.57               1.544        0.5000        0.0000               1.0000               0.0000  3173681      17  6347362  
COMPLEMENT  decreasingly              17       8.50               885                 84           37         1191                   1                2245              23.57               1.544        0.5000        0.0000               1.0000               0.0000  3173681      17  6347362  
COMPLEMENT  commendably               17       8.50               885                 84           37         1191                   1                2245              23.57               1.544        0.5000        0.0000               1.0000               0.0000  3173681      17  6347362  
COMPLEMENT  imperfectly               17       8.50               885                 84           37         1191                   1                2245              23.57               1.544        0.5000        0.0000               1.0000               0.0000  3173681      17  6347362  
   NEGATED  seldom                    16       8.00               914                 93           41         1225                   1                2290              22.18               1.519        0.5000        0.0000               1.0000               0.0000  3173681      16  6347362  
COMPLEMENT  serve                     16       8.00               914                 93           41         1225                   1                2290              22.18               1.519        0.5000        0.0000               1.0000               0.0000  3173681      16  6347362  
COMPLEMENT  unarguably                16       8.00               914                 93           41         1225                   1                2290              22.18               1.519        0.5000        0.0000               1.0000               0.0000  3173681      16  6347362  
COMPLEMENT  sternly                   16       8.00               914                 93           41         1225                   1                2290              22.18               1.519        0.5000        0.0000               1.0000               0.0000  3173681      16  6347362  
COMPLEMENT  helluva                   15       7.50               947                102           45         1263                   1                2361              20.79               1.491        0.5000        0.0000               1.0000               0.0000  3173681      15  6347362  
COMPLEMENT  familiarly                15       7.50               947                102           45         1263                   1                2361              20.79               1.491        0.5000        0.0000               1.0000               0.0000  3173681      15  6347362  
   NEGATED  certified                 15       7.50               947                102           45         1263                   1                2361              20.79               1.491        0.5000        0.0000               1.0000               0.0000  3173681      15  6347362  
COMPLEMENT  exhilaratingly            15       7.50               947                102           45         1263                   1                2361              20.79               1.491        0.5000        0.0000               1.0000               0.0000  3173681      15  6347362  
