key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG-as_bad,0,NEGATIVE,as_bad,4,1.0149254,2,2,1,2,2,1,2,1,2,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536
NEG-more_toxic,1,NEGATIVE,more_toxic,4,1.0149254,2,2,1,2,2,1,2,1,2,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536
NEG-immediately_available,2,NEGATIVE,immediately_available,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-as_popular,3,NEGATIVE,as_popular,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-more_effective,4,NEGATIVE,more_effective,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-particularly_exciting,5,NEGATIVE,particularly_exciting,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-too_late,6,NEGATIVE,too_late,8,2.2835822,1,1,7,1,1,7,1,19,1,7,1,1,16.580656,16.580656,1.2459413,0.11034483,2.0210588,0.6460046,0.05632353,0.8888889,0.05882353,0.6351575,0.042032484,5.716418,136,9,536
NEG-as_good,7,NEGATIVE,as_good,4,1.5223881,10,10,10,4,8,8,4,21,2,8,4,4,4.565761,4.565761,0.7334849,0.056338027,1.238806,0.41761005,0.024411766,0.6666667,0.029411765,0.41293532,0.018217735,2.477612,136,6,536
POS-very_important,8,POSITIVE,very_important,9,6.716418,8,8,8,5,9,9,5,1,5,9,10,5,5.3201165,5.3201165,0.8211545,0.04400978,0.761194,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536
POS-very_good,9,POSITIVE,very_good,9,6.716418,8,8,8,5,9,9,5,1,5,9,10,5,5.3201165,5.3201165,0.8211545,0.04400978,0.761194,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536
POS-too_familiar,10,POSITIVE,too_familiar,5,3.7313433,11,11,11,12,12,11,11,1,12,9,12,11,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536
POS-as_young,11,POSITIVE,as_young,4,2.9850745,12,12,12,13,13,12,13,1,13,9,13,13,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
POS-still_alive,12,POSITIVE,still_alive,4,2.9850745,12,12,12,13,13,12,13,1,13,9,13,13,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
POS-too_afraid,13,POSITIVE,too_afraid,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-very_special,14,POSITIVE,very_special,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-less_good,15,POSITIVE,less_good,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-as_mundane,16,POSITIVE,as_mundane,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-too_young,17,POSITIVE,too_young,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-so_strong,18,POSITIVE,so_strong,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
POS-as_divisive,19,POSITIVE,as_divisive,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536
NEG-more_important,20,NEGATIVE,more_important,3,1.7761194,21,21,21,11,11,21,12,23,7,21,9,12,1.0245031,1.0245031,0.36361745,0.04195804,0.7066078,0.17715366,0.012058824,0.42857143,0.022058824,0.1748401,0.008999122,1.2238806,136,7,536
POS-all_right,21,POSITIVE,all_right,4,3.7313433,22,23,22,15,22,22,22,20,13,22,22,22,0.0810088,0.0810088,0.01081736,0.019753085,0.1343284,0.05423729,0.002647059,0.8,0.01,0.05373134,0.000671642,0.2686567,400,5,536
POS-more_important,22,POSITIVE,more_important,4,5.223881,23,21,23,16,23,23,23,22,13,23,23,23,-1.0245031,1.0245031,-0.36361745,0.01965602,-0.6119403,-0.17715366,-0.012058824,0.5714286,0.01,-0.1748401,-0.003059701,-1.2238806,400,7,536
