key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
POS-even,24,POSITIVE,even,5,4.477612,27,33,28,26,28,25,28,20,24,25,28,28,0.2656371,0.2656371,0.09906424,0.02463054,0.233619,0.08805031,0.00514706,0.8333333,0.0125,0.08706468,0.00130597,0.5223881,400,6,536
POS-so,25,POSITIVE,so,42,38.0597,19,23,25,3,14,26,4,21,5,26,10,4,1.9068439,1.9068439,0.20168635,0.18625277,0.6080013,0.08538508,0.03882353,0.8235294,0.105,0.07726076,0.009850746,3.9402986,400,51,536
NEG-too,26,NEGATIVE,too,18,14.716418,26,31,27,4,9,27,5,34,3,27,4,5,1.0590183,1.0590183,0.14290363,0.185567,0.7739477,0.0634829,0.03235294,0.31034482,0.13235295,0.05661348,0.024143986,3.2835822,136,58,536
NEG-really,27,NEGATIVE,really,4,3.2985075,28,34,26,12,27,28,27,35,11,28,11,27,0.1965761,0.1965761,0.1460048,0.05369128,0.3507463,0.05530225,0.00691176,0.30769232,0.029411765,0.05396096,0.005158033,0.7014925,136,13,536
POS-all,28,POSITIVE,all,4,3.7313433,29,36,30,31,29,29,30,22,27,29,30,30,0.0810088,0.0810088,0.01081736,0.01975309,0.1343284,0.05423729,0.00264706,0.8,0.01,0.05373134,0.000671642,0.2686567,400,5,536
POS-quite,29,POSITIVE,quite,7,6.716418,30,37,29,19,30,30,29,24,19,30,29,29,0.0493856,0.0493856,0.0108988,0.03422983,0.107184,0.03204723,0.00279412,0.7777778,0.0175,0.03150912,0.000708955,0.2835821,400,9,536
POS-really,30,POSITIVE,really,9,9.701492,31,34,32,13,31,31,31,26,13,31,31,31,-0.1965761,0.1965761,-0.1460048,0.04358354,-0.2338308,-0.05530225,-0.00691176,0.6923077,0.0225,-0.05396096,-0.001753731,-0.7014925,400,13,536
POS-too,31,POSITIVE,too,40,43.28358,32,31,31,6,32,32,33,27,7,32,33,33,-1.0590183,1.0590183,-0.14290363,0.17467248,-0.5191799,-0.0634829,-0.03235294,0.6896552,0.1,-0.05661348,-0.008208955,-3.2835822,400,58,536
NEG-so,32,NEGATIVE,so,9,12.940298,33,23,33,9,35,33,34,36,9,33,35,34,-1.9068439,1.9068439,-0.20168635,0.09625668,-1.3134328,-0.08538508,-0.03882353,0.1764706,0.066176474,-0.07726076,-0.028972782,-3.9402986,136,51,536
POS-as,33,POSITIVE,as,29,33.58209,34,17,34,8,33,34,35,28,8,34,34,35,-2.5162425,2.5162425,-0.2366337,0.13033707,-0.8508727,-0.11115637,-0.04514706,0.64444447,0.0725,-0.10182421,-0.011455224,-4.5820894,400,45,536
POS-less,34,POSITIVE,less,6,8.955224,35,13,35,22,34,35,32,30,21,36,32,32,-3.4227102,3.4227102,-0.4804365,0.02912621,-1.2064651,-0.2519084,-0.02911765,0.5,0.015,-0.24626866,-0.00738806,-2.9552238,400,12,536
NEG-very,35,NEGATIVE,very,3,21.820896,36,3,37,23,37,36,36,37,14,35,37,36,-34.803303,34.803303,-1.001356,0.02702703,-10.866249,-0.26067182,-0.18544118,0.03488372,0.022058824,-0.21884762,-0.13838893,-18.820896,136,86,536
POS-more,36,POSITIVE,more,42,66.41791,37,1,36,7,36,37,37,32,5,37,36,37,-37.83041,37.83041,-0.6509708,0.17177914,-3.7677653,-0.32898474,-0.24058823,0.47191012,0.105,-0.27435854,-0.061044775,-24.41791,400,89,536
