key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG-toxic,0,NEGATIVE,toxic,4,1.0149254,2,2,1,4,2,1,2,1,4,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536
NEG-popular,1,NEGATIVE,popular,3,0.761194,3,3,2,9,3,2,4,1,9,1,3,4,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-late,2,NEGATIVE,late,8,2.2835822,1,1,3,1,1,3,1,24,1,3,1,1,16.580656,16.580656,1.2459413,0.11034483,2.021059,0.6460046,0.05632353,0.8888889,0.05882353,0.6351575,0.042032484,5.716418,136,9,536
NEG-exciting,3,NEGATIVE,exciting,3,1.0149254,5,5,4,10,4,4,7,32,9,4,5,7,4.354779,4.354779,0.8440123,0.042857144,1.1460834,0.5,0.019558825,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536
NEG-effective,4,NEGATIVE,effective,3,1.0149254,5,5,4,10,4,4,7,32,9,4,5,7,4.354779,4.354779,0.8440123,0.042857144,1.1460834,0.5,0.019558825,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536
NEG-serious,5,NEGATIVE,serious,3,1.2686567,13,14,9,12,7,6,9,38,9,6,7,9,2.699335,2.699335,0.6210751,0.04255319,0.9995915,0.34952918,0.017058823,0.6,0.022058824,0.34626865,0.012730465,1.7313433,136,5,536
NEG-bad,6,NEGATIVE,bad,4,1.7761194,9,9,10,5,6,7,5,41,4,7,4,5,3.216694,3.216694,0.58626574,0.055944055,1.1119403,0.32190117,0.021911765,0.5714286,0.029411765,0.31769723,0.016352063,2.2238805,136,7,536
POS-young,7,POSITIVE,young,9,6.716418,4,4,6,8,10,8,3,1,8,8,10,3,5.3201165,5.3201165,0.8211545,0.04400978,0.76119405,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536
POS-excited,8,POSITIVE,excited,6,4.477612,7,7,7,17,11,9,10,1,17,8,12,10,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536
POS-strong,9,POSITIVE,strong,6,4.477612,7,7,7,17,11,9,10,1,17,8,12,10,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536
POS-simple,10,POSITIVE,simple,5,3.7313433,10,11,11,19,13,11,15,1,19,8,15,15,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536
POS-familiar,11,POSITIVE,familiar,5,3.7313433,10,11,11,19,13,11,15,1,19,8,15,15,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536
