     l1  l2                                f      E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1     f2         N  
-------  ----------------------------  -----  -------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  -------  -----  --------  
NEGATED  exactly_shy                     124     4.69              1514                 2900                  1    6166       1727            1         4066                   1                6166                   1                2029           4066             812.03                812.03               3.801  0.00008       10.71        0.9622       0.00004               1.0000              0.00004               0.9622              0.00004          119.31  3151804    124  83284343  
NEGATED  exactly_forthcoming             107     4.05              1728                 3284                  2    7004       1980            2         4630                   1                7005                   1                2305           4630             700.70                700.70               3.738  0.00007        9.95        0.9622       0.00003               1.0000              0.00003               0.9622              0.00003          102.95  3151804    107  83284343  
NEGATED  exactly_practical               106     4.01              1744                 3314                  3    7078       2003            3         4675                   1                7079                   1                2326           4675             694.15                694.15               3.734  0.00007        9.91        0.9622       0.00003               1.0000              0.00003               0.9622              0.00003          101.99  3151804    106  83284343  
NEGATED  exactly_impressive              100     3.78              1839                 3484                  4    7463       2107            4         4910                   1                7463                   1                2435           4910             654.86                654.86               3.708  0.00006        9.62        0.9622       0.00003               1.0000              0.00003               0.9622              0.00003           96.22  3151804    100  83284343  
NEGATED  exactly_straightforward          83     3.14              2164                 4064                  5    8680       2447            5         5729                   1                8681                   1                2837           5729             543.53                543.53               3.628  0.00005        8.77        0.9622       0.00003               1.0000              0.00003               0.9622              0.00003           79.86  3151804     83  83284343  
NEGATED  exactly_reassuring               78     2.95              2282                 4267                  6    9182       2589            6         6033                   1                9182                   1                2978           6033             510.79                510.79               3.601  0.00005        8.50        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           75.05  3151804     78  83284343  
NEGATED  exactly_intuitive                76     2.88              2337                 4359                  7    9386       2643            7         6158                   1                9388                   1                3038           6158             497.69                497.69               3.590  0.00005        8.39        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           73.12  3151804     76  83284343  
NEGATED  exactly_novel                    66     2.50              2661                 4905                  8   10670       2943            8         7008                   1               10671                   1                3439           7008             432.21                432.21               3.529  0.00004        7.82        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           63.50  3151804     66  83284343  
NEGATED  exactly_unheard                  65     2.46              2704                 4978                  9   10800       3003            9         7095                   1               10801                   1                3480           7095             425.66                425.66               3.523  0.00004        7.76        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           62.54  3151804     65  83284343  
NEGATED  exactly_romantic                 64     2.42              2744                 5047                 10   10935       3042           10         7176                   1               10936                   1                3512           7176             419.11                419.11               3.516  0.00004        7.70        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           61.58  3151804     64  83284343  
NEGATED  that_thrilled                    59     2.23              2935                 5371                 12   11723       3249           11         7700                   1               11724                   1                3762           7700             386.37                386.37               3.481  0.00004        7.39        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           56.77  3151804     59  83284343  
NEGATED  exactly_kind                     52     1.97              3244                 5907                 13   13072       3596           12         8560                   1               13072                   1                4153           8560             340.53                340.53               3.426  0.00003        6.94        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           50.03  3151804     52  83284343  
NEGATED  exactly_obvious                  50     1.89              3355                 6089                 14   13528       3715           13         8852                   1               13529                   1                4278           8852             327.43                327.43               3.410  0.00003        6.80        0.9622       0.00002               1.0000              0.00002               0.9622              0.00002           48.11  3151804     50  83284343  
NEGATED  exactly_worried                  47     1.78              3540                 6385                 15   14259       3905           14         9332                   1               14260                   1                4512           9332             307.78                307.78               3.383  0.00003        6.60        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           45.22  3151804     47  83284343  
NEGATED  exactly_inexpensive              46     1.74              3603                 6489                 16   14526       3959           15         9509                   1               14526                   1                4579           9509             301.23                301.23               3.374  0.00003        6.53        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           44.26  3151804     46  83284343  
NEGATED  only_yummy                       44     1.67              3730                 6691                 19   15045       4099           16         9855                   1               15045                   1                4741           9855             288.14                288.14               3.355  0.00003        6.38        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           42.33  3151804     44  83284343  
NEGATED  yet_privy                        38     1.44              4213                 7493                 22   17012       4575           17        11104                   1               17012                   1                5311          11104             248.85                248.85               3.292  0.00002        5.93        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           36.56  3151804     38  83284343  
NEGATED  exactly_supportive               37     1.40              4300                 7632                 23   17367       4692           18        11333                   1               17368                   1                5423          11333             242.30                242.30               3.280  0.00002        5.85        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           35.60  3151804     37  83284343  
NEGATED  exactly_unprecedented            37     1.40              4300                 7632                 23   17367       4692           18        11333                   1               17368                   1                5423          11333             242.30                242.30               3.280  0.00002        5.85        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           35.60  3151804     37  83284343  
NEGATED  exactly_user-friendly            36     1.36              4374                 7747                 25   17772       4790           20        11596                   1               17772                   1                5551          11596             235.75                235.75               3.269  0.00002        5.77        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           34.64  3151804     36  83284343  
NEGATED  exactly_transparent              35     1.32              4487                 7933                 26   18163       4897           21        11877                   1               18163                   1                5664          11877             229.20                229.20               3.257  0.00002        5.69        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           33.68  3151804     35  83284343  
NEGATED  exactly_alone                    35     1.32              4487                 7933                 26   18163       4897           21        11877                   1               18163                   1                5664          11877             229.20                229.20               3.257  0.00002        5.69        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           33.68  3151804     35  83284343  
NEGATED  necessarily_transferable         34     1.29              4594                 8100                 28   18552       5006           23        12140                   1               18552                   1                5794          12140             222.65                222.65               3.244  0.00002        5.61        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           32.71  3151804     34  83284343  
NEGATED  necessarily_interchangeable      34     1.29              4594                 8100                 28   18552       5006           23        12140                   1               18552                   1                5794          12140             222.65                222.65               3.244  0.00002        5.61        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           32.71  3151804     34  83284343  
NEGATED  only_appalling                   33     1.25              4714                 8282                 30   18969       5125           25        12418                   1               18969                   1                5920          12418             216.10                216.10               3.231  0.00002        5.53        0.9622       0.00001               1.0000              0.00001               0.9622              0.00001           31.75  3151804     33  83284343  
