key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
any~happier,834,5.1266876,828.8733124,0.41374007,0.41616768,0.051176205,0.051361006,7.7638097,7282.9927,6347364,16238,2004,any,happier
any~clearer,371,2.486597,368.513403,0.37918708,0.38168725,0.022752713,0.022847641,7.388873,3147.5773,6347364,16238,972,any,clearer
any~truer,43,0.3018708,42.6981292,0.36185527,0.3644068,0.0026362631,0.0026481093,6.1951623,358.98765,6347364,16238,118,any,truer
any~cuter,47,0.3786176,46.6213824,0.3150167,0.31756756,0.0028784922,0.002894445,6.0084443,376.67857,6347364,16238,148,any,cuter
any~closer,611,9.4296259,601.5703741,0.16329895,0.16576235,0.03714209,0.037627786,5.922295,4021.0392,6347364,16238,3686,any,closer
any~worse,1762,30.9954822,1731.0045178,0.14314254,0.14542754,0.10687549,0.108510904,5.848979,11229.253,6347364,16238,12116,any,worse
any~simpler,229,3.6991967,225.3008033,0.15584518,0.15836792,0.013910498,0.014102722,5.610105,1479.2602,6347364,16238,1446,any,simpler
any~easier,1625,32.9422932,1592.0577068,0.12388709,0.12619399,0.09829665,0.100073904,5.6058636,9854.27,6347364,16238,12877,any,easier
any~younger,255,4.5638775,250.4361225,0.14041846,0.14293721,0.015462399,0.015703904,5.4726086,1591.8244,6347364,16238,1784,any,younger
any~safer,255,4.7020218,250.2979782,0.13621898,0.13873775,0.0154538695,0.015703904,5.423685,1575.7052,6347364,16238,1838,any,safer
