key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
any~happier,963,7.8384228,955.1615772,0.05753218,0.057991087,0.027793981,0.028008841,6.747687,7438.5481,72839589,34382,16606,any,happier
any~clearer,608,5.5132348,602.4867652,0.051591042,0.052054796,0.017531594,0.017683672,6.508951,4556.1711,72839589,34382,11680,any,clearer
any~closer,1738,29.017647,1708.982353,0.027823113,0.028271655,0.049729202,0.050549705,5.742233,10942.347,72839589,34382,61475,any,closer
any~wiser,141,1.7134454,139.2865546,0.038372863,0.038842976,0.004053061,0.004100983,5.6584835,971.10061,72839589,34382,3630,any,wiser
any~cuter,80,0.86285901,79.13714099,0.04329274,0.043763675,0.0023027896,0.0023267989,5.5567555,570.11118,72839589,34382,1828,any,cuter
any~safer,626,10.774409,615.225591,0.026961291,0.027424866,0.017902277,0.018207202,5.5566826,3883.2187,72839589,34382,22826,any,safer
any~worse,3673,84.497876,3588.502124,0.020095542,0.020518178,0.104420826,0.10682915,5.333166,20994.303,72839589,34382,179012,any,worse
any~better,11460,295.3607,11164.6393,0.017997103,0.01831452,0.32487673,0.33331394,5.226501,65861.942,72839589,34382,625733,any,better
any~truer,56,0.67357758,55.32642242,0.038771905,0.03924317,0.0016099282,0.0016287592,5.1613955,386.70708,72839589,34382,1427,any,truer
any~nearer,66,0.8666352,65.1333648,0.035476584,0.035947714,0.0018952977,0.0019196091,5.145251,444.12492,72839589,34382,1836,any,nearer
