key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected
NEG-anywhere,0,NEGATIVE,anywhere,36,5.67686,119,222,4,485,83,1,249,605,485,1,107,249,118.550583,118.550583,1.7869157,0.0002522121,5.0538564,0.7775318,0.0001243328,0.9230769,0.0001261233,0.7775163,0.0001062348,30.323137,285435,39,1960936,36.0,285399.0,3.0,1675498.0,285435,1675501,39,1960897,695.01843,33.323135,2106.0708,12.726821,5.053856,25816454.365283,72.346377,0.000126,0.777532,0.000252,6.13788,2.833561,0.802194,28.878987,126.123286,1.790509,19.88846
NEG-ever,1,NEGATIVE,ever,4613,735.08098,5,9,3,20,5,2,9,651,21,2,6,9,15005.642086,15005.642086,1.798652,0.031760678,57.096172,0.76988745,0.01590048,0.9134653,0.016161298,0.76790476,0.013585997,3877.919023,285435,5050,1960936,4613.0,280822.0,437.0,1675064.0,285435,1675501,5050,1955886,2155.8782,2124.655,14.738899,143.03133,57.096172,41748911.406423,9189.122698,0.016161,0.335052,0.031761,5.953356,5.605733,0.797648,3679.551474,16161.297668,260.817511,2575.3008
NEG-this,2,NEGATIVE,this,28,5.38574,164,296,73,551,102,3,293,905,551,3,123,293,69.700361,69.700361,1.2457983,0.0001961663,4.273693,0.6112077,9.27244e-05,0.7567568,9.80959e-05,0.61119616,7.92273e-05,22.614258,285435,37,1960936,28.0,285407.0,9.0,1675492.0,285435,1675501,37,1960899,695.3096,31.614258,2107.7798,9.7445,4.273693,25813468.699536,47.084653,9.8e-05,0.611208,0.000196,4.19068,1.628635,0.715913,20.04555,98.095889,5.371528,18.86854
NEG-exactly,3,NEGATIVE,exactly,787,157.05988,23,45,81,73,17,4,48,920,73,4,23,48,1866.848907,1866.848907,1.1998849,0.005493623,22.45494,0.5841399,0.0025829189,0.72937906,0.0027571952,0.58381844,0.0022069477,629.940124,285435,1079,1960936,787.0,284648.0,292.0,1675209.0,285435,1675501,1079,1959857,543.63544,921.9401,1217.4539,50.26511,22.45494,27779314.952104,1276.779946,0.002757,0.58414,0.005494,3.983751,3.50264,0.699909,550.828762,2757.195158,174.276231,550.24744
NEG-any,4,NEGATIVE,any,1068,217.61308,18,35,92,55,12,5,33,928,55,5,16,33,2465.167977,2465.167977,1.1679926,0.0074443244,26.021418,0.5692547,0.0034868084,0.7143813,0.0037416576,0.56882066,0.0029792665,850.386919,285435,1495,1960936,1068.0,284367.0,427.0,1675074.0,285435,1675501,1495,1959441,483.08224,1277.387,862.00714,57.64665,26.021418,28997423.564178,1697.227061,0.003742,0.569255,0.007444,3.87596,3.472399,0.690886,737.86652,3741.65747,254.849147,762.391
NEG-remotely,5,NEGATIVE,remotely,1758,379.76758,15,29,116,38,10,6,21,936,38,6,13,21,3756.604812,3756.604812,1.0860571,0.012206469,32.87101,0.5289646,0.0056511126,0.6738214,0.0061590206,0.5282608,0.0048285336,1378.232422,285435,2609,1960936,1758.0,283677.0,851.0,1674650.0,285435,1675501,2609,1958327,320.92773,38.96854,2100.4255,70.723465,32.87101,26237187.362483,2631.357393,0.006159,0.528965,0.012206,3.600062,3.303984,0.665501,1169.950734,6159.020442,507.907784,1330.487
NEG-particularly,6,NEGATIVE,particularly,9079,2126.93133,3,5,150,13,3,7,7,951,13,7,4,7,17547.895327,17547.895327,0.99630064,0.060517184,72.961716,0.47934994,0.028505296,0.6213386,0.03180759,0.47577804,0.024356049,6952.068667,285435,14612,1960936,9079.0,276356.0,5533.0,1669968.0,285435,1675501,14612,1946324,764.0279,1533.7493,605.6448,150.74306,72.961716,29755533.088399,12448.273948,0.031808,0.026289,0.060517,3.26783,3.146281,0.630285,5722.353402,31807.591921,3302.295851,7451.5435
NEG-anymore,7,NEGATIVE,anymore,16,3.78458,265,447,162,730,155,8,396,952,730,8,184,396,30.169538,30.169538,0.96495324,0.0001120994,3.0538561,0.46983024,5.00864e-05,0.61538464,5.60548e-05,0.46982402,4.27958e-05,12.215425,285435,26,1960936,16.0,285419.0,10.0,1675491.0,285435,1675501,26,1960910,696.91077,22.215425,2117.1787,6.279137,3.053856,25797360.009526,21.702112,5.6e-05,0.46983,0.000112,3.231376,0.242662,0.626103,10.017645,56.054794,5.968364,13.258974
NEG-that,8,NEGATIVE,that,4318,1083.11635,9,17,177,24,6,9,13,956,24,9,8,13,7546.071822,7546.071822,0.9151381,0.029486882,49.228584,0.4363937,0.013263867,0.58029836,0.015127787,0.43473777,0.011333171,3234.883654,285435,7441,1960936,4318.0,281117.0,3123.0,1672378.0,285435,1675501,7441,1953495,1807.8429,1977.3558,162.03815,98.29266,49.228584,33764173.63456,5473.388378,0.015128,0.140922,0.029487,3.020789,2.853202,0.600608,2593.423306,15127.787412,1863.920105,3794.6165
NEG-necessarily,9,NEGATIVE,necessarily,936,235.37147,28,55,183,65,16,10,42,957,64,10,18,42,1622.664163,1622.664163,0.9079287,0.0065214667,22.90076,0.4336467,0.0028727597,0.57884973,0.0032792054,0.43328914,0.0024545991,700.628527,285435,1617,1960936,936.0,284499.0,681.0,1674820.0,285435,1675501,1617,1959319,465.32385,1381.6285,757.7655,45.667885,22.90076,29447219.655306,1182.946233,0.003279,0.433647,0.006521,3.012212,2.652789,0.599522,561.152614,3279.205423,406.445594,824.6062
NEG-inherently,10,NEGATIVE,inherently,2814,795.77974,13,25,234,29,8,11,15,962,29,11,9,15,4123.409409,4123.409409,0.79783356,0.019346721,38.04578,0.37019622,0.0082752295,0.51472473,0.009858637,0.3691641,0.0070706825,2018.220258,285435,5467,1960936,2814.0,282621.0,2653.0,1672848.0,285435,1675501,5467,1955469,2095.1794,290.6925,1848.7015,71.543816,38.04578,25567878.907019,3071.947455,0.009859,0.370196,0.019347,2.638356,2.444751,0.548531,1543.566835,9858.636817,1583.406993,2787.9543
NEG-precisely,11,NEGATIVE,precisely,48,14.55606,174,311,271,403,88,12,234,964,403,12,101,234,62.903035,62.903035,0.73427886,0.000336211,4.827217,0.33445647,0.0001371289,0.48,0.0001681644,0.3344394,0.0001171683,33.443941,285435,100,1960936,48.0,285387.0,52.0,1675449.0,285435,1675501,100,1960836,686.1393,85.44394,2053.9502,8.765881,4.827217,25906787.676761,47.658711,0.000168,0.334456,0.000336,2.437883,0.942776,0.518197,24.873477,168.164381,31.035493,50.996056
NEG-again,12,NEGATIVE,again,171,51.96513,77,151,273,174,53,13,100,965,174,13,55,100,223.390366,223.390366,0.73243415,0.0011966745,9.102824,0.3334917,0.000488074,0.4789916,0.0005990856,0.333431,0.0004170297,119.03487,285435,357,1960936,171.0,285264.0,186.0,1675315.0,285435,1675501,357,1960579,648.73016,305.03488,1834.3591,16.512705,9.102824,26313994.361121,169.283257,0.000599,0.333492,0.001197,2.432053,1.661084,0.517284,88.455579,599.085606,111.011572,182.05592
NEG-overtly,13,NEGATIVE,overtly,370,121.25197,54,106,314,107,32,14,67,966,106,14,34,67,427.644586,427.644586,0.6718186,0.0025849903,12.931794,0.298744,0.0010199317,0.44417766,0.0012962671,0.2986171,0.00087147,248.748029,285435,833,1960936,370.0,285065.0,463.0,1675038.0,285435,1675501,833,1960103,579.44336,711.74805,1427.646,22.589949,12.931794,27211200.973059,328.071785,0.001296,0.298744,0.002585,2.229872,1.724427,0.484513,179.269779,1296.267101,276.335257,424.79715
NEG-intrinsically,14,NEGATIVE,intrinsically,419,137.84588,52,102,317,101,27,15,62,967,101,15,33,62,481.158887,481.158887,0.6688249,0.0029261615,13.735278,0.2970327,0.0011528053,0.44244984,0.0014679349,0.29688925,0.0009850023,281.154122,285435,947,1960936,419.0,285016.0,528.0,1674973.0,285435,1675501,947,1959989,562.8494,809.1541,1330.2399,23.946804,13.735278,27462795.627299,369.325421,0.001468,0.297033,0.002926,2.219771,1.745967,0.48282,202.30168,1467.934906,315.129624,482.93265
NEG-majorly,15,NEGATIVE,majorly,48,17.46727,216,378,378,404,96,16,248,970,403,16,106,248,46.141252,46.141252,0.59409493,0.0003361874,4.40702,0.25445497,0.0001251922,0.4,0.0001681644,0.2544394,0.0001069691,30.532729,285435,120,1960936,48.0,285387.0,72.0,1675429.0,285435,1675501,120,1960816,683.228,102.53273,2036.8613,7.305553,4.40702,25936885.272266,35.978265,0.000168,0.254455,0.000336,1.968406,0.548682,0.439016,21.072777,168.164381,42.972221,61.195267
NEG-specially,16,NEGATIVE,specially,28,10.3348,284,471,387,552,138,17,328,971,551,17,146,328,26.217152,26.217152,0.5850239,0.000196143,3.3384087,0.24881461,7.24319e-05,0.3943662,9.80959e-05,0.24880561,6.18887e-05,17.665198,285435,71,1960936,28.0,285407.0,43.0,1675458.0,285435,1675501,71,1960865,690.36053,60.6652,2078.7288,5.494997,3.338409,25863486.524808,20.484103,9.8e-05,0.248815,0.000196,1.934467,0.029756,0.432856,12.119965,98.095889,25.663966,36.2072
NEG-outwardly,17,NEGATIVE,outwardly,63,23.58082,184,328,394,355,84,18,208,972,355,18,91,208,57.463703,57.463703,0.5736577,0.0004411811,4.9663506,0.2433484,0.0001616289,0.3888889,0.0002207157,0.2433283,0.0001381021,39.419185,285435,162,1960936,63.0,285372.0,99.0,1675402.0,285435,1675501,162,1960774,677.1145,138.41919,2000.9749,8.117611,4.96635,26000961.518751,44.981988,0.000221,0.243348,0.000441,1.90129,0.683158,0.426782,26.887249,220.71575,59.086804,82.61361
NEG-knowingly,18,NEGATIVE,knowingly,30,11.64485,298,491,422,530,137,19,320,975,530,19,139,320,25.512003,25.512003,0.54967797,0.0002101466,3.3511772,0.22944877,7.52609e-05,0.375,0.0001051027,0.22943941,6.43059e-05,18.355153,285435,80,1960936,30.0,285405.0,50.0,1675451.0,285435,1675501,80,1960856,689.0505,68.355156,2071.0388,5.378871,3.351177,25876853.404574,20.069711,0.000105,0.229449,0.00021,1.816412,0.002866,0.410987,12.329624,105.102738,29.84182,40.796844
NEG-yet,19,NEGATIVE,yet,313,124.4543,70,137,435,117,43,20,80,976,117,20,43,80,253.881531,253.881531,0.5308106,0.002186594,10.657233,0.22061747,0.0007730866,0.36608186,0.0010965719,0.22052129,0.0006605556,188.545696,285435,855,1960936,313.0,285122.0,542.0,1674959.0,285435,1675501,855,1960081,576.241,730.5457,1408.8484,16.90097,10.657233,27258134.489268,200.246234,0.001097,0.220617,0.002187,1.76123,1.241909,0.400534,125.367273,1096.571899,323.485334,436.01627
NEG-alone,20,NEGATIVE,alone,16,6.40467,411,630,434,731,198,21,446,977,730,21,214,446,12.796535,12.796535,0.53129303,0.0001120923,2.3988335,0.21808067,3.93434e-05,0.36363637,5.60548e-05,0.21807577,3.36165e-05,9.595334,285435,44,1960936,16.0,285419.0,28.0,1675473.0,285435,1675501,44,1960892,694.29065,37.595333,2101.7986,3.791507,2.398834,25823647.799469,10.107314,5.6e-05,0.218081,0.000112,1.746042,0.0,0.397624,6.361976,56.054794,16.711419,22.438265
NEG-especially,21,NEGATIVE,especially,1542,627.07502,36,71,452,44,14,22,30,978,44,22,14,30,1197.497138,1197.497138,0.51656634,0.010643915,23.299322,0.21284573,0.0037514311,0.3579387,0.0054022805,0.21237813,0.0032053706,914.924981,285435,4308,1960936,1542.0,283893.0,2766.0,1672735.0,285435,1675501,4308,1956628,73.6203,1490.6611,648.733,36.5364,23.299322,30973146.546656,945.038784,0.005402,0.212846,0.010644,1.71036,1.481065,0.390765,602.559435,5402.280729,1650.849507,2196.9102
NEG-convincingly,22,NEGATIVE,convincingly,12,4.94906,485,719,454,855,245,23,521,979,855,23,249,521,9.02485,9.02485,0.5133769,8.40722e-05,2.035431,0.20738418,2.89107e-05,0.3529412,4.20411e-05,0.2073806,2.47024e-05,7.05094,285435,34,1960936,12.0,285423.0,22.0,1675479.0,285435,1675501,34,1960902,695.7463,29.05094,2110.343,3.169463,2.035431,25809001.846688,7.155136,4.2e-05,0.207384,8.4e-05,1.678944,0.0,0.384659,4.615902,42.041095,13.130401,17.33866
NEG-home,23,NEGATIVE,home,12,5.09462,497,732,472,856,250,24,527,980,855,24,250,527,8.484479,8.484479,0.49449128,8.40719e-05,1.9934113,0.19730008,2.83139e-05,0.34285715,4.20411e-05,0.19729656,2.41925e-05,6.905379,285435,35,1960936,12.0,285423.0,23.0,1675478.0,285435,1675501,35,1960901,695.6007,29.905378,2109.4888,3.059367,1.993411,25810462.410055,6.750556,4.2e-05,0.1973,8.4e-05,1.614816,0.0,0.372069,4.464833,42.041095,13.727237,17.84862
NEG-enough,24,NEGATIVE,enough,34,14.84718,315,513,490,502,139,25,312,981,502,25,136,312,22.593805,22.593805,0.47079948,0.0002381478,3.2846816,0.18778251,7.85316e-05,0.33333334,0.0001191164,0.18777275,6.71005e-05,19.15282,285435,102,1960936,34.0,285401.0,68.0,1675433.0,285435,1675501,102,1960834,685.84814,87.15282,2052.2412,4.970622,3.284682,25909729.000432,18.035799,0.000119,0.187783,0.000238,1.55338,0.0,0.359835,12.234388,119.116436,40.584876,52.015976
NEG-definitively,25,NEGATIVE,definitively,15,6.55023,463,694,487,760,228,26,473,981,760,25,227,473,9.967484,9.967484,0.47468373,0.0001050862,2.1817222,0.18777706,3.46463e-05,0.33333334,5.25514e-05,0.18777275,2.96031e-05,8.449773,285435,45,1960936,15.0,285420.0,30.0,1675471.0,285435,1675501,45,1960891,694.1451,38.44977,2100.9443,3.301543,2.181722,25825110.50292,7.95697,5.3e-05,0.187777,0.000105,1.553406,0.0,0.359835,5.397524,52.551369,17.905092,22.948225
NEG-solely,26,NEGATIVE,solely,73,32.02333,210,369,492,329,90,27,204,983,329,27,86,204,48.019849,48.019849,0.46620512,0.0005111061,4.7959566,0.18627849,0.000168015,0.3318182,0.00025575,0.18625759,0.0001435587,40.97667,285435,220,1960936,73.0,285362.0,147.0,1675354.0,285435,1675501,220,1960716,668.672,187.97667,1951.4174,7.241081,4.795957,26091260.651458,38.349893,0.000256,0.186278,0.000511,1.543521,0.455478,0.357856,26.123515,255.749996,87.734952,112.19132
NEG-specifically,27,NEGATIVE,specifically,132,58.22424,142,263,494,210,67,28,140,984,210,28,67,140,85.7684,85.7684,0.46203983,0.0009236098,6.421356,0.18447705,0.0003024999,0.33,0.000462452,0.1844394,0.0002584678,73.775764,285435,400,1960936,132.0,285303.0,268.0,1675233.0,285435,1675501,400,1960536,642.47107,341.77576,1797.6183,9.66856,6.421356,26386448.17247,68.532533,0.000462,0.184477,0.000924,1.531669,0.737902,0.35547,46.922058,462.452047,159.952158,203.98422
NEG-offensively,28,NEGATIVE,offensively,27,11.93597,354,561,493,570,166,29,363,985,570,29,165,363,17.451675,17.451675,0.46370336,0.0001891306,2.8990743,0.18371539,6.17665e-05,0.3292683,9.45925e-05,0.1837077,5.27757e-05,15.064032,285435,82,1960936,27.0,285408.0,55.0,1675446.0,285435,1675501,82,1960854,688.75934,70.06403,2069.33,4.36026,2.899074,25879817.830406,13.951082,9.5e-05,0.183715,0.000189,1.526913,0.0,0.354506,9.571665,94.592464,32.826002,41.816765
NEG-fully,29,NEGATIVE,fully,1568,697.96303,40,79,509,42,18,30,31,986,41,30,15,31,1000.719749,1000.719749,0.45681018,0.010805223,21.971752,0.18189149,0.0035673787,0.3270073,0.00549337,0.18144672,0.003048109,870.036974,285435,4795,1960936,1568.0,283867.0,3227.0,1672274.0,285435,1675501,4795,1956141,2.732295,1906.7731,232.62096,32.93226,21.971752,36264435.337756,798.173314,0.005493,0.181891,0.010805,1.512091,1.289735,0.351514,551.17339,5493.369769,1925.991092,2445.2607
