adv_lemma,NON_G,OPEN,LOW_CLOSE,UP_CLOSE,TOT_CLOSE,total_ratio,total_count
very,0.0991,1.11126,0.80334,0.70692,0.33585,0.19200000166893005,103583
too,0.02129,1.15942,0.77,0.2347,0.15372,0.12200000137090683,65581
as,0.20812,1.11694,0.33971,1.13452,0.33457,0.1080000028014183,58392
so,0.2041,1.09295,0.4516,0.84322,0.80722,0.07599999755620956,40681
more,0.7959,0.67366,2.40185,1.40316,3.76309,0.06499999761581421,34758
relatively,0.00849,1.14456,0.02148,1.3216,0.22316,0.04100000113248825,22237
most,0.17628,0.60998,5.98243,1.69656,0.76265,0.035999998450279236,19269
much,1.85707,1.119,0.03585,0.78799,0.18429,0.032999999821186066,17762
still,16.96038,0.43718,0.8033,0.40398,2.24286,0.03099999949336052,16885
how,0.06992,1.1394,0.60322,0.62973,0.24351,0.03099999949336052,16732
really,0.72562,1.1144,0.52057,0.72441,0.29673,0.026000000536441803,13731
extremely,0.06801,1.00799,2.21626,0.84314,0.12708,0.020999999716877937,11098
pretty,0.15368,1.06619,0.30453,1.60651,0.68922,0.019999999552965164,10560
not,3.32005,0.75142,0.57769,3.5429,1.61213,0.017000000923871994,9094
less,0.12462,0.96234,1.49327,1.86794,0.62177,0.014999999664723873,8177
even,0.88595,1.11157,0.68831,0.51361,0.26556,0.014000000432133675,7540
quite,0.55715,1.03679,0.68636,1.30261,0.76529,0.010999999940395355,5961
unusually,,1.15845,0.24561,0.72028,0.32052,0.010999999940395355,5704
already,7.06922,0.81575,0.40101,0.50634,1.86649,0.009999999776482582,5280
fairly,0.02283,1.0709,0.12839,1.89048,0.62486,0.008999999612569809,4960
particularly,0.04132,1.06263,1.85446,0.38739,0.17538,0.00800000037997961,4567
that,,1.18663,0.28388,0.31364,0.24512,0.00800000037997961,4262
also,1.40688,0.82636,0.71214,1.28121,3.30397,0.00800000037997961,4158
just,0.77267,1.09684,0.2836,0.52268,0.95832,0.007000000216066837,3761
now,8.04749,0.2143,0.12621,3.80474,7.19701,0.007000000216066837,3658
wide,,0.0011,,0.0058,17.39128,0.006000000052154064,3392
surprisingly,0.04678,1.18256,0.03453,0.6579,0.2482,0.006000000052154064,3227
potentially,0.1205,0.33943,11.29941,0.13808,0.13342,0.006000000052154064,3132
especially,0.06044,1.06265,2.004,0.32112,0.06135,0.006000000052154064,3122
slightly,0.07258,1.09649,1.0103,0.31503,0.67527,0.006000000052154064,3120
always,0.55,0.49255,1.4583,1.96442,6.94177,0.004999999888241291,2882
rather,0.07934,1.12576,0.49645,0.77832,0.41486,0.004999999888241291,2854
nearly,4.50408,0.04139,0.01743,6.78697,8.72497,0.004999999888241291,2740
incredibly,0.09315,1.07505,1.09363,1.05931,0.21487,0.004999999888241291,2431
completely,1.88195,0.04759,0.15734,9.58164,7.21972,0.004000000189989805,2226
often,0.22611,0.90892,2.43653,0.55676,1.45098,0.003000000026077032,1836
only,2.11253,0.63803,0.91113,2.2625,4.52269,0.003000000026077032,1590
super,0.02375,1.06589,0.20038,2.46187,0.10958,0.003000000026077032,1589
dangerously,0.11376,1.2059,0.13197,0.20739,0.1837,0.0020000000949949026,1327
usually,0.6024,0.86235,0.43198,1.9297,2.90428,0.0020000000949949026,1253
somewhat,0.23865,1.01436,0.89162,1.56268,0.77071,0.0020000000949949026,1107
extraordinarily,0.03434,1.11134,1.15886,0.42929,0.22181,0.0020000000949949026,1099
largely,0.47823,0.51852,0.10086,2.90612,7.26258,0.0020000000949949026,947
kinda,1.11824,1.15397,0.23585,0.29123,0.25795,0.0,135
sorta,,1.24628,,,,0.0,8
