key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
terribly~surprising,949,58.5758674,890.4241326,0.047564223,0.050543245,0.045107096,0.04792445,3.8229458,3589.1936,6347364,19802,18776,terribly,surprising
terribly~original,201,14.6408471,186.3591529,0.039739408,0.04282975,0.009440579,0.010150489,3.2419157,689.60673,6347364,19802,4693,terribly,original
terribly~surprised,291,31.6869986,259.3130014,0.025571391,0.028650193,0.013136275,0.014695485,2.7500618,782.03595,6347364,19802,10157,terribly,surprised
terribly~uncommon,103,9.8739146,93.1260854,0.029438403,0.032543443,0.00471758,0.005201495,2.5737922,299.99972,6347364,19802,3165,terribly,uncommon
terribly~impressed,283,37.8671644,245.1328356,0.020234182,0.023315208,0.012417937,0.014291486,2.438821,656.228,6347364,19802,12138,terribly,impressed
terribly~fond,192,24.2433461,167.7566539,0.021613987,0.024707245,0.008498214,0.00969599,2.41114,464.20903,6347364,19802,7771,terribly,fond
terribly~exciting,391,63.1212998,327.8787002,0.016256966,0.019324865,0.016609676,0.01974548,2.2400105,781.1892,6347364,19802,20233,terribly,exciting
terribly~wrong,398,66.5498724,331.4501276,0.01559009,0.018657416,0.016790597,0.02009898,2.1922853,771.55462,6347364,19802,21332,terribly,wrong
terribly~upset,116,16.2350242,99.7649758,0.019186556,0.022290546,0.005053893,0.0058579943,2.0697622,259.11577,6347364,19802,5204,terribly,upset
terribly~unusual,146,23.1233665,122.8766335,0.016597448,0.019697787,0.006224683,0.0073729926,1.9819366,295.15573,6347364,19802,7412,terribly,unusual
