adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
unreasonably,1632,2.79,30.47,0,0,0.0,1.0,1031,4553,10.921582086858814,1031,1.0,2.5,-1.5,1.4582156224337155,1.2267497483693366
conveniently,1632,2.79,43.56,0,0,0.0,1.0,1566,4550,15.622616345161845,1566,1.0,2.5,-1.5,1.4028517619187293,1.2115184471325544
achingly,1632,2.78,26.2,0,0,0.0,1.0,955,4541,9.416572534692882,955,1.0,2.5,-1.5,1.506905311586558,1.2432486150803328
ostensibly,1632,2.78,8.52,0,0,1.0,2.0,143,4533,3.066380180755933,143,2.0,5.0,-3.0,2.049203939115601,1.5602691242743012
staggeringly,1632,2.76,20.28,0,0,0.0,1.0,613,4511,7.3352448146082825,613,1.0,2.5,-1.5,1.612044028400424,1.3069204317520093
somewhere,1632,2.76,19.33,0,0,0.0,0.0,389,4497,7.015956218138932,389,0.0,0.0,0.0,1.4423277880054481,1.2013633116565101
distinctively,1632,2.75,21.46,0,0,0.0,1.0,688,4493,7.795162007911257,688,1.0,2.5,-1.5,1.6410267292630083,1.3232307665019276
perilously,1632,2.75,77.77,0,0,0.0,0.0,3122,4491,28.261590893738433,3122,0.0,0.0,0.0,1.1928115448841043,1.1008130654708803
down,1632,2.73,37.84,0,0,0.0,0.0,1398,4454,13.865790652725371,1398,0.0,0.0,0.0,1.3433135052739855,1.1690658526535511
presently,1632,2.72,28.3,0,0,0.0,1.0,1090,4443,10.395009775047367,1090,1.0,2.5,-1.5,1.6238816079612266,1.3153770717521642
mathematically,1632,2.72,25.37,0,0,0.0,0.0,816,4440,9.325459249657822,816,0.0,0.0,0.0,1.407989363383063,1.1851020447061742
wickedly,1632,2.72,28.17,0,0,0.0,1.0,1066,4437,10.362186437552333,1066,1.0,2.5,-1.5,1.491493183593336,1.2332114746108906
badly,1632,2.69,43.74,0,0,0.0,0.0,1668,4384,16.282341645806227,1668,0.0,0.0,0.0,1.3378808546933905,1.1751932100034828
