adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,5210,1900.52,14238.79,0,21,81.0,382.0,644398,9901710,7.492048312874928,644398,361.0,923.5,-520.5,95.07609187718435,12.469332030687486
more,5210,1807.79,10995.13,0,59,180.0,678.0,498300,9418597,6.082077638810711,498300,619.0,1606.5,-869.5,208.5966881750272,36.24282209890531
most,5210,1458.45,14529.02,0,22,81.0,352.75,746782,7598528,9.961957198960707,746782,330.75,848.875,-474.125,94.43120528405969,14.913504272523543
so,5210,1100.71,19092.22,0,16,59.5,235.0,1191059,5734681,17.345423968810408,1191059,219.0,563.5,-312.5,65.9907552531184,11.937657247951108
not,5210,1067.14,10544.13,0,13,47.0,194.0,548852,5559819,9.880704514122135,548852,181.0,465.5,-258.5,54.4517264795107,9.644921801444099
as,5210,714.91,9138.0,0,13,47.0,181.0,434207,3724662,12.78209953623752,434207,168.0,433.0,-239.0,52.377378890944705,10.139147902100882
too,5210,681.78,10891.87,0,4,22.0,92.0,579790,3552054,15.975728641967098,579790,88.0,224.0,-128.0,24.69903927557054,5.216997783388602
really,5210,400.91,4479.62,0,4,14.0,60.75,259683,2088726,11.17370356640187,259683,56.75,145.875,-81.125,20.29844438612385,5.792924187639795
much,5210,384.03,7058.11,0,1,5.0,22.0,353963,2000778,18.37923249539379,353963,21.0,53.5,-30.5,9.181483628274155,3.457655837657095
pretty,5210,310.14,3903.3,0,3,15.0,63.0,241515,1615834,12.585586016972773,241515,60.0,153.0,-87.0,18.851137960975006,4.824736719314551
less,5210,244.28,2273.86,0,6,23.0,92.0,139529,1272673,9.30861873390286,139529,86.0,221.0,-123.0,27.39040773894641,6.804988209845233
even,5210,217.1,3716.84,0,3,10.0,35.0,199340,1131112,17.120080218530894,199340,32.0,83.0,-45.0,13.610765300555546,4.942103548300818
also,5210,213.5,2145.15,0,4,12.0,47.0,111940,1112346,10.04742475042926,111940,43.0,111.5,-60.5,17.358000069041857,5.822666588029292
quite,5210,205.09,1264.72,0,4,15.0,65.0,43101,1068502,6.166742169199585,43101,61.0,156.5,-87.5,19.340802141186295,5.219293151763347
extremely,5210,188.21,1303.33,0,2,9.0,45.0,51804,980553,6.925015643548549,51804,43.0,109.5,-62.5,13.223854701171783,3.706052340932063
how,5210,167.69,5174.37,0,1,3.0,14.0,267009,873668,30.85666403685734,267009,13.0,33.5,-18.5,6.3130795299976175,2.7128556339987155
still,5210,160.48,1199.26,0,2,9.0,39.0,59429,836112,7.4728436193546806,59429,37.0,94.5,-53.5,13.604728300265055,4.463656933240348
