adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,1047,8870.6,30797.74,0,666.5,1734,5433.0,644398,9287523,3.471887723932225,644398,4766.5,12582.75,-6483.25,1692.9995540483867,83.15189331923945
more,1047,7871.27,23561.21,5,959.5,2644,6474.5,498300,8241221,2.9933165079990354,498295,5515.0,14747.0,-7313.0,2405.778471913973,423.7126068580252
most,1047,6569.17,31906.36,0,346.0,1230,3777.5,746782,6877921,4.856985515069012,746782,3431.5,8924.75,-4801.25,1087.351476302634,89.66314031406226
so,1047,5097.08,42368.98,0,338.5,865,2431.5,1191059,5336645,8.312398106069889,1191059,2093.0,5571.0,-2801.0,881.348816083678,108.81109544460017
not,1047,4928.24,23125.09,1,232.0,661,2079.0,548852,5159868,4.692363103757726,548851,1847.0,4849.5,-2538.5,741.3176112892977,130.5679308942351
as,1047,3285.9,20186.95,0,309.5,725,1716.5,434207,3440339,6.143503997992411,434207,1407.0,3827.0,-1801.0,721.0023584346189,139.12755210278
too,1047,3183.15,24142.43,0,69.0,259,966.5,579790,3332759,7.584443822236635,579790,897.5,2312.75,-1277.25,260.8207172888526,32.20574413255787
really,1047,1890.65,9855.16,0,96.5,263,962.5,259683,1979515,5.212564001900172,259683,866.0,2261.5,-1202.5,315.3993706957457,86.62349404137841
much,1047,1818.67,15666.54,0,21.0,59,210.5,353963,1904149,8.614278052756037,353963,189.5,494.75,-263.25,83.78128467261227,26.430870003145767
pretty,1047,1408.3,8621.13,0,69.0,216,729.0,241515,1474485,6.121676880253399,241515,660.0,1719.0,-921.0,221.07640509710097,31.175572816058434
less,1047,1043.68,4991.32,0,101.0,272,691.0,139529,1092729,4.782442810839566,139529,590.0,1576.0,-784.0,266.9065610510751,46.65872574500944
even,1047,991.21,8247.61,0,34.0,84,228.0,199340,1037796,8.320754452859424,199340,194.0,519.0,-257.0,100.37713230492096,33.91690273204156
also,1047,979.26,4708.85,1,72.0,167,514.5,111940,1025285,4.8085814173825,111939,442.5,1178.25,-591.75,204.75856901384373,76.0421095302384
quite,1047,924.17,2703.6,0,113.0,267,674.0,43101,967605,2.925436409447037,43101,561.0,1515.5,-728.5,267.70304082792126,56.355831805425765
extremely,1047,859.45,2808.59,0,59.0,196,575.0,51804,899841,3.2678996245154917,51804,516.0,1349.0,-715.0,173.42131566448913,21.922211420096094
how,1047,807.68,11524.17,0,21.0,54,170.5,267009,845643,14.268202150184278,267009,149.5,394.75,-203.25,62.984334222821936,16.762347127896458
still,1047,697.68,2598.56,1,43.0,118,427.0,59429,730471,3.7245766655862282,59428,384.0,1003.0,-533.0,140.87651371238437,41.69335345600023
highly,1047,625.38,2413.15,0,7.0,36,256.0,35433,654770,3.8587163633712707,35433,249.0,629.5,-366.5,47.941214993916326,7.6663751638352
always,1047,567.54,2471.78,0,31.5,84,269.5,52227,594213,4.355263948639511,52227,238.0,626.5,-325.5,101.16288750080182,32.72269929839078
