adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,3829,2573.13,16558.3,0,45,159,692,644398,9852527,6.435072782868663,644398,647,1662.5,-925.5,175.27436644987515,19.40059225699548
more,3829,2432.12,12768.46,0,109,328,1127,498300,9312577,5.249935665905394,498300,1018,2654.0,-1418.0,363.7642879963563,62.39474450775362
most,3829,1967.92,16919.39,0,40,151,604,746782,7535166,8.597598319000904,746782,564,1450.0,-806.0,162.0330395286611,22.803621227860898
so,3829,1489.3,22258.61,0,34,115,387,1191059,5702512,14.945728989937999,1191059,353,916.5,-495.5,119.51047208018137,20.10552975016132
not,3829,1442.75,12278.22,0,25,85,327,548852,5524301,8.510273314333414,548852,302,780.0,-428.0,95.2486165952135,14.704394794044395
as,3829,966.64,10648.41,0,30,91,301,434207,3701263,11.015903297213708,434207,271,707.5,-376.5,95.71527551654104,17.4996154182472
too,3829,922.92,12696.91,0,9,39,154,579790,3533865,13.757309856204621,579790,145,371.5,-208.5,41.58828818577361,7.487387718107173
really,3829,543.32,5218.22,0,9,27,106,259683,2080387,9.604250629868735,259683,97,251.5,-136.5,36.102420783798216,9.625980416104714
much,3829,519.89,8229.16,0,3,9,35,353963,1990665,15.828600692863949,353963,32,83.0,-45.0,14.132495256198641,4.861874358887386
pretty,3829,419.18,4548.33,0,7,29,108,241515,1605029,10.850613702666504,241515,101,259.5,-144.5,32.622856937711624,7.305391811222293
less,3829,328.12,2647.47,0,12,44,144,139529,1256370,8.068623773572739,139529,132,342.0,-186.0,45.463701613969064,9.998385613199742
even,3829,292.3,4333.25,0,6,17,55,199340,1119226,14.824554780560455,199340,49,128.5,-67.5,20.909766162170694,7.18252228254747
also,3829,288.37,2498.11,0,8,21,79,111940,1104154,8.662989154091449,111940,71,185.5,-98.5,28.911805206715663,9.28987783624915
quite,3829,277.31,1468.62,0,9,30,109,43101,1061817,5.29598020475119,43101,100,259.0,-141.0,34.720687634054855,8.334953349475358
extremely,3829,254.47,1514.89,0,4,19,82,51804,974380,5.953021216054767,51804,78,199.0,-113.0,22.485663479787448,5.289587183208625
how,3829,227.61,6034.87,0,2,6,24,267009,871510,26.514356900683488,267009,22,57.0,-31.0,9.791242192424628,3.746264574493303
