key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~that_far-fetched,59,0.9558982,5.8085675,1.0,368.30706,NEGATED,that_far-fetched,3173681,59,71961373,2.6020512,56.3979488,0.95589745,that,206801,far-fetched,5056,3.4115024,7.3423877,1.3555362
NEGany~that_thrilled,59,0.9558982,5.8085675,1.0,368.30706,NEGATED,that_thrilled,3173681,59,71961373,2.6020512,56.3979488,0.95589745,that,206801,thrilled,24075,3.4115024,7.3423877,1.3555362
NEGany~that_uncommon,802,0.9534205,9.413583,0.99751246,4978.858,NEGATED,that_uncommon,3173681,804,71961373,35.458461,766.5415390000001,0.9557875,that,206801,uncommon,11144,3.8425622,27.067522,1.3544545
NEGany~that_surprising,1133,0.94803154,9.245296,0.9921191,6968.8137,NEGATED,that_surprising,3173681,1142,71961373,50.365127,1082.634873,0.9555471,that,206801,surprising,69947,3.4128003,32.163776,1.3521
NEGany~that_fond,333,0.94697326,7.9795384,0.9910714,2044.764,NEGATED,that_fond,3173681,336,71961373,14.818461,318.181539,0.9555001,that,206801,fond,32310,3.3150208,17.436241,1.3516412
NEGany~that_unusual,977,0.94678265,9.028433,0.9908722,5997.5436,NEGATED,that_unusual,3173681,986,71961373,43.485127,933.514873,0.9554912,that,206801,unusual,70551,3.3484743,29.865788,1.3515538
NEGany~that_dissimilar,304,0.9461295,7.842971,0.990228,1864.2708,NEGATED,that_dissimilar,3173681,307,71961373,13.539487,290.460513,0.9554622,that,206801,dissimilar,4598,3.2755082,16.659054,1.3512714
NEGany~that_complicated,1207,0.93721426,8.658921,0.98130083,7308.566,NEGATED,that_complicated,3173681,1230,71961373,54.246153,1152.753847,0.955057,that,206801,complicated,158342,3.0469317,33.1805,1.3473383
NEGany~that_common,1207,0.9364171,8.623415,0.9805037,7300.7397,NEGATED,that_common,3173681,1231,71961373,54.290255,1152.709745,0.9550205,that,206801,common,513728,3.0288334,33.179234,1.3469853
NEGany~that_familiar,1126,0.9341921,8.486983,0.97827977,6790.7344,NEGATED,that_familiar,3173681,1151,71961373,50.76205,1075.23795,0.95491827,that,206801,familiar,155427,2.9812925,32.043163,1.3459992
NEGmir~that_keen,31,0.8264289,2.7085414,1.0,108.5696792602539,NEGMIR,that_keen,291735,31,1680633,5.3811778,25.61882209777832,0.82641363,that,5465,keen,1348,2.477068,4.6012764,0.76048434
NEGmir~that_impressive,23,0.82642496,2.126029,1.0,80.55117797851562,NEGMIR,that_impressive,291735,23,1680633,3.9924868,19.00751304626465,0.82641363,that,5465,impressive,4971,2.3498132,3.9633405,0.76048434
NEGmir~that_serious,49,0.78722185,3.0575237,0.9607843,155.4999237060547,NEGMIR,that_serious,291735,51,1680633,8.8529054,40.1470947265625,0.8193285,that,5465,serious,9072,1.9744188,5.735299,0.74311024
NEGmir~that_comfortable,23,0.78475815,1.8222543,0.9583333,72.61861419677734,NEGMIR,that_comfortable,291735,24,1680633,4.1660731,18.833927154541016,0.8188664,that,5465,comfortable,4613,1.8726918,3.9271452,0.74200094
NEGmir~that_fond,23,0.78475815,1.8222543,0.9583333,72.61861419677734,NEGMIR,that_fond,291735,24,1680633,4.1660731,18.833927154541016,0.8188664,that,5465,fond,1110,1.8726918,3.9271452,0.74200094
NEGmir~that_interested,62,0.7658376,3.1697452,0.93939394,188.49038696289065,NEGMIR,that_interested,291735,66,1680633,11.4567011,50.54330062866211,0.8152145,that,5465,interested,8143,1.8204398,6.4190054,0.7333321
NEGmir~that_simple,474,0.72267133,4.3409386,0.89603025,1328.5279541015625,NEGMIR,that_simple,291735,529,1680633,91.8271955,382.17279052734375,0.80627173,that,5465,simple,25344,1.6103134,17.553778,0.712807
NEGmir~that_easy,450,0.71245575,4.2062016,0.88582677,1237.796875,NEGMIR,that_easy,291735,508,1680633,88.1818815,361.818115234375,0.80404025,that,5465,easy,18697,1.5648724,17.05627,0.7078332
NEGmir~that_big,113,0.6890628,3.1515744,0.86259544,297.782958984375,NEGMIR,that_big,291735,131,1680633,22.7398159,90.26018524169922,0.7987627,that,5465,big,7748,1.465668,8.490964,0.6962915
NEGmir~that_great,286,0.66772515,3.5831854,0.84117645,724.77734375,NEGMIR,that_great,291735,340,1680633,59.0193695,226.9806365966797,0.7936386,that,5465,great,5513,1.3988184,13.421646,0.68537146
