corpus_slice,file_MB,sentences,tokens,ADV_tokens,ADV_xpos,ADV_lemmas,ADV_forms,ADJ_tokens,ADJ_xpos,ADJ_lemmas,ADJ_forms,NEG_tokens,NEG_xpos,NEG_lemmas,NEG_forms,NR_tokens,NR_xpos,NR_lemmas,NR_forms
apw_eng_199411,167.4,184672,4354111,103797,3,1361,1486,262684,3,12178,12582,24619,8,15,30,21268,15,23,82
apw_eng_199412,244.45,275635,6501083,155004,3,1589,1736,392300,3,15218,15712,36290,10,15,29,31423,16,23,88
apw_eng_199501,251.31,285984,6747978,161833,3,1654,1806,401813,3,15614,16111,37714,8,15,26,32638,16,23,87
apw_eng_199502,217.66,244262,5756772,139124,3,1605,1755,347746,3,15003,15453,32133,10,15,32,26958,15,24,90
apw_eng_199504,250.02,280156,6603101,156132,3,1665,1812,395568,3,16271,16773,35507,8,15,32,29594,18,24,93
apw_eng_199503,260.7,292602,6896049,164330,3,1649,1805,415221,3,16869,17370,37162,9,15,29,31907,16,23,84
apw_eng_199505,312.11,339942,8024329,196163,3,1728,1889,496798,3,17667,18217,43504,8,15,29,38647,16,23,89
apw_eng_199506,335.09,367416,8676288,215982,3,1667,1846,531927,3,17741,18277,49347,9,15,30,42587,16,24,91
apw_eng_199510,214.15,237216,5601883,132836,3,1612,1769,345842,3,16176,16688,29431,8,15,31,26733,17,24,86
apw_eng_199507,311.23,337637,7972268,196749,3,1633,1786,499290,3,16591,17102,45969,8,15,31,37430,15,23,85
apw_eng_199509,297.42,321668,7594158,184825,3,1610,1778,468528,3,17476,18050,41758,8,15,27,37423,16,24,92
apw_eng_199512,198.46,227682,5379788,118320,3,1550,1689,317220,3,15705,16221,25981,10,15,27,24774,16,23,87
apw_eng_199508,311.37,345561,8168176,197333,3,1660,1821,486865,3,16743,17302,43807,9,15,30,38023,16,23,92
apw_eng_199511,209.31,232954,5500651,125976,3,1543,1687,335156,3,15674,16202,28998,9,15,31,26394,18,24,89
apw_eng_199601,210.99,239768,5663328,128324,3,1517,1648,336782,3,15649,16207,29410,7,15,29,25983,17,23,90
apw_eng_199602,195.09,221029,5220130,118837,3,1506,1653,306728,3,14910,15421,27279,8,15,29,23593,16,24,85
apw_eng_199603,223.13,251662,5945340,133846,3,1604,1755,358396,3,16378,16934,30460,8,15,28,27108,15,23,82
apw_eng_199604,215.65,242462,5727700,128798,3,1569,1726,349425,3,15896,16403,29788,10,15,30,25219,16,24,88
apw_eng_199606,186.47,208887,4933367,115954,3,1477,1615,306896,3,14969,15458,26557,9,15,30,23890,16,24,89
apw_eng_199605,218.27,244175,5764134,131033,3,1598,1751,354954,3,16242,16784,30408,7,15,28,27004,17,23,89
apw_eng_199608,161.03,183436,4333946,94981,3,1432,1571,252088,3,14014,14457,21358,9,15,30,18264,17,23,87
apw_eng_199610,200.87,222915,5261062,123780,3,1566,1713,325539,3,15844,16375,27604,10,14,30,24396,16,24,93
apw_eng_199609,186.18,208534,4922378,112534,3,1534,1698,303106,3,14917,15408,25444,8,15,29,22556,16,24,93
apw_eng_199607,199.72,226339,5343619,125181,3,1625,1776,317951,3,16311,16825,27756,9,15,28,23954,16,23,88
apw_eng_199612,210.46,236714,5588373,126651,3,1490,1625,337815,3,15118,15634,28466,8,15,30,25263,17,24,92
apw_eng_199611,199.14,222246,5244686,121975,3,1554,1708,321177,3,15368,15849,27233,10,15,31,24597,16,24,95
apw_eng_199702,208.93,234112,5523845,125431,3,1483,1628,336999,3,14421,14887,28495,9,15,30,25030,16,24,89
apw_eng_199703,238.32,264519,6244588,144587,3,1582,1739,383173,3,15890,16380,33262,8,15,27,28950,16,24,91
apw_eng_199701,226.72,254244,6000388,141510,3,1542,1690,367892,3,15334,15834,32676,9,15,29,27754,17,23,92
apw_eng_199704,226.48,249509,5887574,138586,3,1611,1747,366225,3,15847,16338,31074,8,15,31,26692,16,24,84
apw_eng_199705,234.45,257856,6083797,146795,3,1548,1719,383074,3,16058,16571,33293,9,15,32,28701,16,23,89
apw_eng_199707,244.46,274132,6472859,150525,3,1555,1719,390874,3,16237,16766,34173,8,15,29,29366,16,24,90
apw_eng_199709,245.4,264766,6249270,152864,3,1600,1748,387936,3,15853,16310,33816,11,15,30,30228,16,24,92
apw_eng_199706,231.49,257826,6086433,145441,3,1615,1784,378794,3,16171,16691,31911,10,15,31,28461,16,23,94
apw_eng_199708,230.22,257824,6089994,140636,3,1517,1663,353514,3,15172,15691,31979,8,15,29,26148,16,24,89
apw_eng_199710,240.02,263541,6222189,151489,3,1659,1813,384781,3,16578,17079,34059,11,15,29,28167,16,24,90
apw_eng_199711,293.39,330740,7814253,187981,3,1905,2098,467025,3,20098,20756,45094,10,15,34,37442,16,24,101
apw_eng_199712,372.34,439289,10389468,242667,3,2224,2465,590020,3,25631,26511,58801,13,15,33,49206,16,24,100
apw_eng_199802,405.56,485186,11479564,265784,3,2483,2730,636795,3,28000,28945,65982,10,15,34,52771,17,24,104
apw_eng_199801,392.53,469278,11100794,260961,3,2474,2715,626041,3,28080,29004,63503,9,15,32,50961,17,24,102
apw_eng_199803,425.5,510291,12070812,269263,3,2565,2809,670571,3,30339,31321,65929,11,15,35,54580,17,24,103
apw_eng_199805,403.01,486174,11497448,257061,3,2408,2654,634654,3,28970,29984,62709,10,15,37,50380,18,24,106
apw_eng_199804,405.78,484375,11460217,259136,3,2668,2924,639839,3,30588,31579,62356,10,15,34,50652,18,24,101
apw_eng_199806,373.13,422120,9969818,248461,3,2147,2398,599515,3,24594,25473,56046,11,15,33,48864,18,24,104
apw_eng_199807,238.27,260597,6147829,152522,3,1614,1770,391060,3,16497,17026,33680,8,15,29,29575,16,23,87
apw_eng_199808,234.71,254664,6007274,147391,3,1521,1670,376433,3,15517,16045,32660,9,15,30,26497,16,24,88
apw_eng_199809,252.44,271149,6394240,159661,3,1653,1795,404762,3,16189,16767,36274,11,15,31,30286,16,24,94
apw_eng_199810,254.22,266434,6277828,161100,3,1564,1713,417505,3,16351,16925,36567,9,14,29,32659,16,23,92
apw_eng_199811,242.9,259993,6127371,149928,3,1615,1766,396729,3,16352,16897,34222,8,14,29,30708,16,24,89
apw_eng_199901,269.03,292996,6912619,169188,3,1627,1788,429071,3,16141,16656,39209,7,15,28,32848,15,23,90
apw_eng_199902,246.71,266925,6295122,154229,3,1547,1696,401044,3,15523,16034,35666,7,15,26,29599,17,24,83
apw_eng_199812,294.11,317619,7493459,187581,3,1655,1817,479297,3,16944,17512,43777,7,15,30,36572,16,24,90
apw_eng_199903,309.14,330889,7806199,191949,3,1669,1840,502800,3,16745,17343,43549,8,15,30,37116,16,24,92
apw_eng_199904,284.96,305847,7217792,176510,3,1609,1759,458063,3,15946,16484,37775,8,15,29,32684,16,23,90
apw_eng_199906,304.88,329537,7780833,201520,3,1646,1820,497458,3,16733,17294,43666,9,15,30,40094,16,24,94
apw_eng_199905,299.3,321831,7594945,191554,3,1644,1817,484485,3,16553,17089,42370,9,15,30,36690,17,24,93
apw_eng_199907,283.6,308319,7278442,180225,3,1568,1729,458367,3,16496,17056,39536,9,15,30,34838,16,24,96
apw_eng_199908,188.98,205618,4854155,120544,3,1347,1494,308672,3,13399,13836,26651,9,15,31,22397,16,23,87
apw_eng_199910,186.7,201395,4759246,143055,3,1596,1766,280735,3,15545,16001,36091,9,15,29,30490,16,23,92
apw_eng_199909,156.12,167276,3952363,119387,3,1470,1641,233960,3,14512,14916,29305,8,15,28,24901,16,24,91
apw_eng_199911,1.16,1147,27017,840,3,185,195,1809,3,648,653,214,7,11,16,188,15,18,38
apw_eng_200001,185.72,193637,4578026,131410,3,1498,1656,277161,3,14374,14802,32837,9,15,31,30859,16,24,86
apw_eng_200003,140.95,150226,3551891,97301,3,1544,1698,211688,3,14954,15361,23466,8,15,27,20637,17,23,90
apw_eng_200002,168.02,174953,4134994,118475,3,1461,1609,251663,3,13786,14163,29669,9,15,29,26088,16,24,91
apw_eng_200004,120.38,127799,3021768,83286,3,1441,1587,182190,3,13304,13679,20488,8,15,32,17461,16,24,85
apw_eng_200005,134.31,143837,3403729,93931,3,1564,1720,202815,3,13991,14389,23523,8,15,28,19514,16,24,93
apw_eng_200006,115.99,123538,2922083,79474,3,1416,1556,177918,3,13335,13687,19862,8,15,29,16602,16,23,83
apw_eng_200007,113.83,122479,2896217,79172,3,1396,1547,174525,3,13286,13638,19427,8,15,27,15795,17,24,85
apw_eng_200008,108.58,118530,2803719,75435,3,1373,1517,164532,3,13000,13333,18539,8,15,30,14924,16,23,81
apw_eng_200011,502.59,680092,16149682,312589,3,2120,2344,689774,3,21085,21841,78026,9,15,32,66721,16,24,102
apw_eng_200010,470.82,609903,14451600,297452,3,2026,2231,671847,3,20828,21587,71631,10,15,31,62319,19,24,104
apw_eng_200012,477.69,646296,15333466,280461,3,2177,2399,657724,3,20472,21196,68815,7,15,28,62969,16,24,106
apw_eng_200101,489.12,658781,15630254,287365,3,2169,2402,670173,3,20952,21711,69785,9,15,33,60724,16,24,106
apw_eng_200009,116.16,124647,2948074,79708,3,1417,1565,175476,3,13162,13529,20146,8,15,27,16121,16,23,87
apw_eng_200102,429.39,580638,13776111,251377,3,1944,2172,591027,3,19788,20502,63305,9,15,30,53771,16,24,101
apw_eng_200103,514.03,678001,16061309,317547,3,2131,2368,726780,3,21623,22401,76069,9,15,30,65481,17,23,96
apw_eng_200104,481.35,657531,15565855,288257,3,2003,2225,678144,3,20095,20843,70151,8,15,31,61143,16,23,97
apw_eng_200106,523.14,751043,17745454,300568,3,1895,2112,718963,3,19833,20554,75530,8,15,33,65099,17,24,97
apw_eng_200105,511.7,728729,17238862,297401,3,1926,2137,706246,3,19958,20654,72951,8,15,31,66666,16,24,98
apw_eng_200107,497.47,719645,16966633,280054,3,1787,2014,685803,3,19188,19899,66671,10,15,29,61547,16,24,102
apw_eng_200108,283.86,304566,7192036,175308,3,1620,1799,442596,3,18022,18538,39551,9,15,33,32846,16,23,88
apw_eng_200110,396.4,411385,9705849,247057,3,1795,1985,632029,3,20538,21192,59445,9,15,29,48160,16,24,94
apw_eng_200109,382.18,401352,9479003,234342,3,1792,1984,597647,3,19059,19663,53724,9,15,30,48233,16,24,90
apw_eng_200111,355.79,371348,8764669,221479,3,1821,2007,572119,3,19793,20412,50874,8,15,28,44026,18,24,90
apw_eng_200201,378.47,397280,9375000,234053,3,1806,1998,599360,3,21071,21715,55685,9,15,33,46183,16,24,93
apw_eng_200203,393.92,413600,9763647,240748,3,1849,2032,629377,3,21192,21844,56294,8,15,31,48287,16,23,90
apw_eng_200112,331.06,350413,8273674,202252,3,1757,1928,531663,3,19139,19768,46397,10,15,32,40052,16,24,86
apw_eng_200204,399.3,410879,9695852,244500,3,1834,2013,639268,3,20085,20740,57279,8,14,29,49014,16,24,87
apw_eng_200202,359.7,378007,8923536,227226,3,1824,2021,558514,3,20047,20674,54033,9,15,28,44636,16,24,94
apw_eng_200205,402.74,420016,9914961,255299,3,1848,2029,640247,3,20754,21394,59761,10,15,33,50101,16,24,93
apw_eng_200206,395.02,417879,9867931,263966,3,1904,2092,634715,3,20465,21098,61417,10,15,32,52270,16,24,98
apw_eng_200208,355.71,453026,10756025,215296,3,1759,1946,549372,3,20900,21490,48883,9,15,28,39354,17,24,95
apw_eng_200209,395.82,494144,11732412,239146,3,1845,2025,615356,3,21361,21979,56230,9,15,31,46803,16,24,88
apw_eng_200207,401.62,493487,11705089,249003,3,1728,1901,627480,3,21890,22550,56518,7,15,29,47050,16,24,89
apw_eng_200211,392.44,491643,11678790,230088,3,1933,2106,619311,3,22022,22665,55014,8,15,29,47429,17,23,87
apw_eng_200210,441.01,547369,12994309,266490,3,1992,2193,689159,3,23234,23953,62720,10,15,32,53996,17,24,88
apw_eng_200212,299.01,368406,8732258,174908,3,1594,1750,473626,3,18119,18658,41919,9,15,29,35421,16,23,90
apw_eng_200301,429.17,522079,12372981,261370,3,1798,1996,678405,3,22529,23177,65088,9,15,32,52745,16,23,91
apw_eng_200302,422.01,510838,12111501,258412,3,1843,2035,650631,3,20894,21516,64798,8,15,30,54128,16,24,90
apw_eng_200304,430.06,529214,12542664,260220,3,1856,2047,671959,3,21059,21708,60741,8,15,30,52799,16,23,88
apw_eng_200303,484.04,587201,13914919,298710,3,1942,2131,761401,3,22004,22675,73469,8,15,30,59633,16,24,90
apw_eng_200305,423.66,522746,12395071,257756,3,1849,2031,668928,3,21610,22291,59208,8,15,30,53285,16,24,91
apw_eng_200307,139.58,168441,3994308,79272,3,1189,1297,199882,3,11091,11410,18067,8,14,29,15456,15,24,83
apw_eng_200306,328.29,403539,9577678,189822,3,1725,1895,483828,3,18350,18883,44633,7,15,29,38941,17,23,88
apw_eng_200309,432.51,517593,12276597,243261,3,1795,1980,621994,3,20743,21345,57556,9,15,30,50672,16,24,90
apw_eng_200310,511.21,606436,14396360,298323,3,2065,2265,758363,3,24163,24874,69115,8,15,34,59869,16,23,92
apw_eng_200311,443.47,532321,12639790,247727,3,1861,2051,654736,3,21608,22248,58870,8,14,29,51586,16,23,91
apw_eng_200308,379.74,471868,11201638,210603,3,1746,1921,538313,3,20072,20672,49100,9,15,31,40520,16,24,90
apw_eng_200312,408.78,488561,11596529,222097,3,1808,1981,600807,3,20519,21150,52072,8,15,31,47969,16,24,94
apw_eng_200404,456.61,556081,13215769,253395,3,1851,2042,666442,3,20825,21479,61976,8,15,30,54766,16,23,88
apw_eng_200402,320.64,399477,9497037,176733,3,1639,1807,462806,3,18101,18630,43687,10,15,31,37665,17,23,84
apw_eng_200403,525.86,637253,15141898,293381,3,1983,2173,775358,3,22952,23626,71150,10,15,32,61230,16,23,87
apw_eng_200405,91.92,111898,2656899,51153,3,1013,1097,135667,3,8791,9055,12409,8,14,24,10946,15,22,74
apw_eng_200406,86.68,91132,2148591,57622,3,1245,1377,139074,3,11440,11758,13634,7,14,26,11791,16,23,81
apw_eng_200409,199.16,209035,4933006,129203,3,1734,1915,311508,3,18695,19217,30951,9,15,29,25848,16,23,87
apw_eng_200407,211.98,223683,5273362,140263,3,1721,1901,333614,3,19453,20012,33242,9,15,32,27850,16,24,90
apw_eng_200408,186.04,210307,4972797,121046,3,1641,1803,284666,3,17720,18202,28757,8,15,31,22994,16,23,91
apw_eng_200410,224.87,241592,5712740,144303,3,1771,1939,358038,3,19635,20168,34381,9,15,29,28881,16,23,86
apw_eng_200501,168.58,183872,4347009,106776,3,1493,1649,263244,3,15523,15964,24615,8,15,31,21877,17,23,91
apw_eng_200411,164.15,176180,4163314,102877,3,1572,1733,263519,3,16430,16881,23579,10,15,29,21478,16,24,83
