corpus_slice,file_MB,sentences,tokens,ADV_tokens,ADV_xpos,ADV_lemmas,ADV_forms,ADJ_tokens,ADJ_xpos,ADJ_lemmas,ADJ_forms,NEG_tokens,NEG_xpos,NEG_lemmas,NEG_forms,NR_tokens,NR_xpos,NR_lemmas,NR_forms
apw_eng_199411,10.65,9680,228217,16077,3,602,639,23917,3,2997,3064,1894,7,15,22,2622,15,22,62
apw_eng_199412,16.24,14856,350416,24528,3,706,756,37496,3,3777,3843,2641,7,14,22,3967,15,23,61
apw_eng_199501,16.7,15743,371600,25964,3,743,792,38037,3,3888,3963,2817,6,14,21,4378,16,22,65
apw_eng_199502,14.43,13341,314522,22114,3,690,740,33592,3,3899,3970,2337,7,15,23,3666,15,23,60
apw_eng_199504,15.44,14242,335810,23802,3,738,787,36016,3,4053,4129,2590,7,15,24,3856,15,23,66
apw_eng_199503,17.38,15873,374165,26695,3,763,822,40258,3,4266,4356,2917,8,14,21,4446,15,23,65
apw_eng_199505,20.62,18704,441136,31648,3,743,790,46901,3,4049,4144,3269,7,13,20,5416,15,23,67
apw_eng_199506,22.01,19782,466813,34145,3,750,813,50093,3,4387,4476,3742,7,13,21,5320,15,23,65
apw_eng_199510,13.43,11965,282016,20378,3,704,763,31203,3,3926,4002,2168,7,15,21,3435,15,22,63
apw_eng_199507,20.37,18466,435838,31615,3,755,807,46224,3,3975,4051,3542,7,14,21,5018,15,22,63
apw_eng_199509,19.05,16745,394728,28613,3,778,842,42731,3,4077,4166,3254,8,13,20,5025,15,23,69
apw_eng_199512,11.84,10709,252380,17820,3,728,778,27320,3,3630,3711,1895,8,14,24,3336,15,22,59
apw_eng_199508,20.32,18256,430789,30932,3,756,801,45788,3,3922,3997,3253,7,15,24,5011,15,22,61
apw_eng_199511,12.5,11313,266621,18903,3,683,725,28879,3,3561,3649,2185,7,15,20,3015,15,23,63
apw_eng_199601,12.77,11558,272550,19575,3,679,717,29443,3,3640,3726,2281,7,15,22,3312,15,23,65
apw_eng_199602,11.5,10485,246973,17756,3,656,706,26405,3,3552,3631,2041,6,13,19,2810,15,23,60
