      l1  l2                               f      E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff      f1     f2        N  
--------  ---------------------------  -----  -------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ------  -----  -------  
NEGATIVE  ever_simple                    207    30.13                76                  139                  1     305         86            1          180                   1                 305                   1                 105            180             797.97                797.97               3.387   0.0014       12.29        0.8545       0.00073               1.0000              0.00073               0.8544              0.00062          176.87  285435    207  1960936  
NEGATIVE  ever_enough                    147    21.40               112                  198                  2     465        132            2          277                   1                 465                   1                 156            277             566.65                566.65               3.239   0.0010       10.36        0.8545       0.00052               1.0000              0.00052               0.8544              0.00044          125.60  285435    147  1960936  
NEGATIVE  ever_certain                   143    20.82               118                  206                  3     481        133            3          287                   1                 481                   1                 162            287             551.23                551.23               3.227   0.0010       10.22        0.8545       0.00050               1.0000              0.00050               0.8544              0.00043          122.18  285435    143  1960936  
NEGATIVE  entirely_certain                62     9.02               269                  467                  6    1218        324            4          697                   1                1219                   1                 392            697             238.98                238.98               2.866   0.0004        6.73        0.8545       0.00022               1.0000              0.00022               0.8544              0.00019           52.98  285435     62  1960936  
NEGATIVE  ever_black                      56     8.15               307                  526                  7    1358        363            5          803                   1                1358                   1                 451            803             215.85                215.85               2.822   0.0004        6.39        0.8545       0.00020               1.0000              0.00020               0.8544              0.00017           47.85  285435     56  1960936  
NEGATIVE  ever_happy                      48     6.99               360                  611                 10    1561        415            6          940                   1                1561                   1                 526            940             185.01                185.01               2.755   0.0003        5.92        0.8545       0.00017               1.0000              0.00017               0.8544              0.00014           41.01  285435     48  1960936  
NEGATIVE  ever_sick                       39     5.68               458                  761                 12    1936        508            7         1153                   1                1936                   1                 637           1153             150.32                150.32               2.666   0.0003        5.34        0.8545       0.00014               1.0000              0.00014               0.8544              0.00012           33.32  285435     39  1960936  
NEGATIVE  there_much                      39     5.68               458                  761                 12    1936        508            7         1153                   1                1936                   1                 637           1153             150.32                150.32               2.666   0.0003        5.34        0.8545       0.00014               1.0000              0.00014               0.8544              0.00012           33.32  285435     39  1960936  
NEGATIVE  ever_alone                      38     5.53               474                  783                 14    1998        523            9         1196                   1                1998                   1                 665           1196             146.47                146.47               2.655   0.0003        5.27        0.8545       0.00013               1.0000              0.00013               0.8544              0.00011           32.47  285435     38  1960936  
NEGATIVE  ever_dull                       37     5.39               482                  795                 15    2054        544           10         1226                   1                2054                   1                 680           1226             142.61                142.61               2.644   0.0003        5.20        0.8545       0.00013               1.0000              0.00013               0.8544              0.00011           31.61  285435     37  1960936  
NEGATIVE  ever_straightforward            32     4.66               559                  912                 16    2343        633           11         1407                   1                2343                   1                 768           1407             123.34                123.34               2.582   0.0002        4.83        0.8545       0.00011               1.0000              0.00011               0.8544              0.00010           27.34  285435     32  1960936  
