l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEGATIVE,ever_simple,207,30.1310420,76,137,1,305,86,1,180,1,305,1,105,180,797.9737252,797.9737252,3.3869999997,1.4493667e-03,12.29324238,0.8545296163,7.2520889e-04,1.00000000000,7.2520889e-04,0.8544394106,6.1964706e-04,176.8689580,285435,207,1960936
NEGATIVE,ever_enough,147,21.3974066,112,195,2,465,132,2,277,1,465,1,156,277,566.6505784,566.6505784,3.2386825714,1.0294766e-03,10.35952730,0.8545034677,5.1500342e-04,1.00000000000,5.1500342e-04,0.8544394106,4.4003922e-04,125.6025934,285435,147,1960936
NEGATIVE,ever_certain,143,20.8151643,118,203,3,481,133,3,287,1,481,1,162,287,551.2298021,551.2298021,3.2267363630,1.0014777e-03,10.21760926,0.8545017246,5.0098972e-04,1.00000000000,5.0098972e-04,0.8544394106,4.2806536e-04,122.1848357,285435,143,1960936
NEGATIVE,entirely_certain,62,9.0247565,269,455,6,1218,324,4,697,1,1219,1,392,697,238.9797021,238.9797021,2.8656411922,4.3433031e-04,6.72786265,0.8544664267,2.1721233e-04,1.00000000000,2.1721233e-04,0.8544394106,1.8559477e-04,52.9752435,285435,62,1960936
NEGATIVE,ever_black,56,8.1513930,307,509,7,1358,363,5,803,1,1358,1,451,803,215.8516282,215.8516282,2.8218004917,3.9230659e-04,6.39403906,0.8544638122,1.9619178e-04,1.00000000000,1.9619178e-04,0.8544394106,1.6763399e-04,47.8486070,285435,56,1960936
NEGATIVE,ever_happy,48,6.9869083,360,593,10,1561,415,6,940,1,1561,1,526,940,185.0145316,185.0145316,2.7554816082,3.3627221e-04,5.91972988,0.8544603261,1.6816438e-04,1.00000000000,1.6816438e-04,0.8544394106,1.4368627e-04,41.0130917,285435,48,1960936
NEGATIVE,there_much,39,5.6768630,458,736,12,1936,508,7,1153,1,1936,1,637,1153,150.3232561,150.3232561,2.6663232695,2.7322979e-04,5.33597241,0.8544564044,1.3663356e-04,1.00000000000,1.3663356e-04,0.8544394106,1.1674510e-04,33.3231370,285435,39,1960936
NEGATIVE,ever_sick,39,5.6768630,458,736,12,1936,508,7,1153,1,1936,1,637,1153,150.3232561,150.3232561,2.6663232695,2.7322979e-04,5.33597241,0.8544564044,1.3663356e-04,1.00000000000,1.3663356e-04,0.8544394106,1.1674510e-04,33.3231370,285435,39,1960936
NEGATIVE,ever_alone,38,5.5313024,474,758,14,1998,523,9,1196,1,1998,1,665,1196,146.4686999,146.4686999,2.6551853816,2.6622483e-04,5.26711827,0.8544559686,1.3313013e-04,1.00000000000,1.3313013e-04,0.8544394106,1.1375163e-04,32.4686976,285435,38,1960936
NEGATIVE,ever_dull,37,5.3857418,482,769,15,2054,544,10,1226,1,2054,1,680,1226,142.6141497,142.6141497,2.6437543982,2.5921982e-04,5.19735203,0.8544555329,1.2962671e-04,1.00000000000,1.2962671e-04,0.8544394106,1.1075817e-04,31.6142582,285435,37,1960936
NEGATIVE,ever_straightforward,32,4.6579389,559,884,16,2343,633,11,1407,1,2343,1,768,1407,123.3414883,123.3414883,2.5815988829,2.2419404e-04,4.83343921,0.8544533542,1.1210959e-04,1.00000000000,1.1210959e-04,0.8544394106,9.5790850e-05,27.3420611,285435,32,1960936
NEGATIVE,ever_final,32,4.6579389,559,884,16,2343,633,11,1407,1,2343,1,768,1407,123.3414883,123.3414883,2.5815988829,2.2419404e-04,4.83343921,0.8544533542,1.1210959e-04,1.00000000000,1.1210959e-04,0.8544394106,9.5790850e-05,27.3420611,285435,32,1960936
NEGATIVE,ever_sure,30,4.3668177,606,950,19,2502,675,13,1492,1,2502,1,831,1492,115.6324656,115.6324656,2.5540123179,2.1018339e-04,4.67995739,0.8544524827,1.0510274e-04,1.00000000000,1.0510274e-04,0.8544394106,8.9803921e-05,25.6331823,285435,30,1960936
NEGATIVE,truly_sure,28,4.0756965,642,999,20,2686,717,14,1597,1,2686,1,893,1597,107.9234669,107.9234669,2.5245542952,1.9617253e-04,4.52126838,0.8544516112,9.8095889e-05,1.00000000000,9.8095889e-05,0.8544394106,8.3816993e-05,23.9243035,285435,28,1960936
NEGATIVE,ever_successful,28,4.0756965,642,999,20,2686,717,14,1597,1,2686,1,893,1597,107.9234669,107.9234669,2.5245542952,1.9617253e-04,4.52126838,0.8544516112,9.8095889e-05,1.00000000000,9.8095889e-05,0.8544394106,8.3816993e-05,23.9243035,285435,28,1960936
NEGATIVE,particularly_fast,26,3.7845753,694,1069,23,2881,771,16,1715,1,2881,1,962,1715,100.2144922,100.2144922,2.4929522658,1.8216149e-04,4.35680323,0.8544507397,9.1089040e-05,1.00000000000,9.1089040e-05,0.8544394106,7.7830065e-05,22.2154247,285435,26,1960936
NEGATIVE,more_untrue,26,3.7845753,694,1069,23,2881,771,16,1715,1,2881,1,962,1715,100.2144922,100.2144922,2.4929522658,1.8216149e-04,4.35680323,0.8544507397,9.1089040e-05,1.00000000000,9.1089040e-05,0.8544394106,7.7830065e-05,22.2154247,285435,26,1960936
NEGATIVE,ever_safe,25,3.6390147,721,1103,25,2996,797,18,1787,1,2996,1,1003,1787,96.3600138,96.3600138,2.4762450507,1.7515589e-04,4.27219705,0.8544503040,8.7585615e-05,1.00000000000,8.7585615e-05,0.8544394106,7.4836601e-05,21.3609853,285435,25,1960936
NEGATIVE,ever_impossible,25,3.6390147,721,1103,25,2996,797,18,1787,1,2996,1,1003,1787,96.3600138,96.3600138,2.4762450507,1.7515589e-04,4.27219705,0.8544503040,8.7585615e-05,1.00000000000,8.7585615e-05,0.8544394106,7.4836601e-05,21.3609853,285435,25,1960936
NEGATIVE,ever_fun,24,3.4934541,744,1134,27,3106,840,20,1852,1,3106,1,1044,1852,92.5055414,92.5055414,2.4588694330,1.6815024e-04,4.18588114,0.8544498682,8.4082190e-05,1.00000000000,8.4082190e-05,0.8544394106,7.1843137e-05,20.5065459,285435,24,1960936
NEGATIVE,terribly_special,24,3.4934541,744,1134,27,3106,840,20,1852,1,3106,1,1044,1852,92.5055414,92.5055414,2.4588694330,1.6815024e-04,4.18588114,0.8544498682,8.4082190e-05,1.00000000000,8.4082190e-05,0.8544394106,7.1843137e-05,20.5065459,285435,24,1960936
NEGATIVE,yet_clear,22,3.2023330,824,1240,32,3363,910,22,2021,1,3363,1,1131,2021,84.7966146,84.7966146,2.4218828234,1.5413880e-04,4.00767608,0.8544489967,7.7075341e-05,1.00000000000,7.7075341e-05,0.8544394106,6.5856209e-05,18.7976670,285435,22,1960936
NEGATIVE,ever_permanent,22,3.2023330,824,1240,32,3363,910,22,2021,1,3363,1,1131,2021,84.7966146,84.7966146,2.4218828234,1.5413880e-04,4.00767608,0.8544489967,7.7075341e-05,1.00000000000,7.7075341e-05,0.8544394106,6.5856209e-05,18.7976670,285435,22,1960936
NEGATIVE,fully_certain,21,3.0567724,857,1287,34,3518,950,24,2100,1,3518,1,1174,2100,80.9421601,80.9421601,2.4021372436,1.4713301e-04,3.91553328,0.8544485610,7.3571917e-05,1.00000000000,7.3571917e-05,0.8544394106,6.2862745e-05,17.9432276,285435,21,1960936
NEGATIVE,ever_clear,21,3.0567724,857,1287,34,3518,950,24,2100,1,3518,1,1174,2100,80.9421601,80.9421601,2.4021372436,1.4713301e-04,3.91553328,0.8544485610,7.3571917e-05,1.00000000000,7.3571917e-05,0.8544394106,6.2862745e-05,17.9432276,285435,21,1960936
NEGATIVE,more_synonymous,21,3.0567724,857,1287,34,3518,950,24,2100,1,3518,1,1174,2100,80.9421601,80.9421601,2.4021372436,1.4713301e-04,3.91553328,0.8544485610,7.3571917e-05,1.00000000000,7.3571917e-05,0.8544394106,6.2862745e-05,17.9432276,285435,21,1960936
NEGATIVE,yet_certain,21,3.0567724,857,1287,34,3518,950,24,2100,1,3518,1,1174,2100,80.9421601,80.9421601,2.4021372436,1.4713301e-04,3.91553328,0.8544485610,7.3571917e-05,1.00000000000,7.3571917e-05,0.8544394106,6.2862745e-05,17.9432276,285435,21,1960936
NEGATIVE,any_younger,20,2.9112118,910,1358,39,3691,995,28,2200,1,3691,1,1232,2200,77.0877117,77.0877117,2.3814511231,1.4012717e-04,3.82116921,0.8544481253,7.0068492e-05,1.00000000000,7.0068492e-05,0.8544394106,5.9869281e-05,17.0887882,285435,20,1960936
NEGATIVE,overtly_wrong,20,2.9112118,910,1358,39,3691,995,28,2200,1,3691,1,1232,2200,77.0877117,77.0877117,2.3814511231,1.4012717e-04,3.82116921,0.8544481253,7.0068492e-05,1.00000000000,7.0068492e-05,0.8544394106,5.9869281e-05,17.0887882,285435,20,1960936
NEGATIVE,ever_perfect,207,30.2766026,78,140,5,306,87,30,181,3368,305,30,106,181,785.6178728,785.6178728,2.9098784858,1.4493616e-03,12.28312522,0.8497218498,7.2461206e-04,0.99519230769,7.2520889e-04,0.8496317183,6.1913710e-04,176.7233974,285435,208,1960936
NEGATIVE,ever_easy,368,53.8574181,38,72,4,150,45,31,97,3382,150,31,57,97,1394.5553446,1394.5553446,2.9376940790,2.5751824e-03,16.37581410,0.8491942357,1.2880666e-03,0.99459459459,1.2892603e-03,0.8490340052,1.1005748e-03,314.1425819,285435,370,1960936
NEGATIVE,exactly_sure,148,21.6885278,114,198,9,461,131,32,273,3429,461,32,154,273,558.8190898,558.8190898,2.7644970131,1.0364726e-03,10.38273906,0.8477924199,5.1791000e-04,0.99328859060,5.1850684e-04,0.8477280012,4.4252272e-04,126.3114722,285435,149,1960936
NEGATIVE,entirely_sure,366,53.7118575,40,75,8,151,47,33,101,3498,151,33,60,101,1377.1784895,1377.1784895,2.7891992240,2.5611958e-03,16.32356270,0.8464686139,1.2804629e-03,0.99186991870,1.2822534e-03,0.8463093293,1.0940780e-03,312.2881425,285435,369,1960936
NEGATIVE,truly_alone,188,27.8020726,92,159,22,353,101,34,202,3889,353,34,122,202,694.7877477,694.7877477,2.5001655067,1.3164068e-03,11.68363466,0.8388143069,6.5685332e-04,0.98429319372,6.5864382e-04,0.8387326043,5.6124136e-04,160.1979274,285435,191,1960936
NEGATIVE,really_certain,62,9.1703171,288,481,38,1219,326,35,701,3893,1219,35,393,701,229.0239465,229.0239465,2.3885196783,4.3432879e-04,6.70937643,0.8385933366,2.1661549e-04,0.98412698413,2.1721233e-04,0.8385663947,1.8508481e-04,52.8296829,285435,63,1960936
NEGATIVE,ever_boring,57,8.4425142,315,519,44,1326,359,36,783,3976,1326,36,436,783,209.9173088,209.9173088,2.3522998965,3.9930927e-04,6.43159611,0.8372227944,1.9909837e-04,0.98275862069,1.9969520e-04,0.8371980313,1.7011749e-04,48.5574858,285435,58,1960936
NEGATIVE,ever_good,300,44.5415404,53,96,30,200,62,37,121,4114,202,37,72,121,1099.3896334,1099.3896334,2.4340230942,2.0998037e-03,14.74890104,0.8349618615,1.0474464e-03,0.98039215686,1.0510274e-03,0.8348315674,8.9497945e-04,255.4584596,285435,306,1960936
NEGATIVE,really_sure,912,135.5169088,12,23,29,40,15,38,27,4162,40,38,17,27,3338.0992601,3338.0992601,2.4402200154,6.3694712e-03,25.71192448,0.8344274111,3.1837833e-03,0.97959183673,3.1951232e-03,0.8340312473,2.7203500e-03,776.4830912,285435,931,1960936
NEGATIVE,quite_sure,2967,441.4852677,4,7,31,5,4,39,4,4270,5,39,4,4,10847.0032247,10847.0032247,2.4227267719,2.0570739e-02,46.36509277,0.8339686855,1.0355270e-02,0.97823936696,1.0394661e-02,0.8326787775,8.8479504e-03,2525.5147323,285435,3033,1960936
NEGATIVE,ever_satisfied,44,6.5502265,431,699,48,1705,451,40,1014,4276,1705,40,568,1014,160.3197654,160.3197654,2.2409722796,3.0825277e-04,5.64576578,0.8322362867,1.5355385e-04,0.97777777778,1.5415068e-04,0.8322171883,1.3120246e-04,37.4497735,285435,45,1960936
NEGATIVE,really_alone,195,29.1121179,90,156,46,329,94,41,195,4451,329,41,118,195,706.5167352,706.5167352,2.3197164081,1.3653789e-03,11.87947798,0.8295240155,6.8018361e-04,0.97500000000,6.8316780e-04,0.8294394106,5.8117569e-04,165.8878821,285435,200,1960936
NEGATIVE,particularly_revolutionary,39,5.8224236,486,775,54,1938,513,42,1161,4451,1936,41,642,1161,141.2852879,141.2852879,2.1892017556,2.7322883e-04,5.31266406,0.8294563302,1.3603672e-04,0.97500000000,1.3663356e-04,0.8294394106,1.1623514e-04,33.1775764,285435,40,1960936
NEGATIVE,truly_complete,39,5.8224236,486,775,54,1938,513,42,1161,4451,1936,41,642,1161,141.2852879,141.2852879,2.1892017556,2.7322883e-04,5.31266406,0.8294563302,1.3603672e-04,0.97500000000,1.3663356e-04,0.8294394106,1.1623514e-04,33.1775764,285435,40,1960936
NEGATIVE,fully_happy,38,5.6768630,500,798,56,1999,528,44,1203,4484,1998,44,668,1203,137.4820203,137.4820203,2.1780638677,2.6622389e-04,5.24350522,0.8288148688,1.3253330e-04,0.97435897436,1.3313013e-04,0.8287983849,1.1324167e-04,32.3231370,285435,39,1960936
NEGATIVE,ever_free,69,10.3348018,256,435,52,1067,291,45,621,4640,1067,45,348,621,248.3705696,248.3705696,2.2127861098,4.8335236e-04,7.06245993,0.8263003145,2.4054262e-04,0.97183098592,2.4173630e-04,0.8262703965,2.0552910e-04,58.6651982,285435,71,1960936
NEGATIVE,especially_surprising,34,5.0946206,567,897,65,2212,599,46,1342,4654,2212,46,737,1342,122.2832710,122.2832710,2.1304161465,2.3820366e-04,4.95723166,0.8258827229,1.1851960e-04,0.97142857143,1.1911644e-04,0.8258679820,1.0126782e-04,28.9053794,285435,35,1960936
NEGATIVE,more_unattractive,33,4.9490600,587,925,73,2280,619,47,1376,4696,2280,47,752,1376,118.4875778,118.4875778,2.1176403367,2.3119848e-04,4.88304188,0.8250419510,1.1501618e-04,0.97058823529,1.1561301e-04,0.8250276459,9.8274353e-05,28.0509400,285435,34,1960936
NEGATIVE,especially_new,62,9.3158777,297,495,60,1220,329,48,706,4816,1219,48,396,706,221.8090325,221.8090325,2.1666706695,4.3432727e-04,6.69089022,0.8232162783,2.1601865e-04,0.96875000000,2.1721233e-04,0.8231894106,1.8457485e-04,52.6841223,285435,64,1960936
NEGATIVE,ever_necessary,31,4.6579389,623,971,81,2418,661,49,1456,4816,2419,48,810,1456,110.9016707,110.9016707,2.0909030401,2.1718798e-04,4.73117385,0.8232028442,1.0800933e-04,0.96875000000,1.0860616e-04,0.8231894106,9.2287425e-05,26.3420611,285435,32,1960936
NEGATIVE,quite_able,340,51.2373275,49,90,53,163,52,50,108,4982,163,50,65,108,1209.9126598,1209.9126598,2.2043584514,2.3793944e-03,15.66035469,0.8204957855,1.1840023e-03,0.96590909091,1.1911644e-03,0.8203485015,1.0116582e-03,288.7626725,285435,352,1960936
NEGATIVE,fully_sure,28,4.2212571,701,1077,88,2688,733,51,1607,4989,2686,51,897,1607,99.5383523,99.5383523,2.0474327813,1.9617185e-04,4.49376002,0.8199687783,9.7499052e-05,0.96551724138,9.8095889e-05,0.8199566519,8.3307033e-05,23.7787429,285435,29,1960936
NEGATIVE,ever_more,27,4.0756965,725,1108,91,2794,754,52,1667,5067,2794,52,932,1667,95.7553067,95.7553067,2.0319190935,1.8916637e-04,4.41178426,0.8187368155,9.3995628e-05,0.96428571429,9.4592464e-05,0.8187251249,8.0313569e-05,22.9243035,285435,28,1960936
NEGATIVE,particularly_wrong,212,32.0233297,84,148,59,296,84,53,175,5122,296,53,100,175,751.0343831,751.0343831,2.1668974512,1.4843080e-03,12.36084847,0.8181675655,7.3795132e-04,0.96363636364,7.4272601e-04,0.8180757742,6.3053469e-04,179.9766703,285435,220,1960936
NEGATIVE,inherently_illegal,26,3.9301359,756,1148,99,2883,784,54,1725,5132,2881,54,969,1725,91.9749144,91.9749144,2.0158307519,1.8216085e-04,4.32825645,0.8174136284,9.0492203e-05,0.96296296296,9.1089040e-05,0.8174023735,7.7320105e-05,22.0698641,285435,27,1960936
NEGATIVE,ever_wrong,102,15.4294225,175,301,68,696,200,55,419,5189,697,55,234,419,360.3661546,360.3661546,2.1263023721,7.1443330e-04,8.57176446,0.8167477115,3.5496196e-04,0.96226415094,3.5734931e-04,0.8167035615,3.0329349e-04,86.5705775,285435,106,1960936
NEGATIVE,entirely_clear,329,49.7817216,52,95,62,171,55,56,111,5201,172,56,67,111,1161.9671611,1161.9671611,2.1566559831,2.3024946e-03,15.39380199,0.8165701298,1.1448678e-03,0.96198830409,1.1526267e-03,0.8164277147,9.7822018e-04,279.2182784,285435,342,1960936
NEGATIVE,ever_available,50,7.5691507,383,629,83,1511,408,57,909,5204,1512,57,505,909,176.3984495,176.3984495,2.0740637685,3.5027865e-04,6.00062826,0.8159995107,1.7397756e-04,0.96153846154,1.7517123e-04,0.8159778721,1.4865328e-04,42.4308493,285435,52,1960936
NEGATIVE,ever_dead,25,3.7845753,780,1184,108,2998,816,58,1794,5204,2996,57,1010,1794,88.1973790,88.1973790,1.9991235368,1.7515528e-04,4.24308493,0.8159886913,8.6988779e-05,0.96153846154,8.7585615e-05,0.8159778721,7.4326641e-05,21.2154247,285435,26,1960936
NEGATIVE,overly_special,48,7.2780295,407,664,86,1562,422,59,946,5281,1561,59,530,946,168.8492580,168.8492580,2.0565110854,3.3626986e-04,5.87771016,0.8144601777,1.6697071e-04,0.96000000000,1.6816438e-04,0.8144394106,1.4266635e-04,40.7219705,285435,50,1960936
NEGATIVE,that_fond,24,3.6390147,831,1251,116,3108,851,60,1871,5281,3106,59,1056,1871,84.4229290,84.4229290,1.9817479191,1.6814965e-04,4.15616871,0.8144497940,8.3485354e-05,0.96000000000,8.4082190e-05,0.8144394106,7.1333177e-05,20.3609853,285435,25,1960936
NEGATIVE,too_sure,539,81.9506119,23,43,74,79,29,61,51,5445,79,62,32,51,1887.4766789,1887.4766789,2.1122768508,3.7692571e-03,19.68651079,0.8120437802,1.8740218e-03,0.95737122558,1.8883459e-03,0.8118106361,1.6012381e-03,457.0493881,285435,563,1960936
NEGATIVE,particularly_spectacular,45,6.8413477,443,714,92,1662,448,62,993,5434,1662,61,555,993,157.5382048,157.5382048,2.0287761782,3.1525630e-04,5.68835603,0.8119056790,1.5646043e-04,0.95744680851,1.5765411e-04,0.8118862191,1.3368596e-04,38.1586523,285435,47,1960936
NEGATIVE,terribly_surprising,67,10.1892413,279,468,87,1107,299,63,637,5447,1107,63,360,637,234.4280664,234.4280664,2.0539737394,4.6934379e-04,6.94053883,0.8116112400,2.3293894e-04,0.95714285714,2.3472945e-04,0.8115822677,1.9903221e-04,56.8107587,285435,70,1960936
NEGATIVE,ever_worried,22,3.3478936,916,1365,129,3365,927,64,2034,5449,3363,64,1140,2034,76.8843456,76.8843456,1.9447613095,1.5413826e-04,3.97664246,0.8109706616,7.6478505e-05,0.95652173913,7.7075341e-05,0.8109611497,6.5346249e-05,18.6521064,285435,23,1960936
NEGATIVE,particularly_remarkable,108,16.4483466,170,293,85,641,184,65,393,5533,641,65,219,393,376.9197233,376.9197233,2.0638669425,7.5644025e-04,8.80956196,0.8102383134,3.7538567e-04,0.95575221239,3.7836986e-04,0.8101916230,3.2074431e-04,91.5516534,285435,113,1960936
