hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19941130_0031_15:15,neg-ext-nonsubj,completely_happy,completely,happy,"His wife , Margaret , died in 1965 , and he was  -LBQ-  never completely happy again .  -RDQ-",nyt_eng_19941130_0031_15,15,nyt_eng_199411,He married in 1918 and was the father of two children .,He spent most of his final years in Florida .
nyt_eng_19941129_0271_5:14,neg-ext-nonsubj,politically_active,politically,active,"It was a painful learning experience for Kuykendall , who had never been politically active until July .",nyt_eng_19941129_0271_5,14,nyt_eng_199411,"Farm Bureau president Bob Stallman , a political ally , denounced the statement as  -LBQ-  appalling .  -RDQ-","He learned then of a water district plan aimed at protecting Austin 's Barton Springs , which would have curtailed use of land in southwest Travis and Hays counties ."
nyt_eng_19941129_0149_37:8,neg-ext-nonsubj,as_pleasurable,as,pleasurable,PULP FICTION  -COL-  Perversity has never been as pleasurable as it is in Quentin Tarantino 's three-part homage to sleazy crime stories .,nyt_eng_19941129_0149_37,8,nyt_eng_199411,R. Rating  -COL-  2 stars .,"Hit men , junkies , washed-up boxers and assorted , attendant lowlifes snake a comic , violent path through L.A. 's urban underbelly , have lots of amazing conversations and experience unexpected personal epiphanies ."
nyt_eng_19941127_0185_38:39,neg-ext-nonsubj,too_late,too,late,Olivares said he hopes to work for the LAPD for at least 10 years and said that if there is any message that the public should take from his achievement it is this  -COL-   -LBQ-  It 's never too late to go out and get in shape and do whatever you want to do .  -RDQ-,nyt_eng_19941127_0185_38,39,nyt_eng_199411,"He hopes to eventually earn promotions into detective work , where he can  -LBQ-  use his analytical capabilities , report-writing capabilities to build cases that the district attorney can use to put people away for as long as they need to be put away .  -RDQ-",
nyt_eng_19941126_0185_32:11,neg-ext-nonsubj,as_good,as,good,"Coaches have said for decades that a team is never as good as people think when it 's winning , or as bad as people think when it 's losing .",nyt_eng_19941126_0185_32,11,nyt_eng_199411,Much of this overreaction is nothing new .,"Yet , the suspicion is that it 's harder than ever for the better NFL teams to win consistently , and harder than ever for their fans to accept that ."
nyt_eng_19941126_0054_49:9,neg-ext-nonsubj,as_bad,as,bad,The underlying message is that life is never as bad as it seems .  -RDQ-,nyt_eng_19941126_0054_49,9,nyt_eng_199411,"This one might be in a wheelchair , but he can still make you laugh .",Fonseca -- who is married and has a 10-month-old daughter -- grew up in Colorado wanting to be a radio disc jockey but figured his deliberate speech pattern precluded it .
nyt_eng_19941125_0280_10:10,neg-ext-nonsubj,as_clean,as,clean,"An ordinary  -LBQ-  analog  -RDQ-  radio signal is never as clean as the source of the music , and is vulnerable to interference from weather , geography and tall buildings .",nyt_eng_19941125_0280_10,10,nyt_eng_199411,"But the medium has limitations that David Margolese , the chief executive of CD Radio , thinks offer a opening for those focusing on the market for on-the-road entertainment .","But by starting from scratch with digital technology , satellite broadcasters can stuff dozens of channels of CD-quality , interference-resistant programming into a narrow band of frequencies ."
nyt_eng_19941125_0137_13:5,neg-ext-nonsubj,too_big,too,big,He had never been too big on Christmas but became a convert after reluctantly playing Santa .,nyt_eng_19941125_0137_13,5,nyt_eng_199411,I feel a lot like Tim Allen 's character in the movie  -LBQ-  The Santa Clause .  -RDQ-,My parents always taught us there was really no Santa .
nyt_eng_19941124_0066_4:5,neg-ext-nonsubj,very_popular,very,popular,The branch was never very popular with the people around here .,nyt_eng_19941124_0066_4,5,nyt_eng_199411,"The last one to operate here still sits beside Route 191 , propped up on cinder blocks  -COL-  a mobile home that was a Citibank branch .","For every dollar of deposits it used to take in , it put out at best a few pennies in local loans , infuriating the 25,000 residents of this town and the surrounding hills ."
nyt_eng_19941123_0168_6:14,neg-ext-nonsubj,very_big,very,big,We can put aside the minor issue that these particular headlines were never very big in this hemisphere ; what 's important is that the film succeeds in its broader ambition .,nyt_eng_19941123_0168_6,14,nyt_eng_199411,"-LBQ-  Heavenly Creatures  -RDQ-  aims to get behind the lurid headlines and into the heads of the young women , to find out what made them tick -- and explode .","New Zealand director Peter Jackson , known chiefly for the horror spectacular  -LBQ-  Dead Alive ,  -RDQ-  paints a heady picture of adolescent obsession and self-absorbed fantasy grown so vivid as to obscure the reality of other people 's lives ."
nyt_eng_19941122_0342_42:44,neg-ext-nonsubj,totally_successful,totally,successful,"-LBQ-  Because until we , as a profession , accept a leadership role in the reform dialogue that is raging in this country , we will continue to be used as pawns in the game of education reform and we will never be totally successful in our primary mission of teaching .  -RDQ-",nyt_eng_19941122_0342_42,44,nyt_eng_199411,"-LBQ-  Whether we want to or not , we must become leaders beyond our classrooms and enable others to do so ,  -RDQ-  she said in remarks at the teachers forum .",
nyt_eng_19941122_0285_33:8,neg-ext-nonsubj,completely_dark,completely,dark,"Even at night , city is never completely dark .",nyt_eng_19941122_0285_33,8,nyt_eng_199411,"As dusk deepens , individual objects such as trees or fence posts merge with night shadows , reminders of how dark the dark of country is .",I had forgotten that .
nyt_eng_19941122_0214_29:7,neg-ext-nonsubj,particularly_close,particularly,close,"The two men have never been particularly close , and during the campaign this year Dole declined to endorse Gingrich 's  -LBQ-  Contract with America .  -RDQ-",nyt_eng_19941122_0214_29,7,nyt_eng_199411,"ago , Newt Gingrich , the House Speaker-in-waiting , and Bob Dole , who will be the Senate Majority leader , also were here to emphasize that they could work well with each other .",WASHINGTON -LRB- NYT -RRB- -- Federal regulators adopted new rules Tuesday
nyt_eng_19941122_0141_6:39,neg-ext-nonsubj,lamentably_wide,lamentably,wide,"Many of Paglia 's thoughts -- or , as they say in academe , her discourse -- speak directly to the massive disconnect between America 's intellectuals and its people , a gap that has never been as lamentably wide as it is now .",nyt_eng_19941122_0141_6,39,nyt_eng_199411,"It 's egomaniacal , it 's thought-provoking , it 's Hurricane Camille !","A lot of the material addressed to the absurd entitlement politics of the left and the thuggish opportunism of the right could be comfortably filed under the heading  -LBQ-  Get a Grip ,  -RDQ-  and would n't get much of a raised eyebrow from your immigrant great-grandmother ."
nyt_eng_19941118_0275_4:6,neg-ext-nonsubj,as_bad,as,bad,"-LBQ-  The Jews were never as bad as this ,  -RDQ-  said one protester , Fawzi Istambouli .",nyt_eng_19941118_0275_4,6,nyt_eng_199411,"The police officers , who took over from the Israeli army in May , suddenly found themselves in the Israelis ' boots as Gaza 's seething resentment , inflamed by a deadly clash at a mosque , turned against them .",-LBQ-  The uprising against Arafat has just begun .  -RDQ-
nyt_eng_19941118_0180_22:6,neg-ext-nonsubj,as_bad,as,bad,"-LBQ-  The Jews were never as bad as this ,  -RDQ-  said one protestor ,",nyt_eng_19941118_0180_22,6,nyt_eng_199411,"last May , suddenly found themselves in the Israelis ' boots as Gaza 's seething resentment , inflamed by a deadly clash at a mosque , turned against them .",Fawzi Istambouli .
nyt_eng_19941117_0320_18:10,neg-ext-nonsubj,that_bad,that,bad,He has long argued that the economy was never that bad .,nyt_eng_19941117_0320_18,10,nyt_eng_199411,Kotkin goes beyond stressing that the area 's economy is much improved .,"Kotkin was among the first to recognize the role of ethnically owned businesses in Los Angeles -LRB- even if they were n't recorded by government number crunchers -RRB- , as well as long-standing sectors -- light manufacturing and trade , for instance -- that have held up even in bad times ."
