      l1  l2             f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff   f1  f2    N  
--------  ------------  --  ----------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  ---  --  ---  
NEGATIVE  toxic          4   1.0149254                 2                    2                  1       4          2            1            2                   1                   4                   1                   2              2  136   4  536  
NEGATIVE  popular        3   0.7611940                 3                    3                  2       9          3            2            4                   1                   9                   1                   3              4  136   3  536  
NEGATIVE  late           8   2.2835821                 1                    1                  3       1          1            3            1                  24                   1                   3                   1              1  136   9  536  
NEGATIVE  exciting       3   1.0149254                 5                    5                  4      10          4            4            7                  32                   9                   4                   5              7  136   4  536  
NEGATIVE  effective      3   1.0149254                 5                    5                  4      10          4            4            7                  32                   9                   4                   5              7  136   4  536  
NEGATIVE  serious        3   1.2686567                13                   14                  9      12          7            6            9                  38                   9                   6                   7              9  136   5  536  
NEGATIVE  bad            4   1.7761194                 9                    9                 10       5          6            7            5                  41                   4                   7                   4              5  136   7  536  
POSITIVE  young          9   6.7164179                 4                    4                  6       8         10            8            3                   1                   8                   8                  10              3  400   9  536  
POSITIVE  excited        6   4.4776119                 7                    7                  7      17         11            9           10                   1                  17                   8                  12             10  400   6  536  
POSITIVE  strong         6   4.4776119                 7                    7                  7      17         11            9           10                   1                  17                   8                  12             10  400   6  536  
POSITIVE  simple         5   3.7313433                10                   11                 11      19         13           11           15                   1                  19                   8                  15             15  400   5  536  
POSITIVE  familiar       5   3.7313433                10                   11                 11      19         13           11           15                   1                  19                   8                  15             15  400   5  536  
POSITIVE  more           5   3.7313433                10                   11                 11      19         13           11           15                   1                  19                   8                  15             15  400   5  536  
POSITIVE  interested     4   2.9850746                14                   15                 14      25         16           14           18                   1                  25                   8                  18             18  400   4  536  
POSITIVE  alive          4   2.9850746                14                   15                 14      25         16           14           18                   1                  25                   8                  18             18  400   4  536  
POSITIVE  proud          4   2.9850746                14                   15                 14      25         16           14           18                   1                  25                   8                  18             18  400   4  536  
POSITIVE  afraid         4   2.9850746                14                   15                 14      25         16           14           18                   1                  25                   8                  18             18  400   4  536  
POSITIVE  unique         3   2.2388060                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22  400   3  536  
