      l1  l2             f    E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
POSITIVE  hard           3   2.24                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22               1.76                  1.76                0.38    0.015        0.44          0.26         0.007                 1.00                0.007                 0.25                0.002            0.76  400   3  536  
POSITIVE  enthusiastic   3   2.24                18                   19                 20      32         21           18           22                   1                  32                   8                  22             22               1.76                  1.76                0.38    0.015        0.44          0.26         0.007                 1.00                0.007                 0.25                0.002            0.76  400   3  536  
NEGATIVE  available      3   1.52                29                   30                 18      13          8           29           12                  42                   9                  29                   8             12               1.69                  1.69                0.47    0.042        0.85          0.25         0.015                 0.50                0.022                 0.25                0.011            1.48  136   6  536  
NEGATIVE  close          3   1.52                29                   30                 18      13          8           29           12                  42                   9                  29                   8             12               1.69                  1.69                0.47    0.042        0.85          0.25         0.015                 0.50                0.022                 0.25                0.011            1.48  136   6  536  
POSITIVE  important     20  17.91                31                   34                 31       2         20           31            6                  25                   2                  31                  11              6               1.10                  1.10                0.20    0.094        0.47          0.09         0.021                 0.83                0.050                 0.09                0.005            2.09  400  24  536  
POSITIVE  wrong          5   4.48                33                   40                 33      22         33           32           33                  25                  19                  31                  34             33               0.27                  0.27                0.10    0.025        0.23          0.09         0.005                 0.83                0.013                 0.09                0.001            0.52  400   6  536  
POSITIVE  special        5   4.48                33                   40                 33      22         33           32           33                  25                  19                  31                  34             33               0.27                  0.27                0.10    0.025        0.23          0.09         0.005                 0.83                0.013                 0.09                0.001            0.52  400   6  536  
POSITIVE  good          17  15.67                32                   38                 32       3         32           34           14                  28                   3                  34                  14             14               0.49                  0.49                0.13    0.081        0.32          0.07         0.013                 0.81                0.043                 0.06                0.003            1.33  400  21  536  
POSITIVE  right          4   3.73                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35               0.08                  0.08                0.01    0.020        0.13          0.05         0.003                 0.80                0.010                 0.05                0.001            0.27  400   5  536  
POSITIVE  high           4   3.73                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35               0.08                  0.08                0.01    0.020        0.13          0.05         0.003                 0.80                0.010                 0.05                0.001            0.27  400   5  536  
POSITIVE  ill            4   3.73                35                   42                 36      29         35           35           35                  29                  25                  35                  36             35               0.08                  0.08                0.01    0.020        0.13          0.05         0.003                 0.80                0.010                 0.05                0.001            0.27  400   5  536  
NEGATIVE  different      3   2.79                38                   46                 35      15         38           38           38                  47                   9                  38                  33             38               0.02                  0.02                0.08    0.041        0.12          0.02         0.002                 0.27                0.022                 0.02                0.002            0.21  136  11  536  
POSITIVE  difficult      3   2.99                39                   48                 40      43         39           39           39                  32                  32                  39                  39             39               0.00                  0.00               -0.10    0.015        0.01          0.00         0.000                 0.75                0.007                 0.00                0.000            0.01  400   4  536  
POSITIVE  better         3   2.99                39                   48                 40      43         39           39           39                  32                  32                  39                  39             39               0.00                  0.00               -0.10    0.015        0.01          0.00         0.000                 0.75                0.007                 0.00                0.000            0.01  400   4  536  
POSITIVE  different      8   8.21                41                   46                 39      16         41           41           41                  36                  16                  41                  41             41              -0.02                  0.02               -0.08    0.039       -0.07         -0.02        -0.002                 0.73                0.020                -0.02               -0.001           -0.21  400  11  536  
POSITIVE  happy          5   5.22                42                   45                 42      24         42           42           42                  37                  19                  42                  42             42              -0.04                  0.04               -0.13    0.025       -0.10         -0.03        -0.002                 0.71                0.013                -0.03               -0.001           -0.22  400   7  536  
NEGATIVE  good           4   5.33                43                   38                 43       6         45           43           45                  48                   4                  43                  48             45              -0.49                  0.49               -0.13    0.051       -0.66         -0.07        -0.013                 0.19                0.029                -0.06               -0.010           -1.33  136  21  536  
NEGATIVE  important      4   6.09                46                   34                 44       7         48           44           48                  49                   4                  44                  49             48              -1.10                  1.10               -0.20    0.050       -1.04         -0.09        -0.021                 0.17                0.029                -0.09               -0.015           -2.09  136  24  536  
POSITIVE  big            3   3.73                44                   36                 45      45         43           45           43                  38                  32                  45                  43             43              -0.52                  0.52               -0.32    0.015       -0.42         -0.15        -0.007                 0.60                0.007                -0.15               -0.002           -0.73  400   5  536  
POSITIVE  sinister       3   3.73                44                   36                 45      45         43           45           43                  38                  32                  45                  43             43              -0.52                  0.52               -0.32    0.015       -0.42         -0.15        -0.007                 0.60                0.007                -0.15               -0.002           -0.73  400   5  536  
POSITIVE  close          3   4.48                47                   30                 47      47         46           47           46                  42                  32                  47                  45             46              -1.69                  1.69               -0.47    0.015       -0.85         -0.25        -0.015                 0.50                0.007                -0.25               -0.004           -1.48  400   6  536  
POSITIVE  available      3   4.48                47                   30                 47      47         46           47           46                  42                  32                  47                  45             46              -1.69                  1.69               -0.47    0.015       -0.85         -0.25        -0.015                 0.50                0.007                -0.25               -0.004           -1.48  400   6  536  
POSITIVE  bad            3   5.22                49                    9                 49      49         49           49           49                  46                  32                  49                  47             49              -3.22                  3.22               -0.59    0.015       -1.28         -0.32        -0.022                 0.43                0.007                -0.32               -0.006           -2.22  400   7  536  
