      l1  l2             f    E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ------------  --  -----  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  longer         3   0.76                 3                    5                  1      14          4            1            8                   1                  14                   1                   7              8               8.28                  8.28                1.32     0.04        1.29          0.75          0.02                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  that           3   0.76                 3                    5                  1      14          4            1            8                   1                  14                   1                   7              8               8.28                  8.28                1.32     0.04        1.29          0.75          0.02                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  particularly   4   1.27                 5                    7                  4      11          3            3            7                  22                  11                   3                   6              7               6.63                  6.63                0.96     0.06        1.37          0.55          0.03                 0.80                0.029                 0.55                0.020            2.73  136   5  536  
NEGATIVE  immediately    3   1.01                 7                    9                  5      16          7            4           11                  25                  14                   4                   9             11               4.35                  4.35                0.84     0.04        1.15          0.50          0.02                 0.75                0.022                 0.50                0.015            1.99  136   4  536  
NEGATIVE  more          47  22.58                 1                    1                 10       1          1            5            1                  29                   1                   5                   1              1              37.83                 37.83                0.65     0.42        3.56          0.33          0.24                 0.53                0.346                 0.27                0.180           24.42  136  89  536  
POSITIVE  very          83  64.18                 2                    3                  3       2          2            6            2                  19                   2                  23                   2              2              34.80                 34.80                1.00     0.34        2.07          0.26          0.19                 0.97                0.207                 0.22                0.047           18.82  400  86  536  
POSITIVE  extremely      8   5.97                 6                    8                  6      17         10            7           10                   1                  18                   6                  12             10               4.72                  4.72                0.77     0.04        0.72          0.26          0.02                 1.00                0.020                 0.25                0.005            2.03  400   8  536  
POSITIVE  still          7   5.22                 8                   10                  7      18         11            8           12                   1                  19                   6                  13             12               4.13                  4.13                0.72     0.03        0.67          0.26          0.02                 1.00                0.018                 0.25                0.004            1.78  400   7  536  
POSITIVE  much           6   4.48                 9                   11                  8      20         12            9           13                   1                  21                   6                  14             13               3.54                  3.54                0.65     0.03        0.62          0.26          0.01                 1.00                0.015                 0.25                0.004            1.52  400   6  536  
POSITIVE  pretty         6   4.48                 9                   11                  8      20         12            9           13                   1                  21                   6                  14             13               3.54                  3.54                0.65     0.03        0.62          0.26          0.01                 1.00                0.015                 0.25                0.004            1.52  400   6  536  
POSITIVE  highly         5   3.73                12                   15                 11      24         15           11           15                   1                  24                   6                  16             15               2.94                  2.94                0.58     0.02        0.57          0.26          0.01                 1.00                0.013                 0.25                0.003            1.27  400   5  536  
POSITIVE  equally        5   3.73                12                   15                 11      24         15           11           15                   1                  24                   6                  16             15               2.94                  2.94                0.58     0.02        0.57          0.26          0.01                 1.00                0.013                 0.25                0.003            1.27  400   5  536  
POSITIVE  most           4   2.99                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17               2.35                  2.35                0.49     0.02        0.51          0.26          0.01                 1.00                0.010                 0.25                0.003            1.01  400   4  536  
POSITIVE  just           4   2.99                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17               2.35                  2.35                0.49     0.02        0.51          0.26          0.01                 1.00                0.010                 0.25                0.003            1.01  400   4  536  
POSITIVE  dangerously    4   2.99                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17               2.35                  2.35                0.49     0.02        0.51          0.26          0.01                 1.00                0.010                 0.25                0.003            1.01  400   4  536  
POSITIVE  simply         4   2.99                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17               2.35                  2.35                0.49     0.02        0.51          0.26          0.01                 1.00                0.010                 0.25                0.003            1.01  400   4  536  
