      l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc      am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ---------------------  --  ---------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -----------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  as_bad                  4  1.0149254                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2         11.0607267            11.0607267          1.43462915  0.057142857   1.4925373    0.75187970   0.029411765           1.00000000          0.029411765           0.74626866          0.021949078       2.9850746  136   4  536  
NEGATIVE  more_toxic              4  1.0149254                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2         11.0607267            11.0607267          1.43462915  0.057142857   1.4925373    0.75187970   0.029411765           1.00000000          0.029411765           0.74626866          0.021949078       2.9850746  136   4  536  
NEGATIVE  immediately_available   3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7          8.2787217             8.2787217          1.32221929  0.043165468   1.2925752    0.75046904   0.022058824           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  as_popular              3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7          8.2787217             8.2787217          1.32221929  0.043165468   1.2925752    0.75046904   0.022058824           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  more_effective          3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7          8.2787217             8.2787217          1.32221929  0.043165468   1.2925752    0.75046904   0.022058824           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  particularly_exciting   3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7          8.2787217             8.2787217          1.32221929  0.043165468   1.2925752    0.75046904   0.022058824           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  too_late                8  2.2835821                 1                    1                  7       1          1            7            1                  19                   1                   7                   1              1         16.5806564            16.5806564          1.24594132  0.110344828   2.0210589    0.64600464   0.056323529           0.88888889          0.058823529           0.63515755          0.042032485       5.7164179  136   9  536  
NEGATIVE  as_good                 4  1.5223881                10                   10                 10       4          8            8            4                  21                   2                   8                   4              4          4.5657609             4.5657609          0.73348495  0.056338028   1.2388060    0.41761006   0.024411765           0.66666667          0.029411765           0.41293532          0.018217735       2.4776119  136   6  536  
POSITIVE  very_important          9  6.7164179                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5          5.3201167             5.3201167          0.82115449  0.044009780   0.7611940    0.25806452   0.022500000           1.00000000          0.022500000           0.25373134          0.005708955       2.2835821  400   9  536  
POSITIVE  very_good               9  6.7164179                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5          5.3201167             5.3201167          0.82115449  0.044009780   0.7611940    0.25806452   0.022500000           1.00000000          0.022500000           0.25373134          0.005708955       2.2835821  400   9  536  
POSITIVE  too_familiar            5  3.7313433                11                   11                 11      12         12           11           11                   1                  12                   9                  12             11          2.9426707             2.9426707          0.57937885  0.024691358   0.5673605    0.25612053   0.012500000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  as_young                4  2.9850746                12                   12                 12      13         13           12           13                   1                  13                   9                  13             13          2.3515656             2.3515656          0.49113197  0.019801980   0.5074627    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  still_alive             4  2.9850746                12                   12                 12      13         13           12           13                   1                  13                   9                  13             13          2.3515656             2.3515656          0.49113197  0.019801980   0.5074627    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
