      l1  l2             f         E11  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc     am.Dice   am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ------------  --  ----------  -----------------  --------------------  ------------------  ----------  -----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  longer         3   0.7611940          8.2787217             8.2787217          1.32221929  0.04316547    1.2925752    0.75046904    0.02205882           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  that           3   0.7611940          8.2787217             8.2787217          1.32221929  0.04316547    1.2925752    0.75046904    0.02205882           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  particularly   4   1.2686567          6.6276815             6.6276815          0.95642216  0.05673759    1.3656716    0.55141243    0.02691176           0.80000000          0.029411765           0.54626866          0.020083406       2.7313433  136   5  536  
NEGATIVE  immediately    3   1.0149254          4.3547790             4.3547790          0.84401230  0.04285714    1.1460834    0.50000000    0.01955882           0.75000000          0.022058824           0.49626866          0.014596137       1.9850746  136   4  536  
NEGATIVE  more          47  22.5820896         37.8304112            37.8304112          0.65097080  0.41777778    3.5617183    0.32898474    0.24058824           0.52808989          0.345588235           0.27435854          0.179543459      24.4179104  136  89  536  
POSITIVE  very          83  64.1791045         34.8033020            34.8033020          1.00135597  0.34156379    2.0658617    0.26067183    0.18544118           0.96511628          0.207500000           0.21884762          0.047052239      18.8208955  400  86  536  
POSITIVE  extremely      8   5.9701493          4.7237898             4.7237898          0.77174191  0.03921569    0.7176606    0.25757576    0.02000000           1.00000000          0.020000000           0.25373134          0.005074627       2.0298507  400   8  536  
POSITIVE  still          7   5.2238806          4.1287770             4.1287770          0.71627917  0.03439803    0.6713100    0.25708885    0.01750000           1.00000000          0.017500000           0.25373134          0.004440299       1.7761194  400   7  536  
POSITIVE  much           6   4.4776119          3.5350726             3.5350726          0.65302900  0.02955665    0.6215123    0.25660377    0.01500000           1.00000000          0.015000000           0.25373134          0.003805970       1.5223881  400   6  536  
POSITIVE  pretty         6   4.4776119          3.5350726             3.5350726          0.65302900  0.02955665    0.6215123    0.25660377    0.01500000           1.00000000          0.015000000           0.25373134          0.003805970       1.5223881  400   6  536  
POSITIVE  highly         5   3.7313433          2.9426707             2.9426707          0.57937885  0.02469136    0.5673605    0.25612053    0.01250000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  equally        5   3.7313433          2.9426707             2.9426707          0.57937885  0.02469136    0.5673605    0.25612053    0.01250000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  most           4   2.9850746          2.3515656             2.3515656          0.49113197  0.01980198    0.5074627    0.25563910    0.01000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  just           4   2.9850746          2.3515656             2.3515656          0.49113197  0.01980198    0.5074627    0.25563910    0.01000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
