      l1  l2             f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff   f1  f2    N  
--------  ------------  --  ----------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  ---  --  ---  
NEGATIVE  longer         3   0.7611940                 3                    5                  1      14          4            1            8                   1                  14                   1                   7              8  136   3  536  
NEGATIVE  that           3   0.7611940                 3                    5                  1      14          4            1            8                   1                  14                   1                   7              8  136   3  536  
NEGATIVE  particularly   4   1.2686567                 5                    7                  4      11          3            3            7                  22                  11                   3                   6              7  136   5  536  
NEGATIVE  immediately    3   1.0149254                 7                    9                  5      16          7            4           11                  25                  14                   4                   9             11  136   4  536  
NEGATIVE  more          47  22.5820896                 1                    1                 10       1          1            5            1                  29                   1                   5                   1              1  136  89  536  
POSITIVE  very          83  64.1791045                 2                    3                  3       2          2            6            2                  19                   2                  23                   2              2  400  86  536  
POSITIVE  extremely      8   5.9701493                 6                    8                  6      17         10            7           10                   1                  18                   6                  12             10  400   8  536  
POSITIVE  still          7   5.2238806                 8                   10                  7      18         11            8           12                   1                  19                   6                  13             12  400   7  536  
POSITIVE  much           6   4.4776119                 9                   11                  8      20         12            9           13                   1                  21                   6                  14             13  400   6  536  
POSITIVE  pretty         6   4.4776119                 9                   11                  8      20         12            9           13                   1                  21                   6                  14             13  400   6  536  
POSITIVE  highly         5   3.7313433                12                   15                 11      24         15           11           15                   1                  24                   6                  16             15  400   5  536  
POSITIVE  equally        5   3.7313433                12                   15                 11      24         15           11           15                   1                  24                   6                  16             15  400   5  536  
POSITIVE  most           4   2.9850746                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17  400   4  536  
POSITIVE  just           4   2.9850746                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17  400   4  536  
POSITIVE  dangerously    4   2.9850746                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17  400   4  536  
POSITIVE  simply         4   2.9850746                15                   19                 13      27         17           13           17                   1                  27                   6                  18             17  400   4  536  
POSITIVE  far            3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
POSITIVE  no             3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
POSITIVE  little         3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
POSITIVE  completely     3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
POSITIVE  perfectly      3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
POSITIVE  absolutely     3   2.2388060                20                   25                 18      32         21           17           21                   1                  32                   6                  22             21  400   3  536  
NEGATIVE  less           6   3.0447761                11                   13                 17      10          6           23            6                  30                  10                  22                   5              6  136  12  536  
NEGATIVE  as            16  11.4179104                14                   17                 24       5          8           24            3                  33                   4                  24                   3              3  136  45  536  
POSITIVE  even           5   4.4776119                27                   33                 28      26         28           25           28                  20                  24                  25                  28             28  400   6  536  
POSITIVE  so            42  38.0597015                19                   23                 25       3         14           26            4                  21                   5                  26                  10              4  400  51  536  
NEGATIVE  too           18  14.7164179                26                   31                 27       4          9           27            5                  34                   3                  27                   4              5  136  58  536  
NEGATIVE  really         4   3.2985075                28                   34                 26      12         27           28           27                  35                  11                  28                  11             27  136  13  536  
POSITIVE  all            4   3.7313433                29                   36                 30      31         29           29           30                  22                  27                  29                  30             30  400   5  536  
POSITIVE  quite          7   6.7164179                30                   37                 29      19         30           30           29                  24                  19                  30                  29             29  400   9  536  
POSITIVE  really         9   9.7014925                31                   34                 32      13         31           31           31                  26                  13                  31                  31             31  400  13  536  
POSITIVE  too           40  43.2835821                32                   31                 31       6         32           32           33                  27                   7                  32                  33             33  400  58  536  
NEGATIVE  so             9  12.9402985                33                   23                 33       9         35           33           34                  36                   9                  33                  35             34  136  51  536  
POSITIVE  as            29  33.5820896                34                   17                 34       8         33           34           35                  28                   8                  34                  34             35  400  45  536  
POSITIVE  less           6   8.9552239                35                   13                 35      22         34           35           32                  30                  21                  36                  32             32  400  12  536  
NEGATIVE  very           3  21.8208955                36                    3                 37      23         37           36           36                  37                  14                  35                  37             36  136  86  536  
POSITIVE  more          42  66.4179104                37                    1                 36       7         36           37           37                  32                   5                  37                  36             37  400  89  536  
