      l1  l2             f         E11  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc      am.Dice   am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ------------  --  ----------  -----------------  --------------------  ------------------  -----------  -----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  toxic          4   1.0149254         11.0607267            11.0607267          1.43462915  0.057142857   1.49253731    0.75187970   0.029411765           1.00000000          0.029411765           0.74626866          0.021949078       2.9850746  136   4  536  
NEGATIVE  popular        3   0.7611940          8.2787217             8.2787217          1.32221929  0.043165468   1.29257523    0.75046904   0.022058824           1.00000000          0.022058824           0.74626866          0.016461809       2.2388060  136   3  536  
NEGATIVE  late           8   2.2835821         16.5806564            16.5806564          1.24594132  0.110344828   2.02105893    0.64600464   0.056323529           0.88888889          0.058823529           0.63515755          0.042032485       5.7164179  136   9  536  
NEGATIVE  exciting       3   1.0149254          4.3547790             4.3547790          0.84401230  0.042857143   1.14608337    0.50000000   0.019558824           0.75000000          0.022058824           0.49626866          0.014596137       1.9850746  136   4  536  
NEGATIVE  effective      3   1.0149254          4.3547790             4.3547790          0.84401230  0.042857143   1.14608337    0.50000000   0.019558824           0.75000000          0.022058824           0.49626866          0.014596137       1.9850746  136   4  536  
NEGATIVE  serious        3   1.2686567          2.6993351             2.6993351          0.62107510  0.042553191   0.99959151    0.34952919   0.017058824           0.60000000          0.022058824           0.34626866          0.012730465       1.7313433  136   5  536  
NEGATIVE  bad            4   1.7761194          3.2166941             3.2166941          0.58626572  0.055944056   1.11194030    0.32190116   0.021911765           0.57142857          0.029411765           0.31769723          0.016352063       2.2238806  136   7  536  
POSITIVE  young          9   6.7164179          5.3201167             5.3201167          0.82115449  0.044009780   0.76119403    0.25806452   0.022500000           1.00000000          0.022500000           0.25373134          0.005708955       2.2835821  400   9  536  
POSITIVE  excited        6   4.4776119          3.5350726             3.5350726          0.65302900  0.029556650   0.62151232    0.25660377   0.015000000           1.00000000          0.015000000           0.25373134          0.003805970       1.5223881  400   6  536  
POSITIVE  strong         6   4.4776119          3.5350726             3.5350726          0.65302900  0.029556650   0.62151232    0.25660377   0.015000000           1.00000000          0.015000000           0.25373134          0.003805970       1.5223881  400   6  536  
POSITIVE  simple         5   3.7313433          2.9426707             2.9426707          0.57937885  0.024691358   0.56736053    0.25612053   0.012500000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  familiar       5   3.7313433          2.9426707             2.9426707          0.57937885  0.024691358   0.56736053    0.25612053   0.012500000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  more           5   3.7313433          2.9426707             2.9426707          0.57937885  0.024691358   0.56736053    0.25612053   0.012500000           1.00000000          0.012500000           0.25373134          0.003171642       1.2686567  400   5  536  
POSITIVE  interested     4   2.9850746          2.3515656             2.3515656          0.49113197  0.019801980   0.50746269    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  alive          4   2.9850746          2.3515656             2.3515656          0.49113197  0.019801980   0.50746269    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  proud          4   2.9850746          2.3515656             2.3515656          0.49113197  0.019801980   0.50746269    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  afraid         4   2.9850746          2.3515656             2.3515656          0.49113197  0.019801980   0.50746269    0.25563910   0.010000000           1.00000000          0.010000000           0.25373134          0.002537313       1.0149254  400   4  536  
POSITIVE  unique         3   2.2388060          1.7617517             1.7617517          0.38089356  0.014888337   0.43947558    0.25515947   0.007500000           1.00000000          0.007500000           0.25373134          0.001902985       0.7611940  400   3  536  
POSITIVE  mundane        3   2.2388060          1.7617517             1.7617517          0.38089356  0.014888337   0.43947558    0.25515947   0.007500000           1.00000000          0.007500000           0.25373134          0.001902985       0.7611940  400   3  536  
POSITIVE  divisive       3   2.2388060          1.7617517             1.7617517          0.38089356  0.014888337   0.43947558    0.25515947   0.007500000           1.00000000          0.007500000           0.25373134          0.001902985       0.7611940  400   3  536  
POSITIVE  violent        3   2.2388060          1.7617517             1.7617517          0.38089356  0.014888337   0.43947558    0.25515947   0.007500000           1.00000000          0.007500000           0.25373134          0.001902985       0.7611940  400   3  536  
