key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
NEG-quite_sure,NEGATIVE,quite_sure,2967,441.485,2525.515,quite,43128.0,sure,11285.0,0.834,10847.003,2.423,8.044,7.173,85.120155
NEG-really_sure,NEGATIVE,really_sure,912,135.517,776.483,really,63523.0,sure,11285.0,0.834,3338.099,2.44,8.138,6.626,85.14068
NEG-ever_easy,NEGATIVE,ever_easy,368,53.857,314.143,ever,5050.0,easy,21735.0,0.849,1394.555,2.938,10.076,6.564,85.36495
NEG-entirely_sure,NEGATIVE,entirely_sure,366,53.712,312.288,entirely,11491.0,sure,11285.0,0.846,1377.178,2.789,9.484,6.409,85.32459
NEG-too_early,NEGATIVE,too_early,5200,803.058,4396.942,too,186765.0,early,5753.0,0.799,17795.498,1.991,6.589,6.164,84.55657
NEG-ever_simple,NEGATIVE,ever_simple,207,30.131,176.869,ever,5050.0,simple,27767.0,0.855,797.974,3.387,20.213,6.134,85.44396
NEG-ever_perfect,NEGATIVE,ever_perfect,207,30.277,176.723,ever,5050.0,perfect,4180.0,0.85,785.618,2.91,10.245,5.886,85.37343
NEG-ever_good,NEGATIVE,ever_good,300,44.542,255.458,ever,5050.0,good,37987.0,0.835,1099.39,2.434,8.197,5.777,85.152664
NEG-too_pleased,NEGATIVE,too_pleased,1293,200.728,1092.272,too,186765.0,pleased,3903.0,0.793,4371.82,1.945,6.464,5.671,84.47579
NEG-too_sure,NEGATIVE,too_sure,539,81.951,457.049,too,186765.0,sure,11285.0,0.812,1887.477,2.112,7.042,5.649,84.79574
NEG-ever_enough,NEGATIVE,ever_enough,147,21.397,125.603,ever,5050.0,enough,10176.0,0.855,566.651,3.239,19.719,5.616,85.44422
NEG-too_careful,NEGATIVE,too_careful,677,103.93,573.07,too,186765.0,careful,2162.0,0.803,2331.281,2.027,6.747,5.588,84.648445
NEG-ever_certain,NEGATIVE,ever_certain,143,20.815,122.185,ever,5050.0,certain,2116.0,0.855,551.23,3.227,19.679,5.574,85.44405
NEG-quite_able,NEGATIVE,quite_able,340,51.237,288.763,quite,43128.0,able,8146.0,0.82,1209.913,2.204,7.378,5.517,84.9303
NEG-entirely_clear,NEGATIVE,entirely_clear,329,49.782,279.218,entirely,11491.0,clear,8610.0,0.817,1161.967,2.157,7.215,5.408,84.86869
NEG-truly_alone,NEGATIVE,truly_alone,188,27.802,160.198,truly,14216.0,alone,824.0,0.839,694.788,2.5,8.523,5.407,85.2117
NEG-exactly_sure,NEGATIVE,exactly_sure,148,21.689,126.311,exactly,1079.0,sure,11285.0,0.848,558.819,2.764,9.761,5.375,85.34527
NEG-too_fancy,NEGATIVE,too_fancy,530,81.805,448.195,too,186765.0,fancy,1184.0,0.798,1808.133,1.982,6.603,5.361,84.565094
NEG-particularly_new,NEGATIVE,particularly_new,407,62.737,344.263,particularly,14612.0,new,14653.0,0.799,1391.483,1.99,6.637,5.227,84.5855
NEG-really_alone,NEGATIVE,really_alone,195,29.112,165.888,really,63523.0,alone,824.0,0.83,706.517,2.32,7.838,5.224,85.07077
NEG-particularly_wrong,NEGATIVE,particularly_wrong,212,32.023,179.977,particularly,14612.0,wrong,23764.0,0.818,751.034,2.167,7.281,5.077,84.89481
NEG-too_special,NEGATIVE,too_special,453,70.888,382.112,too,186765.0,special,16913.0,0.785,1510.727,1.888,6.289,5.068,84.35143
NEG-really_able,NEGATIVE,really_able,324,50.801,273.199,really,63523.0,able,8146.0,0.783,1076.998,1.874,6.249,4.845,84.32068
NEG-too_surprising,NEGATIVE,too_surprising,205,31.441,173.559,too,186765.0,surprising,3040.0,0.804,706.789,2.021,6.773,4.809,84.66293
NEG-as_satisfying,NEGATIVE,as_satisfying,226,34.935,191.065,as,125578.0,satisfying,4566.0,0.796,768.901,1.963,6.566,4.779,84.54204
NEG-too_major,NEGATIVE,too_major,187,28.967,158.033,too,186765.0,major,669.0,0.794,633.974,1.945,6.515,4.603,84.50963
NEG-too_impressed,NEGATIVE,too_impressed,131,20.087,110.913,too,186765.0,impressed,2704.0,0.804,451.792,2.013,6.779,4.412,84.66641
NEG-necessarily_wrong,NEGATIVE,necessarily_wrong,213,33.916,179.084,necessarily,1617.0,wrong,23764.0,0.769,690.951,1.787,5.966,4.396,84.076996
NEG-really_free,NEGATIVE,really_free,139,21.543,117.457,really,63523.0,free,5557.0,0.794,470.798,1.936,6.502,4.342,84.50144
NEG-ever_wrong,NEGATIVE,ever_wrong,102,15.429,86.571,ever,5050.0,wrong,23764.0,0.817,360.366,2.126,7.225,4.323,84.87353
NEG-particularly_surprising,NEGATIVE,particularly_surprising,168,26.492,141.508,particularly,14612.0,surprising,3040.0,0.778,553.301,1.834,6.138,4.317,84.23095
NEG-particularly_remarkable,NEGATIVE,particularly_remarkable,108,16.448,91.552,particularly,14612.0,remarkable,3463.0,0.81,376.92,2.064,6.986,4.299,84.77037
NEG-entirely_certain,NEGATIVE,entirely_certain,62,9.025,52.975,entirely,11491.0,certain,2116.0,0.854,238.98,2.866,18.473,4.256,85.44354
NEG-too_spectacular,NEGATIVE,too_spectacular,112,17.176,94.824,too,186765.0,spectacular,1569.0,0.804,386.172,2.007,6.776,4.255,84.66428
NEG-ever_black,NEGATIVE,ever_black,56,8.151,47.849,ever,5050.0,black,1704.0,0.854,215.852,2.822,18.327,4.087,85.44464
NEG-too_thrilled,NEGATIVE,too_thrilled,132,20.961,111.039,too,186765.0,thrilled,647.0,0.771,429.988,1.794,6.013,4.053,84.12046
NEG-ever_able,NEGATIVE,ever_able,136,21.689,114.311,ever,5050.0,able,8146.0,0.767,440.087,1.774,5.94,4.039,84.05221
NEG-really_certain,NEGATIVE,really_certain,62,9.17,52.83,really,63523.0,certain,2116.0,0.839,229.024,2.389,8.506,3.99,85.20968
NEG-ever_free,NEGATIVE,ever_free,69,10.335,58.665,ever,5050.0,free,5557.0,0.826,248.371,2.213,7.661,3.974,85.02174
NEG-too_shabby,NEGATIVE,too_shabby,88,13.683,74.317,too,186765.0,shabby,128.0,0.791,296.464,1.903,6.428,3.863,84.45114
NEG-ever_boring,NEGATIVE,ever_boring,57,8.443,48.557,ever,5050.0,boring,2284.0,0.837,209.917,2.352,8.385,3.849,85.18771
NEG-ever_happy,NEGATIVE,ever_happy,48,6.987,41.013,ever,5050.0,happy,15693.0,0.854,185.015,2.755,18.104,3.827,85.443756
NEG-especially_new,NEGATIVE,especially_new,62,9.316,52.684,especially,4308.0,new,14653.0,0.823,221.809,2.167,7.507,3.795,84.97419
NEG-terribly_surprising,NEGATIVE,terribly_surprising,67,10.189,56.811,terribly,5119.0,surprising,3040.0,0.812,234.428,2.054,7.034,3.766,84.792534
NEG-too_drastic,NEGATIVE,too_drastic,106,17.176,88.824,too,186765.0,drastic,727.0,0.753,334.772,1.699,5.696,3.697,83.79623
NEG-terribly_new,NEGATIVE,terribly_new,69,10.771,58.229,terribly,5119.0,new,14653.0,0.787,230.935,1.87,6.34,3.562,84.389854
NEG-truly_safe,NEGATIVE,truly_safe,84,13.537,70.463,truly,14216.0,safe,3120.0,0.758,267.479,1.718,5.776,3.522,83.88452
NEG-more_off-putting,NEGATIVE,more_off-putting,57,8.734,48.266,more,312474.0,off-putting,179.0,0.804,196.828,1.984,6.801,3.491,84.67719
NEG-there_much,NEGATIVE,there_much,39,5.677,33.323,there,319.0,much,8014.0,0.854,150.323,2.666,17.805,3.466,85.44359
NEG-ever_sick,NEGATIVE,ever_sick,39,5.677,33.323,ever,5050.0,sick,2201.0,0.854,150.323,2.666,17.805,3.466,85.44359
NEG-ever_available,NEGATIVE,ever_available,50,7.569,42.431,ever,5050.0,available,14654.0,0.816,176.398,2.074,7.197,3.425,84.862
NEG-ever_alone,NEGATIVE,ever_alone,38,5.531,32.469,ever,5050.0,alone,824.0,0.854,146.469,2.655,17.767,3.42,85.44474
NEG-ever_satisfied,NEGATIVE,ever_satisfied,44,6.55,37.45,ever,5050.0,satisfied,3352.0,0.832,160.32,2.241,8.011,3.402,85.11364
NEG-ever_dull,NEGATIVE,ever_dull,37,5.386,31.614,ever,5050.0,dull,739.0,0.854,142.614,2.644,17.729,3.372,85.443245
NEG-ever_worth,NEGATIVE,ever_worth,53,8.151,44.849,ever,5050.0,worth,6168.0,0.801,181.835,1.953,6.696,3.365,84.62075
