key,f,dP1,LRC,G2,N,f1,f2,exp_f,unexp_f,l1,l2,adj,adj_total,adv,adv_total
NEGany~exactly_sure,8860,0.91531396,8.63298,54750.583,86330752,3226213,9301,347.5819,8512.4181,NEGATED,exactly_sure,sure,844981.0,exactly,61599.0
NEGany~exactly_new,1378,0.9344362,8.535967,8697.9342,86330752,3226213,1418,52.991199,1325.008801,NEGATED,exactly_new,new,321311.0,exactly,61599.0
NEGany~exactly_easy,1069,0.9344597,8.366482,6747.6435,86330752,3226213,1100,41.107418,1027.892582,NEGATED,exactly_easy,easy,771307.0,exactly,61599.0
NEGany~exactly_clear,1759,0.9212323,8.301097,10937.156,86330752,3226213,1835,68.574647,1690.425353,NEGATED,exactly_clear,clear,491108.0,exactly,61599.0
NEGany~exactly_cheap,693,0.94701236,8.281741,4443.2697,86330752,3226213,704,26.308747,666.691253,NEGATED,exactly_cheap,cheap,83765.0,exactly,61599.0
NEGany~exactly_surprising,441,0.9558778,7.344853,2863.349,86330752,3226213,444,16.592449,424.407551,NEGATED,exactly_surprising,surprising,150067.0,exactly,61599.0
NEGany~exactly_happy,441,0.9049422,7.162443,2694.6863,86330752,3226213,468,17.489338,423.510662,NEGATED,exactly_happy,happy,528511.0,exactly,61599.0
NEGany~exactly_ideal,418,0.90196013,7.0827026,2546.2892,86330752,3226213,445,16.629819,401.370181,NEGATED,exactly_ideal,ideal,42701.0,exactly,61599.0
NEGany~exactly_subtle,264,0.9368023,6.9217606,1671.0204,86330752,3226213,271,10.127373,253.872627,NEGATED,exactly_subtle,subtle,56845.0,exactly,61599.0
NEGany~exactly_great,308,0.90165746,6.8227615,1875.6216,86330752,3226213,328,12.257485,295.742515,NEGATED,exactly_great,great,380889.0,exactly,61599.0
NEGany~exactly_fun,225,0.9366581,6.672746,1423.916,86330752,3226213,231,8.6325578,216.3674422,NEGATED,exactly_fun,fun,224457.0,exactly,61599.0
NEGany~exactly_conducive,208,0.9345946,6.555964,1313.0899,86330752,3226213,214,7.9972613,200.0027387,NEGATED,exactly_conducive,conducive,16405.0,exactly,61599.0
NEGmir~exactly_clear,52,0.8008152,2.1346524,178.729304,2032082,293963,55,7.95635461807251,44.043643951416016,NEGMIR,exactly_clear,clear,8639.0,exactly,1114.0
NEGmir~exactly_sure,148,0.84868985,2.0935638,560.650176,2032082,293963,149,21.554487228393555,126.4455108642578,NEGMIR,exactly_sure,sure,11297.0,exactly,1114.0
